"Manager","Report Date","Value ($000)","Shares","Option Type"
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","35,895","571,133",""
"ROYAL BANK OF CANADA","12/31/2021","33,775","539,270",""
"BAMCO INC /NY/","12/31/2021","26,040","415,771",""
"Manitou Investment Management Ltd.","12/31/2021","17,133","273,432",""
"TD ASSET MANAGEMENT INC","12/31/2021","17,097","271,856",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2021","17,009","271,591",""
"Waratah Capital Advisors Ltd.","12/31/2021","16,906","269,158",""
"CI INVESTMENTS INC.","12/31/2021","12,064","192,619",""
"MORGAN STANLEY","12/31/2021","10,588","169,058",""
"Alpine Global Management, LLC","12/31/2021","9,708","155,000",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","9,338","148,611",""
"CIBC World Markets Inc.","12/31/2021","6,366","101,649",""
"NORGES BANK","12/31/2021","6,075","96,802",""
"BANK OF MONTREAL /CAN/","12/31/2021","6,111","96,255",""
"Polar Asset Management Partners Inc.","12/31/2021","4,697","75,000",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2021","5,795","72,960",""
"TWO SIGMA INVESTMENTS, LP","12/31/2021","4,309","68,800",""
"TORONTO DOMINION BANK","12/31/2021","4,128","65,716",""
"MARKEL CORP","12/31/2021","3,764","60,101",""
"BANK OF NOVA SCOTIA","12/31/2021","3,756","59,885",""
"FRANKLIN RESOURCES INC","12/31/2021","3,533","56,217",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2021","3,322","52,900",""
"MACKENZIE FINANCIAL CORP","12/31/2021","3,254","51,812",""
"FIERA CAPITAL CORP","12/31/2021","3,148","50,128",""
"CSS LLC/IL","12/31/2021","3,133","50,022",""
"COLONY GROUP LLC","12/31/2021","2,850","45,504",""
"Capital World Investors","12/31/2021","2,486","39,683",""
"TWO SIGMA ADVISERS, LP","12/31/2021","2,273","36,300",""
"FMR LLC","12/31/2021","2,053","32,698",""
"Jarislowsky, Fraser Ltd","12/31/2021","2,015","32,437",""
"TANDEM CAPITAL MANAGEMENT CORP /ADV","12/31/2021","1,896","30,266",""
"SCHWARTZ INVESTMENT COUNSEL INC","12/31/2021","1,753","27,996",""
"TD Waterhouse Canada Inc.","12/31/2021","2,129","27,156",""
"Broad Run Investment Management, LLC","12/31/2021","1,249","19,939",""
"Swiss National Bank","12/31/2021","1,246","19,900",""
"CITADEL ADVISORS LLC","12/31/2021","1,237","19,755",""
"FIL Ltd","12/31/2021","1,039","16,545",""
"Burgundy Asset Management Ltd.","12/31/2021","1,020","16,278",""
"BANK OF AMERICA CORP /DE/","12/31/2021","879","14,039",""
"SCOTIA CAPITAL INC.","12/31/2021","869","13,951",""
"VANGUARD GROUP INC","12/31/2021","824","13,164",""
"MCDONALD CAPITAL INVESTORS INC/CA","12/31/2021","725","11,576",""
"Rockefeller Capital Management L.P.","12/31/2021","690","11,021",""
"BRUNI J V & CO /CO","12/31/2021","643","10,268",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2021","621","9,912",""
"Northwest & Ethical Investments L.P.","12/31/2021","593","9,456",""
"CREDIT AGRICOLE S A","12/31/2021","529","8,448",""
"D. E. Shaw & Co., Inc.","12/31/2021","482","7,668",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","463","7,416",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","422","6,733",""
"GOLDMAN SACHS GROUP INC","12/31/2021","411","6,562",""
"Federation des caisses Desjardins du Quebec","12/31/2021","399","6,414",""
"Invesco Ltd.","12/31/2021","343","5,483",""
"CREDIT SUISSE AG/","12/31/2021","339","5,420",""
"NFJ INVESTMENT GROUP, LLC","12/31/2021","398","5,214",""
"ArrowMark Colorado Holdings LLC","12/31/2021","287","4,577",""
"JANE STREET GROUP, LLC","12/31/2021","280","4,463",""
"Steward Partners Investment Advisory, LLC","12/31/2021","245","3,895",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","229","3,568",""
"DAVENPORT & Co LLC","12/31/2021","211","3,368",""
"WELLS FARGO & COMPANY/MN","12/31/2021","208","3,330",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2021","208","3,329",""
"Rheos Capital Works Inc.","12/31/2021","206","3,296",""
"Russell Investments Group, Ltd.","12/31/2021","178","2,831",""
"EATON VANCE MANAGEMENT","12/31/2021","159","2,537",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2021","150","2,396",""
"UBS Group AG","12/31/2021","150","2,382",""
"Investment Research & Advisory Group, Inc.","12/31/2021","136","2,250",""
"FIRST MANHATTAN CO","12/31/2021","105","1,685",""
"Moerus Capital Management LLC","12/31/2021","92","1,476",""
"JPMORGAN CHASE & CO","12/31/2021","83","1,326",""
"Legal & General Group Plc","12/31/2021","79","1,259",""
"TORONTO DOMINION BANK","12/31/2021","76","1,220",""
"Optiver Holding B.V.","12/31/2021","66","1,044",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2021","59","939",""
"PNC Financial Services Group, Inc.","12/31/2021","56","899",""
"SHELL ASSET MANAGEMENT CO","12/31/2021","37","590",""
"GoodHaven Capital Management, LLC","12/31/2021","26","415",""
"NN Investment Partners Holdings N.V.","12/31/2021","25","407",""
"Shelter Mutual Insurance Co","12/31/2021","24","386",""
"Fairfax Financial Holdings Ltd/ Can","12/31/2021","21","343",""
"Princeton Global Asset Management LLC","12/31/2021","19","297",""
"US BANCORP \DE\","12/31/2021","13","226",""
"Pacifica Partners Inc.","12/31/2021","13","224",""
"Retirement Group, LLC","12/31/2021","14","219",""
"1832 Asset Management L.P.","12/31/2021","10","162",""
"HARBOUR INVESTMENTS, INC.","12/31/2021","7","117",""
"Sargent Bickham Lagudis LLC","12/31/2021","6","93",""
"IFP Advisors, Inc","12/31/2021","15","83",""
"West Branch Capital LLC","12/31/2021","5","81",""
"CITIGROUP INC","12/31/2021","4","74",""
"Financial Perspectives, Inc","12/31/2021","3","62",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2021","3","53",""
"Metatron Capital SICAV plc","12/31/2021","3","47",""
"NEXT Financial Group, Inc","12/31/2021","3","44",""
"Tower Research Capital LLC (TRC)","12/31/2021","3","41",""
"HM PAYSON & CO","12/31/2021","2","35",""
"Zullo Investment Group, Inc.","12/31/2021","2","31",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","2","30",""
"DekaBank Deutsche Girozentrale","12/31/2021","2","28",""
"RE Dickinson Investment Advisors, LLC","12/31/2021","2","27",""
"Anchor Investment Management, LLC","12/31/2021","1","26",""
"Clearstead Advisors, LLC","12/31/2021","2","25",""
"PIN OAK INVESTMENT ADVISORS INC","12/31/2021","2","24",""
"THOMPSON SIEGEL & WALMSLEY LLC","12/31/2021","1","23",""
"BDO Wealth Advisors, LLC","12/31/2021","1","20",""
"Freedman Financial Associates, Inc.","12/31/2021","1","17",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2021","1","17",""
"Patriot Financial Group Insurance Agency, LLC","12/31/2021","1","13",""
"TCI Wealth Advisors, Inc.","12/31/2021","1","12",""
"Eagle Bay Advisors LLC","12/31/2021","0","12",""
"Amplius Wealth Advisors, LLC","12/31/2021","0","11",""
"SELDON CAPITAL LP","12/31/2021","1","11",""
"Graves-Light Private Wealth Management, Inc.","12/31/2021","1","11",""
"Credential Qtrade Securities Inc.","12/31/2021","0","11",""
"FIFTH THIRD BANCORP","12/31/2021","1","10",""
"WASHINGTON TRUST Co","12/31/2021","1","10",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","1","10",""
"HUNTINGTON NATIONAL BANK","12/31/2021","0","9",""
"Baystate Wealth Management LLC","12/31/2021","1","8",""
"UMB BANK N A/MO","12/31/2021","1","8",""
"Covington Capital Management","12/31/2021","1","8",""
"Elmwood Wealth Management, Inc.","12/31/2021","0","6",""
"US BANCORP \DE\","12/31/2021","0","6",""
"BREWIN DOLPHIN LTD","12/31/2021","0","6",""
"Heritage Wealth Advisors","12/31/2021","0","5",""
"BREWIN DOLPHIN WEALTH MANAGEMENT LTD","12/31/2021","0","5",""
"TOTH FINANCIAL ADVISORY CORP","12/31/2021","0","5",""
"BESSEMER GROUP INC","12/31/2021","0","5",""
"Carmichael Hill & Associates, Inc.","12/31/2021","0","4",""
"American Portfolios Advisors","12/31/2021","0","4",""
