"Manager","Report Date","Value ($000)","Shares","Option Type"
"OREGON PUBLIC EMPLOYEES RETIREMENT FUND","12/31/2022","24,399","1,368,926",""
"State of Tennessee, Treasury Department","12/31/2022","19,354","1,085,882",""
