"Manager","Report Date","Value ($000)","Shares","Option Type"
"State of Tennessee, Treasury Department","12/31/2020","25,663","1,443,460",""
"TOCQUEVILLE ASSET MANAGEMENT L.P.","12/31/2020","319","17,950",""
