SM US 2023,484.493,108.214,2.962,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.679,0.337,1.946,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5480.6086,2363.889,4481.6616,SM ENERGY CO,118.678,38.72,1615.111,616.164,6379.985
SM US 2022,454.538,103.126,2.596,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.453,0.329,1.814,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5405.4091,3358.647,4244.4621,SM ENERGY CO,122.351,34.83,1605.945,444.998,5716.039
SM US 2021,578.309,104.595,1.699,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.062,0.076,1.561,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5366.9021,2622.894,3592.4991,SM ENERGY CO,119.043,29.48,2107.119,332.716,5233.977
SM US 2020,477.808,98.418,2.188,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.151,0.46,1.577,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2940.0889,1126.582,702.2229,SM ENERGY CO,113.73,6.12,2237.876,0.01,4976.431
SM US 2019,775.678,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4045.0986,1589.243,1269.9846,SM ENERGY CO,112.544,11.24,2775.124,0.01,6292.232
SM US 2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4255.8736,1636.357,1737.5056,SM ENERGY CO,111.912,15.48,2596.333,77.965,6352.862
