Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"141,246",5.7%,"3,335,210",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"71,867",2.9%,"1,774,044",,
TRP,TRANSCANADA CORP,COM,89353D107,"53,107",2.2%,"1,091,380",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"35,505",1.4%,"1,081,150",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"33,609",1.4%,"882,816",,
ERF.TO,ENERPLUS CORP,COM,292766102,"19,308",0.8%,"1,823,250",,
FTS.TO,FORTIS INC,COM,349553107,"17,936",0.7%,"394,900",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"17,738",0.7%,"618,900",,
OVV,ENCANA CORP,COM,292505104,"13,285",0.5%,"1,688,100",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"12,339",0.5%,"1,286,700",,
CVX,CHEVRON CORP NEW,COM,166764100,"10,783",0.4%,"99,100",,
TA.TO,TRANSALTA CORP,COM,89346D107,"7,549",0.3%,"1,355,300",,
SO,SOUTHERN CO,COM,842587107,"7,425",0.3%,"169,100",,
GTE,GRAN TIERRA ENERGY INC,COM,38500T101,"7,393",0.3%,"2,497,700",,
PPL,PPL CORP,COM,69351T106,"6,613",0.3%,"233,500",,
CPG.TO,CRESCENT PT ENERGY CORP,COM,22576C101,"5,550",0.2%,"1,343,920",,
SRE,SEMPRA ENERGY,COM,816851109,"4,782",0.2%,"44,200",,
FE,FIRSTENERGY CORP,COM,337932107,"4,361",0.2%,"116,200",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"4,081",0.2%,"47,300",,
XOM,EXXON MOBIL CORP,COM,30231G102,"3,670",0.1%,"53,800",,
