Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COM,594918104,"1,505,554",2.4%,"3,571,898",,
AMD,ADVANCED MICRO DEVICES INC,COM,007903107,"429,391",0.7%,"3,554,856",,
MSFT,MICROSOFT CORP,COM,594918104,"261,540",0.4%,"620,500",,put
XOM,EXXON MOBIL CORP,COM,30231G102,"252,201",0.4%,"2,344,533",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,"231,552",0.4%,"439,738",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"222,326",0.4%,"4,181,300",,call
AMD,ADVANCED MICRO DEVICES INC,COM,007903107,"219,837",0.3%,"1,820,000",,put
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"196,245",0.3%,"3,690,682",,
HD,HOME DEPOT INC,COM,437076102,"195,723",0.3%,"503,169",,
V,VISA INC,COM CL A,92826C839,"182,224",0.3%,"576,587",,
PG,PROCTER AND GAMBLE CO,COM,742718109,"173,229",0.3%,"1,033,278",,
GE,GE AEROSPACE,COM NEW,369604301,"137,353",0.2%,"823,509",,
KO,COCA COLA CO,COM,191216100,"122,055",0.2%,"1,960,424",,
CVX,CHEVRON CORP NEW,COM,166764100,"113,416",0.2%,"783,047",,
SE,Sea Ltd,COMMON STOCK,81141R100,"109,279",0.2%,"1,030,221",,
PM,PHILIP MORRIS INTL INC,COM,718172109,"100,201",0.2%,"832,584",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"97,139",0.2%,"1,826,900",,put
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"93,847",0.1%,"2,346,826",,
T,AT&T INC,COM,00206R102,"92,225",0.1%,"4,050,292",,
AEM,AGNICO EAGLE MINES LTD,COM,008474108,"85,865",0.1%,"1,098,938",,
MCO,MOODYS CORP,COM,615369105,"81,686",0.1%,"172,565",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"80,904",0.1%,"1,128,548",,
BA,BOEING CO,COM,097023105,"76,618",0.1%,"432,872",,
C,CITIGROUP INC,COM NEW,172967424,"65,713",0.1%,"933,565",,
ADI,ANALOG DEVICES INC,COM,032654105,"60,038",0.1%,"282,591",,
XRT,SPDR SER TR,S&P RETAIL ETF,78464A714,"59,707",0.1%,"750,000",,
MU,MICRON TECHNOLOGY INC,COM,595112103,"56,691",0.1%,"673,610",,
GEV,GE VERNOVA INC,COM,36828A101,"48,495",0.1%,"147,433",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"48,426",0.1%,"2,472,000",,
MO,ALTRIA GROUP INC,COM,02209S103,"47,850",0.1%,"915,104",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"45,567",0.1%,"422,943",,
COP,CONOCOPHILLIPS,COM,20825C104,"43,778",0.1%,"441,456",,
WMB,WILLIAMS COS INC,COM,969457100,"43,250",0.1%,"799,160",,
PH,PARKER-HANNIFIN CORP,COM,701094104,"42,758",0.1%,"67,227",,
WM,WASTE MGMT INC DEL,COM,94106L109,"40,417",0.1%,"200,294",,
GM,GENERAL MTRS CO,COM,37045V100,"39,524",0.1%,"741,963",,
CL,COLGATE PALMOLIVE CO,COM,194162103,"39,252",0.1%,"431,768",,
ZTS,ZOETIS INC,CL A,98978V103,"38,497",0.1%,"236,282",,
BX,BLACKSTONE INC,COM,09260D107,"38,211",0.1%,"221,618",,
MAR,MARRIOTT INTL INC NEW,CL A,571903202,"37,067",0.1%,"132,887",,
EOG,EOG RES INC,COM,26875P101,"36,803",0.1%,"300,243",,
DE,DEERE & CO,COM,244199105,"36,679",0.1%,"86,568",,
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,"35,781",0.1%,"62,487",,
GD,GENERAL DYNAMICS CORP,COM,369550108,"35,519",0.1%,"134,806",,
NOC,NORTHROP GRUMMAN CORP,COM,666807102,"34,543",0.1%,"73,609",,
MS,MORGAN STANLEY,COM NEW,617446448,"34,262",0.1%,"272,534",,
PGR,PROGRESSIVE CORP,COM,743315103,"34,233",0.1%,"142,872",,
MMC,MARSH & MCLENNAN COS INC,COM,571748102,"33,220",0.1%,"156,399",,
KKR,KKR & CO INC,COM,48251W104,"32,671",0.1%,"220,887",,
TD,TORONTO-DOMINION BANK,COM,891160509,"32,281",0.1%,"606,340",,
BK,BANK NEW YORK MELLON CORP,COM,064058100,"31,290",0.0%,"407,270",,
SO,SOUTHERN CO,COM,842587107,"31,050",0.0%,"377,197",,
MSFT,MICROSOFT CORPORATION,COM,594918104,"31,033",0.0%,"73,689",,
SLB,SCHLUMBERGER LTD,COM STK,806857108,"30,975",0.0%,"807,904",,
OKE,ONEOK INC NEW,COM,682680103,"29,445",0.0%,"293,279",,
ROST,ROSS STORES INC,COM,778296103,"28,350",0.0%,"187,419",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"28,173",0.0%,"305,470",,
F,FORD MTR CO,COM,345370860,"27,842",0.0%,"2,812,407",,
AMP,AMERIPRISE FINL INC,COM,03076C106,"27,727",0.0%,"52,078",,
PWR,QUANTA SVCS INC,COM,74762E102,"26,466",0.0%,"83,743",,
CI,THE CIGNA GROUP,COM,125523100,"25,975",0.0%,"94,065",,
O,REALTY INCOME CORP,COM,756109104,"24,967",0.0%,"467,462",,
APO,APOLLO GLOBAL MGMT INC,COM,03769M106,"24,690",0.0%,"149,493",,
AME,AMETEK INC,COM,031100100,"24,576",0.0%,"136,354",,
ECL,ECOLAB INC,COM,278865100,"24,306",0.0%,"103,730",,
CCI,CROWN CASTLE INC,COM,22822V101,"23,892",0.0%,"263,249",,
HES,HESS CORP,COM,42809H107,"23,889",0.0%,"179,604",,
PCG,PG&E CORP,COM,69331C108,"23,538",0.0%,"1,166,436",,
EW,EDWARDS LIFESCIENCES CORP,COM,28176E108,"23,491",0.0%,"317,326",,
PEG,PUBLIC SVC ENTERPRISE GRP IN,COM,744573106,"23,366",0.0%,"276,558",,
MSFT,MICROSOFT CORP,COM,594918104,"22,508",0.0%,"53,400",,call
XEL,XCEL ENERGY INC,COM,98389B100,"22,076",0.0%,"326,955",,
KR,KROGER CO,COM,501044101,"21,960",0.0%,"359,121",,
TGT,TARGET CORP,COM,87612E106,"21,136",0.0%,"156,358",,
A,AGILENT TECHNOLOGIES INC,COM,00846U101,"20,674",0.0%,"153,898",,
EA,ELECTRONIC ARTS INC,COM,285512109,"20,089",0.0%,"137,319",,
IT,GARTNER INC,COM,366651107,"19,994",0.0%,"41,270",,
SRE,SEMPRA,COM,816851109,"19,866",0.0%,"226,474",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,"19,129",0.0%,"698,159",,
AEM,AGNICO EAGLE MINES LTD,COM,008474108,"18,424",0.0%,"235,800",,call
DD,DUPONT DE NEMOURS INC,COM,26614N102,"17,094",0.0%,"224,184",,
D,DOMINION ENERGY INC,COM,25746U109,"16,171",0.0%,"300,245",,
TGT,TARGET CORP,COM,87612E106,"15,721",0.0%,"116,300",,call
DOW,DOW INC,COM,260557103,"15,140",0.0%,"377,285",,
AAM,AA MISSION ACQUISITION CORP,ORD SHS CL A,G1000R101,"14,835",0.0%,"1,468,886",,
HPE,HEWLETT PACKARD ENTERPRISE C,COM,42824C109,"14,831",0.0%,"694,669",,
EQT,EQT CORP,COM,26884L109,"14,455",0.0%,"313,508",,
BR,BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,"14,146",0.0%,"62,571",,
MTD,METTLER TOLEDO INTERNATIONAL,COM,592688105,"13,852",0.0%,"11,320",,
CF,CF INDS HLDGS INC,COM,125269100,"12,798",0.0%,"150,000",,put
MU,MICRON TECHNOLOGY INC,COM,595112103,"12,624",0.0%,"150,000",,put
K,KELLANOVA,COM,487836108,"12,522",0.0%,"154,669",,
IR,INGERSOLL RAND INC,COM,45687V106,"12,307",0.0%,"136,054",,
V,VISA INC CLASS A,COM,92826C839,"11,499",0.0%,"36,415",,
RF,REGIONS FINANCIAL CORP NEW,COM,7591EP100,"11,457",0.0%,"487,152",,
ES,EVERSOURCE ENERGY,COM,30040W108,"11,366",0.0%,"197,922",,
AMD,ADVANCED MICRO DEVICES INC,COM,007903107,"11,245",0.0%,"93,100",,call
ETR,ENTERGY CORP NEW,COM,29364G103,"11,244",0.0%,"148,301",,
ED,CONSOLIDATED EDISON INC,COM,209115104,"11,050",0.0%,"123,841",,
TER,TERADYNE INC,COM,880770102,"10,977",0.0%,"87,182",,
OXY,OCCIDENTAL PETE CORP,COM,674599105,"10,914",0.0%,"220,905",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"10,869",0.0%,"66,346",,
GEN,GEN DIGITAL INC,COM,668771108,"10,648",0.0%,"389,011",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"10,634",0.0%,"113,085",,
ON,ON SEMICONDUCTOR CORP,COM,682189105,"9,990",0.0%,"158,450",,
CTRA,COTERRA ENERGY INC,COM,127097103,"9,858",0.0%,"386,016",,
EL,LAUDER ESTEE COS INC,CL A,518439104,"9,841",0.0%,"131,259",,
NI,NISOURCE INC,COM,65473P105,"9,421",0.0%,"256,294",,
DG,DOLLAR GEN CORP NEW,COM,256677105,"8,925",0.0%,"117,720",,
J,JACOBS SOLUTIONS INC,COM,46982L108,"8,882",0.0%,"66,478",,
FE,FIRSTENERGY CORP,COM,337932107,"8,755",0.0%,"220,109",,
CHD,CHURCH & DWIGHT CO INC,COM,171340102,"8,654",0.0%,"82,651",,
AEE,AMEREN CORP,COM,023608102,"8,506",0.0%,"95,433",,
RE,EVEREST GROUP LTD,COM,G3223R108,"8,342",0.0%,"23,015",,
PPL,PPL CORP,COM,69351T106,"8,302",0.0%,"255,779",,
L,LOEWS CORP,COM,540424108,"8,258",0.0%,"97,517",,
ARE,ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,"8,137",0.0%,"83,423",,
CF,CF INDS HLDGS INC,COM,125269100,"8,015",0.0%,"93,951",,
LNG,CHENIERE ENERGY INC,COM NEW,16411R208,"7,578",0.0%,"35,270",,
IVZ,INVESCO LTD,SHS,G491BT108,"7,531",0.0%,"430,851",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"7,396",0.0%,"233,101",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,"7,065",0.0%,"215,875",,
C,CITIGROUP INC,COM NEW,172967424,"7,039",0.0%,"100,000",,call
PG,PROCTER & GAMBLE COMPANY,COM,742718109,"7,003",0.0%,"41,807",,
LH,LABCORP HOLDINGS INC,COM SHS,504922105,"6,806",0.0%,"29,682",,
GM,GENERAL MTRS CO,COM,37045V100,"6,749",0.0%,"126,700",,put
MA,MASTERCARD INC CLASS A,COM,57636Q104,"6,624",0.0%,"12,591",,
REG,REGENCY CTRS CORP,COM,758849103,"6,593",0.0%,"89,182",,
COO,COOPER COS INC,COM,216648501,"6,499",0.0%,"70,696",,
NRG,NRG ENERGY INC,COM NEW,629377508,"6,374",0.0%,"70,659",,
SQ,BLOCK INC,CL A,852234103,"6,201",0.0%,"72,971",,
IP,INTERNATIONAL PAPER CO,COM,460146103,"6,185",0.0%,"114,933",,
AEM,AGNICO EAGLE MINES LTD,COM,008474108,"5,891",0.0%,"75,400",,put
AIZ,ASSURANT INC,COM,04621X108,"5,867",0.0%,"27,520",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"5,675",0.0%,"19,500",,
F,FORD MTR CO,COM,345370860,"4,702",0.0%,"475,000",,put
PM,PHILIP MORRIS INTL INC,COM,718172109,"4,368",0.0%,"36,300",,call
ARES,ARES MANAGEMENT CORPORATION,CL A COM STK,03990B101,"4,361",0.0%,"24,636",,
CE,CELANESE CORP DEL,COM,150870103,"4,047",0.0%,"58,476",,
LW,LAMB WESTON HLDGS INC,COM,513272104,"3,917",0.0%,"58,626",,
GL,GLOBE LIFE INC,COM,37959E102,"3,748",0.0%,"33,612",,
ML,MONEYLION INC,CL A,60938K304,"3,519",0.0%,"40,924",,
ALB,ALBEMARLE CORP,COM,012653101,"3,413",0.0%,"39,657",,
PWR,QUANTA SVCS INC,COM,74762E102,"3,160",0.0%,"10,000",,call
AES,AES CORP,COM,00130H105,"3,088",0.0%,"239,950",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"2,952",0.0%,"27,400",,put
APA,APA CORPORATION,COM,03743Q108,"2,859",0.0%,"123,827",,
AEM,AGNICO EAGLE MINES LIMITED,COM,008474108,"2,769",0.0%,"35,408",,
CL,COLGATE-PALMOLIVE COMPANY,COM,194162103,"2,742",0.0%,"30,189",,
CEP,CANTOR EQUITY PARTNERS INC,SHS CL A,G4491L104,"2,741",0.0%,"265,690",,
CHK,EXPAND ENERGY CORPORATION,COM,165167735,"2,634",0.0%,"26,467",,
ADI,ANALOG DEVICES INC,COM,032654105,"2,549",0.0%,"12,000",,call
X,UNITED STATES STL CORP NEW,COM,912909108,"2,518",0.0%,"74,100",,put
ZS,ZSCALER INC,COM,98980G102,"2,468",0.0%,"13,683",,
EOG,EOG RES INC,COM,26875P101,"2,451",0.0%,"20,000",,put
PWR,QUANTA SVCS INC,COM,74762E102,"2,370",0.0%,"7,500",,put
CG,CARLYLE GROUP INC,COM,14316J108,"2,323",0.0%,"46,016",,
U,UNITY SOFTWARE INC,COM,91332U101,"2,247",0.0%,"100,000",,call
XOM,EXXON MOBIL CORPORATION,COM,30231G102,"2,211",0.0%,"20,568",,
DT,DYNATRACE INC,COM NEW,268150109,"2,182",0.0%,"40,150",,
PCG,PG&E CORP,COM,69331C108,"2,052",0.0%,"101,700",,call
RS,RELIANCE INC,COM,759509102,"1,993",0.0%,"7,403",,
OC,OWENS CORNING NEW,COM,690742101,"1,992",0.0%,"11,702",,
TW,TRADEWEB MKTS INC,CL A,892672106,"1,987",0.0%,"15,182",,
AMP,AMERIPRISE FINANCIAL INC,COM,03076C106,"1,968",0.0%,"3,700",,
BA,BOEING CO,COM,097023105,"1,964",0.0%,"11,100",,put
RL,RALPH LAUREN CORP,CL A,751212101,"1,922",0.0%,"8,324",,
MMC,MARSH & MCLENNAN COMPANIES INC,COM,571748102,"1,921",0.0%,"9,052",,
KOS,KOSMOS ENERGY LTD,COM,500688106,"1,759",0.0%,"514,452",,
C,CITIGROUP INC,COM NEW,172967424,"1,759",0.0%,"25,000",,put
APO,APOLLO GLOBAL MGMT INC,COM,03769M106,"1,651",0.0%,"10,000",,put
GE,GE AEROSPACE,COM NEW,369604301,"1,534",0.0%,"9,200",,call
Z,ZILLOW GROUP INC,CL C CAP STK,98954M200,"1,528",0.0%,"20,635",,
LNC,LINCOLN NATL CORP IND,COM,534187109,"1,522",0.0%,"48,000",,call
MCO,MOODY'S CORP,COM,615369105,"1,496",0.0%,"3,163",,
GH,GUARDANT HEALTH INC,COM,40131M109,"1,423",0.0%,"46,600",,call
CVX,CHEVRON CORPORATION,COM,166764100,"1,277",0.0%,"8,823",,
SQ,BLOCK INC,CL A,852234103,"1,274",0.0%,"15,000",,call
KO,COCA-COLA COMPANY,COM,191216100,"1,229",0.0%,"19,759",,
ZTS,ZOETIS INC,COM,98978V103,"1,187",0.0%,"7,291",,
PH,PARKER-HANNIFIN CORP,COM,701094104,"1,144",0.0%,"1,800",,call
ADI,ANALOG DEVICES INC,COM,032654105,"1,126",0.0%,"5,300",,put
U,UNITY SOFTWARE INC,COM,91332U101,"1,123",0.0%,"50,000",,put
MEG,MONTROSE ENVIRONMENTAL GROUP,COM,615111101,"1,113",0.0%,"60,000",,call
MEG,MONTROSE ENVIRONMENTAL GROUP,COM,615111101,"1,113",0.0%,"60,000",,put
MS,MORGAN STANLEY,COM,617446448,"1,111",0.0%,"8,843",,
EWC,ISHARES MSCI CANADA ETF,COM,464286509,"1,092",0.0%,"27,125",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"1,032",0.0%,"14,400",,call
LNG,CHENIERE ENERGY INC,COM,16411R208,971,0.0%,"4,524",,
H,HYATT HOTELS CORP,COM CL A,448579102,950,0.0%,"6,056",,
BA,BOEING CO,COM,097023105,867,0.0%,"4,900",,call
GS,GOLDMAN SACHS GROUP INC,COM,38141G104,858,0.0%,"1,500",,call
X,UNITED STATES STL CORP NEW,COM,912909108,795,0.0%,"23,400",,call
ML,MONEYLION INC,CL A,60938K304,782,0.0%,"9,100",,put
W,Wayfair Inc,COMMON STOCK,94419L101,768,0.0%,"17,336",,
BK,BANK NEW YORK MELLON CORP,COM,064058100,768,0.0%,"10,000",,call
W,WAYFAIR INC,CL A,94419L101,768,0.0%,"17,336",,
AEP,AMERICAN ELECTRIC POWER COMP,COM,025537101,742,0.0%,"8,048",,
WU,WESTERN UN CO,COM,959802109,737,0.0%,"69,600",,call
PM,PHILIP MORRIS INTERNATIONAL INC,COM,718172109,721,0.0%,"6,000",,
HD,HOME DEPOT INC,COM,437076102,700,0.0%,"1,800",,call
U,UNITY SOFTWARE INC,COM,91332U101,683,0.0%,"30,421",,
SO,SOUTHERN COMPANY,COM,842587107,665,0.0%,"8,091",,
CLF,CLEVELAND-CLIFFS INC NEW,COM,185899101,657,0.0%,"69,995",,
XOM,EXXON MOBIL CORP,COM,30231G102,645,0.0%,"6,000",,call
EOG,EOG RESOURCES INC,COM,26875P101,612,0.0%,"4,995",,
AME,AMETEK INC,COM,031100100,594,0.0%,"3,300",,call
MO,ALTRIA GROUP INC,COM,02209S103,564,0.0%,"10,800",,call
M,MACYS INC,COM,55616P104,563,0.0%,"33,300",,call
PGR,PROGRESSIVE CORPORATION,COM,743315103,527,0.0%,"2,200",,
APO,APOLLO GLOBAL MANAGEMENT INC,COM,03769M106,522,0.0%,"3,166",,
PWR,QUANTA SERVICES INC,COM,74762E102,483,0.0%,"1,530",,
DT,DYNATRACE INC,COM,268150109,481,0.0%,"8,862",,
SAP,SAP SE SPONSORED ADR,COM,803054204,432,0.0%,"1,758",,
TW,TRADEWEB MARKETSINC-CLASS A,COM,892672106,409,0.0%,"3,124",,
SO,SOUTHERN CO,COM,842587107,378,0.0%,"4,600",,call
C,CITIGROUP INC NEW,COM,172967424,365,0.0%,"5,185",,
CHAR,CHARLTON ARIA ACQUISITION CO,ORD SHS CL A,G9877L107,363,0.0%,"36,546",,
BK,BANK OF NEW YORK MELLON CORP,COM,064058100,346,0.0%,"4,501",,
X,UNITED STATES STL CORP NEW,COM,912909108,317,0.0%,"9,351",,
CW,CURTISS WRIGHT CORP,COM,231561101,314,0.0%,886,,
MEG,MONTROSE ENVIRONMENTAL GROUP,COM,615111101,279,0.0%,"15,056",,
BA,BOEING COMPANY,COM,097023105,248,0.0%,"1,401",,
UL,UNILEVER PLC SPON ADR,COM,904767704,227,0.0%,"4,015",,
GL,GLOBE LIFE INC,COM,37959E102,223,0.0%,"2,000",,call
LNC,LINCOLN NATIONAL CORP,COM,534187109,222,0.0%,"7,000",,
DUK,DUKE ENERGY CORP NEW,COM,26441C204,204,0.0%,"1,895",,
SNE,SONY CORPORATION-SPONSORED ADR,COM,835699307,201,0.0%,"9,500",,
MTD,METTLER-TOLEDO INTERNATIONAL INC,COM,592688105,183,0.0%,150,,
PH,PARKER HANNIFIN CORP,COM,701094104,173,0.0%,272,,
CL,COLGATE PALMOLIVE CO,COM,194162103,145,0.0%,"1,600",,call
M,MACYS INC,COM,55616P104,140,0.0%,"8,300",,
GE,GENERAL ELECTRIC COMP,COM,369604301,138,0.0%,827,,
ARES,ARES MANAGEMENT CORP CL-A,COM,03990B101,95,0.0%,539,,
HG,HAMILTON INSURANCE GROUP LTD CL B,COM,G42706104,95,0.0%,"5,000",,
IR,INGERSOLL-RAND INC,COM,45687V106,73,0.0%,808,,
