Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ENB.TO,ENBRIDGE INC,COM,29250N105,"317,510",2.9%,"9,925,363",,
FTS.TO,FORTIS INC,COM,349553107,"228,596",2.1%,"5,600,098",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"176,363",1.6%,"4,331,115",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"102,946",0.9%,"4,351,057",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"80,690",0.7%,"4,808,701",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"38,908",0.4%,"1,617,796",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"36,579",0.3%,"900,000",,call
ENB.TO,ENBRIDGE INC,COM,29250N105,"25,566",0.2%,"800,000",,call
SHV,ISHARES TR,SHORT TREAS BD,464288679,"13,112",0.1%,"118,628",,
CVX,CHEVRON CORP NEW,COM,166764100,"11,286",0.1%,"133,641",,
TA.TO,TRANSALTA CORP,COM,89346D107,"10,896",0.1%,"1,435,573",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"10,090",0.1%,"121,172",,
ECL,ECOLAB INC,COM,278865100,"8,730",0.1%,"40,349",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"7,093",0.1%,"300,000",,call
XOM,EXXON MOBIL CORP,COM,30231G102,"4,959",0.0%,"120,306",,
SQ,SQUARE INC,CL A,852234103,"4,783",0.0%,"21,977",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"4,052",0.0%,"52,521",,
CPG.TO,CRESCENT PT ENERGY CORP,COM,22576C101,"3,794",0.0%,"1,621,289",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"3,060",0.0%,"506,623",,
CSX,CSX CORP,COM,126408103,"2,440",0.0%,"26,887",,
OVV.TO,OVINTIV INC,COM,69047Q102,"2,308",0.0%,"160,724",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"2,124",0.0%,"111,613",,
IVZ,INVESCO LTD,SHS,G491BT108,"1,877",0.0%,"107,688",,
EWC,ISHARES INC,MSCI CDA ETF,464286509,"1,845",0.0%,"59,825",,
VET.TO,VERMILION ENERGY INC,COM,923725105,"1,718",0.0%,"386,159",,
DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,"1,203",0.0%,"13,139",,
WMB,WILLIAMS COS INC,COM,969457100,"1,020",0.0%,"50,873",,
AVA,AVISTA CORP,COM,05379B107,990,0.0%,"24,664",,
AES,AES CORP,COM,00130H105,866,0.0%,"36,851",,
TER,TERADYNE INC,COM,880770102,764,0.0%,"6,375",,
BHP,BHP GROUP LTD,SPONSORED ADS,088606108,716,0.0%,"10,958",,
HUN,HUNTSMAN CORP,COM,447011107,591,0.0%,"23,508",,
EL,LAUDER ESTEE COS INC,CL A,518439104,557,0.0%,"2,092",,
SO,SOUTHERN CO,COM,842587107,529,0.0%,"8,611",,
HRL,HORMEL FOODS CORP,COM,440452100,463,0.0%,"9,933",,
CNX,CNX RES CORP,COM,12653C108,342,0.0%,"31,667",,
SLB,SCHLUMBERGER LTD,COM,806857108,329,0.0%,"15,071",,
COP,CONOCOPHILLIPS,COM,20825C104,295,0.0%,"7,377",,
PGR,PROGRESSIVE CORP,COM,743315103,283,0.0%,"2,862",,
NRG,NRG ENERGY INC,COM NEW,629377508,273,0.0%,"7,270",,
ERF.TO,ENERPLUS CORP,COM,292766102,248,0.0%,"79,278",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,220,0.0%,"2,391",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,211,0.0%,"13,346",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,209,0.0%,"12,838",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,147,0.0%,"10,753",,
GTE,GRAN TIERRA ENERGY INC,COM,38500T101,11,0.0%,"30,236",,
