"Manager","Report Date","Value ($000)","Shares","Option Type"
"GROUP ONE TRADING, L.P.","12/31/2020","6,025","338,100","put"
"SIMPLEX TRADING, LLC","12/31/2020","2,286","1,283","put"
"PROEQUITIES, INC.","12/31/2020","0","0","put"
