Manager,Report Date,Value ($000),Shares,Option Type
CITIGROUP INC,12/31/2021,"8,866","464,484",
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",12/31/2021,"8,699","456,167",
CITIGROUP INC,12/31/2021,"8,589","450,000",call
USS Investment Management Ltd,12/31/2021,"8,188","428,550",
GRACE & WHITE INC /NY,12/31/2021,"8,074","423,380",
ClariVest Asset Management LLC,12/31/2021,"7,549","395,510",
BURNEY CO/,12/31/2021,"6,389","335,033",
Erste Asset Management GmbH,12/31/2021,"6,179","326,419",
RAYMOND JAMES & ASSOCIATES,12/31/2021,"6,217","325,745",
Skandinaviska Enskilda Banken AB (publ),12/31/2021,"6,085","319,949",
BARCLAYS PLC,12/31/2021,"6,004","314,755",
BARCLAYS PLC,12/31/2021,"6,004","314,755",
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,12/31/2021,"5,723","300,000",call
Vontobel Holding Ltd.,12/31/2021,"5,522","289,100",
FIRST TRUST ADVISORS LP,12/31/2021,"5,309","278,523",
"MADISON ASSET MANAGEMENT, LLC",12/31/2021,"5,161","270,620",
AlphaCrest Capital Management LLC,12/31/2021,"5,147","269,900",
JCIC Asset Management Inc.,12/31/2021,"5,032","263,768",
APG Asset Management N.V.,12/31/2021,"4,424","263,567",
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",12/31/2021,"4,943","260,041",
Walleye Trading LLC,12/31/2021,"4,850","254,300",put
SHELL ASSET MANAGEMENT CO,12/31/2021,"4,663","244,300",
Assenagon Asset Management S.A.,12/31/2021,"4,438","232,712",
"Cubist Systematic Strategies, LLC",12/31/2021,"4,279","224,393",
HENNESSY ADVISORS INC,12/31/2021,"4,152","217,700",
"Barry Investment Advisors, LLC",12/31/2021,"4,043","212,002",
"Parallax Volatility Advisers, L.P.",12/31/2021,"3,938","206,500",put
Quantbot Technologies LP,12/31/2021,"3,874","203,147",
Lorne Steinberg Wealth Management Inc.,12/31/2021,"3,773","198,377",
"COMMONWEALTH EQUITY SERVICES, LLC",12/31/2021,"3,758","197,115",
"NATIXIS ADVISORS, L.P.",12/31/2021,"3,713","194,703",
"Raymond James Financial Services Advisors, Inc.",12/31/2021,"3,640","190,758",
WESTPAC BANKING CORP,12/31/2021,"4,545","188,552",
LPL Financial LLC,12/31/2021,"3,548","186,031",
Quadrature Capital Ltd,12/31/2021,"3,495","184,700",
AMERICAN CENTURY COMPANIES INC,12/31/2021,"3,381","177,368",
GUARDIAN CAPITAL ADVISORS LP,12/31/2021,"3,505","171,671",
Walleye Trading LLC,12/31/2021,"3,230","169,400",call
AMERIPRISE FINANCIAL INC,12/31/2021,"3,077","167,813",
"Crossmark Global Holdings, Inc.",12/31/2021,"3,178","166,669",
ALLIANCEBERNSTEIN L.P.,12/31/2021,"3,167","166,062",
"Parallax Volatility Advisers, L.P.",12/31/2021,"3,147","165,000",call
UBS Group AG,12/31/2021,"2,861","150,000",call
UBS Group AG,12/31/2021,"2,861","150,000",put
"ADVISOR GROUP HOLDINGS, INC.",12/31/2021,"2,848","148,629",
FOSTER & MOTLEY INC,12/31/2021,"2,785","146,020",
PCJ Investment Counsel Ltd.,12/31/2021,"2,712","142,161",
ENVESTNET ASSET MANAGEMENT INC,12/31/2021,"2,617","137,244",
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2021,"2,474","129,752",
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2021,"2,474","129,752",
"WOLVERINE TRADING, LLC",12/31/2021,"2,359","123,500",put
CITADEL ADVISORS LLC,12/31/2021,"2,227","116,800",put
"BNP PARIBAS ARBITRAGE, SA",12/31/2021,"2,079","109,024",
Walleye Trading LLC,12/31/2021,"1,979","103,786",
"Selective Wealth Management, Inc.",12/31/2021,"1,898","99,479",
"Ensign Peak Advisors, Inc",12/31/2021,"1,729","90,600",
"LEE JOHNSON CAPITAL MANAGEMENT, LLC",12/31/2021,"1,675","87,813",
"Smith Group Asset Management, LLC",12/31/2021,"1,667","87,390",
US BANCORP \DE\,12/31/2021,"1,621","85,008",
Rathbones Group PLC,12/31/2021,"1,617","84,700",
"LAKE STREET ADVISORS GROUP, LLC",12/31/2021,"1,591","83,444",
EATON VANCE MANAGEMENT,12/31/2021,"1,580","82,866",
CLARET ASSET MANAGEMENT Corp,12/31/2021,"1,518","79,553",
"Cambridge Investment Research Advisors, Inc.",12/31/2021,"1,423","74,620",
Magnetar Financial LLC,12/31/2021,"1,336","70,043",
BLAIR WILLIAM & CO/IL,12/31/2021,"1,321","69,297",
ACADIAN ASSET MANAGEMENT LLC,12/31/2021,"1,306","68,453",
Midwest Wealth Management Inc.,12/31/2021,"1,305","68,450",
JB Capital LLC,12/31/2021,"1,269","66,572",
"Kalos Management, Inc.",12/31/2021,"1,317","65,582",
Candriam Luxembourg S.C.A.,12/31/2021,"1,238","64,854",
AEGON ASSET MANAGEMENT UK PLC,12/31/2021,"1,222","64,759",
"BENJAMIN F. EDWARDS & COMPANY, INC.",12/31/2021,"1,219","63,908",
"HighTower Advisors, LLC",12/31/2021,"1,207","63,219",
FARMERS & MERCHANTS INVESTMENTS INC,12/31/2021,"1,205","63,209",
RITHOLTZ WEALTH MANAGEMENT,12/31/2021,"1,201","62,955",
Baader Bank Aktiengesellschaft,12/31/2021,"1,192","62,500",
"JANE STREET GROUP, LLC",12/31/2021,"1,190","62,400",put
CAPTRUST FINANCIAL ADVISORS,12/31/2021,"1,158","60,700",
TRUIST FINANCIAL CORP,12/31/2021,"1,137","59,579",
"Twin Tree Management, LP",12/31/2021,"1,131","59,300",call
Coastline Trust Co,12/31/2021,"1,113","58,370",
FineMark National Bank & Trust,12/31/2021,"1,094","57,387",
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2021,"1,079","56,600",call
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2021,"1,079","56,600",call
"AIGEN INVESTMENT MANAGEMENT, LP",12/31/2021,"1,012","53,884",
Creative Planning,12/31/2021,"1,013","53,098",
"First Heartland Consultants, Inc.",12/31/2021,"1,009","52,961",
Janney Montgomery Scott LLC,12/31/2021,968,"50,755",
Bridge Creek Capital Management LLC,12/31/2021,951,"49,852",
BI Asset Management Fondsmaeglerselskab A/S,12/31/2021,934,"48,933",
BOWEN HANES & CO INC,12/31/2021,899,"47,165",
TODD ASSET MANAGEMENT LLC,12/31/2021,869,"45,574",
COMERICA BANK,12/31/2021,910,"45,400",
"PNC Financial Services Group, Inc.",12/31/2021,840,"44,089",
"Advisors Asset Management, Inc.",12/31/2021,835,"43,810",
RESOURCES MANAGEMENT CORP /CT/ /ADV,12/31/2021,833,"43,692",
"apricus wealth, LLC",12/31/2021,829,"43,475",
Sageworth Trust Co,12/31/2021,821,"43,048",
"WOLVERINE TRADING, LLC",12/31/2021,822,"43,020",
BARTLETT & CO. WEALTH MANAGEMENT LLC,12/31/2021,817,"42,879",
Bartlett & Co. LLC,12/31/2021,818,"42,879",
"Moors & Cabot, Inc.",12/31/2021,803,"42,122",
ONTARIO TEACHERS PENSION PLAN BOARD,12/31/2021,800,"41,965",
STIFEL FINANCIAL CORP,12/31/2021,789,"41,400",
"JANE STREET GROUP, LLC",12/31/2021,784,"41,100",call
HOLLENCREST CAPITAL MANAGEMENT,12/31/2021,778,"40,786",
M&T Bank Corp,12/31/2021,768,"40,280",
VAN ECK ASSOCIATES CORP,12/31/2021,733,"38,413",
Pendal Group Ltd,12/31/2021,718,"37,661",
Hendershot Investments Inc.,12/31/2021,718,"37,647",
"GSB Wealth Management, LLC",12/31/2021,698,"36,600",
Voya Investment Management LLC,12/31/2021,696,"36,484",
