"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","2,783,279","156,188,451",""
"BANK OF MONTREAL /CAN/","12/31/2020","1,392,760","74,280,461",""
"VANGUARD GROUP INC","12/31/2020","1,038,630","58,284,529",""
"Jarislowsky, Fraser Ltd","12/31/2020","782,284","44,001,291",""
"TD ASSET MANAGEMENT INC","12/31/2020","632,379","35,569,590",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","611,586","34,400,000",""
"MACKENZIE FINANCIAL CORP","12/31/2020","555,479","31,312,813",""
"FIL Ltd","12/31/2020","521,880","29,329,009",""
"BANK OF NOVA SCOTIA","12/31/2020","476,786","26,755,667",""
"CIBC World Markets Inc.","12/31/2020","419,849","23,560,549",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","403,362","22,633,058",""
"EdgePoint Investment Group Inc.","12/31/2020","339,183","19,060,123",""
"FMR LLC","12/31/2020","328,380","18,454,511",""
"NORGES BANK","12/31/2020","315,372","17,724,640",""
"1832 Asset Management L.P.","12/31/2020","293,692","16,573,250",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","277,774","15,624,010",""
"WELLS FARGO & COMPANY/MN","12/31/2020","253,762","14,240,243",""
"CIBC Asset Management Inc","12/31/2020","243,877","13,737,172",""
"JANUS HENDERSON GROUP PLC","12/31/2020","217,855","12,249,691",""
"SCOTIA CAPITAL INC.","12/31/2020","212,512","11,925,477",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2020","201,299","11,296,274",""
"Capital World Investors","12/31/2020","197,201","11,082,459",""
"Beutel, Goodman & Co Ltd.","12/31/2020","195,662","10,979,915",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","185,323","10,446,838",""
"TORONTO DOMINION BANK","12/31/2020","177,680","10,011,520",""
"Legal & General Group Plc","12/31/2020","177,861","10,003,814",""
"Swiss National Bank","12/31/2020","138,330","7,770,300",""
"FRANKLIN RESOURCES INC","12/31/2020","129,686","7,288,727",""
"Federation des caisses Desjardins du Quebec","12/31/2020","127,626","7,193,802",""
"GUARDIAN CAPITAL LP","12/31/2020","117,699","6,620,227",""
"JPMORGAN CHASE & CO","12/31/2020","114,479","6,424,190",""
"DekaBank Deutsche Girozentrale","12/31/2020","111,996","6,322,418",""
"Alberta Investment Management Corp","12/31/2020","109,530","6,160,750",""
"Invesco Ltd.","12/31/2020","101,497","5,695,574",""
"PRICE T ROWE ASSOCIATES INC /MD/","12/31/2020","98,209","5,524,004",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","90,013","5,059,027",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2020","90,754","5,037,848",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","83,404","4,680,379",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","83,404","4,680,379",""
"AGF INVESTMENTS INC.","12/31/2020","82,469","4,634,625",""
"GOLDMAN SACHS GROUP INC","12/31/2020","79,593","4,466,547",""
"Allianz Asset Management GmbH","12/31/2020","78,722","4,427,907",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","76,679","4,309,607",""
