"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","1,665,942","117,402,394",""
"BANK OF MONTREAL /CAN/","12/31/2018","1,047,825","73,842,556",""
"CAUSEWAY CAPITAL MANAGEMENT LLC","12/31/2018","919,029","64,765,989",""
"Vanguard Group Inc","12/31/2018","761,119","53,637,754",""
"TD ASSET MANAGEMENT INC","12/31/2018","690,799","48,709,007",""
"MACKENZIE FINANCIAL CORP","12/31/2018","572,862","40,370,850",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2018","540,196","38,089,810",""
"Jarislowsky, Fraser Ltd","12/31/2018","531,717","37,491,956",""
"CIBC World Markets Inc.","12/31/2018","365,150","25,732,913",""
"1832 Asset Management L.P.","12/31/2018","318,285","22,411,227",""
"CIBC Asset Management Inc","12/31/2018","304,358","21,445,224",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2018","304,053","21,439,119",""
"EdgePoint Investment Group Inc.","12/31/2018","292,314","20,602,394",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","282,857","19,908,267",""
"NORGES BANK","12/31/2018","275,237","19,407,164",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","229,390","16,174,547",""
"BANK OF NOVA SCOTIA","12/31/2018","229,172","16,150,255",""
"FIL Ltd","12/31/2018","202,535","14,274,657",""
"Mawer Investment Management Ltd.","12/31/2018","158,979","11,137,982",""
"SCOTIA CAPITAL INC.","12/31/2018","146,946","10,352,956",""
"WELLS FARGO & COMPANY/MN","12/31/2018","146,881","10,350,985",""
"TORONTO DOMINION BANK","12/31/2018","113,913","8,006,971",""
"USS Investment Management Ltd","12/31/2018","110,827","7,799,375",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2018","105,720","7,544,208",""
"Legal & General Group Plc","12/31/2018","104,781","7,388,051",""
"FRANKLIN RESOURCES INC","12/31/2018","104,438","7,377,916",""
"GUARDIAN CAPITAL LP","12/31/2018","103,433","7,293,140",""
"Federation des caisses Desjardins du Quebec","12/31/2018","102,298","7,207,348",""
"Beutel, Goodman & Co Ltd.","12/31/2018","100,274","7,065,322",""
"Swiss National Bank","12/31/2018","97,581","6,873,500",""
"Fiera Capital Corp","12/31/2018","94,391","6,639,072",""
"CITADEL ADVISORS LLC","12/31/2018","92,796","6,535,253",""
"Invesco Ltd.","12/31/2018","85,021","5,991,600",""
"JANUS HENDERSON GROUP PLC","12/31/2018","83,270","5,865,540",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2018","75,565","5,325,234",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2018","73,462","5,179,900",""
"Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp","12/31/2018","94,828","4,895,600",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2018","64,908","4,574,201",""
"TWO SIGMA INVESTMENTS, LP","12/31/2018","60,345","4,249,231",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2018","78,874","4,071,978",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2018","78,874","4,071,978",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2018","78,874","4,071,978",""
"Highstreet Asset Management Inc.","12/31/2018","56,185","3,959,949",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2018","75,863","3,916,526",""
"JPMORGAN CHASE & CO","12/31/2018","54,970","3,873,859",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2018","51,910","3,658,224",""
"CIDEL ASSET MANAGEMENT INC","12/31/2018","50,855","3,585,820",""
"AGF INVESTMENTS INC.","12/31/2018","47,676","3,360,189",""
"Bank of New York Mellon Corp","12/31/2018","47,231","3,328,486",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2018","46,319","3,304,563",""
"Allianz Asset Management GmbH","12/31/2018","45,758","3,226,371",""
"Addenda Capital Inc.","12/31/2018","44,541","3,140,510",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2018","58,944","3,043,075",""
"NORTHERN TRUST CORP","12/31/2018","42,374","2,986,157",""
"DEUTSCHE BANK AG\","12/31/2018","41,374","2,915,987",""
"GOLDMAN SACHS GROUP INC","12/31/2018","40,853","2,878,955",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2018","40,599","2,861,083",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2018","40,569","2,860,540",""
"LINCLUDEN MANAGEMENT LTD","12/31/2018","26,747","2,838,256",""
"Greystone Managed Investments Inc.","12/31/2018","40,233","2,836,841",""
"CREDIT SUISSE AG/","12/31/2018","39,802","2,805,023",""
"MORGAN STANLEY","12/31/2018","38,332","2,701,284",""
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2018","34,631","2,439,855",""
"AQR CAPITAL MANAGEMENT LLC","12/31/2018","33,052","2,330,529",""
"Hexavest Inc.","12/31/2018","31,944","2,252,387",""
"CIBC World Markets Inc.","12/31/2018","31,076","2,190,000","put"
"DekaBank Deutsche Girozentrale","12/31/2018","30,148","2,150,057",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2018","29,018","2,046,078",""
"Schafer Cullen Capital Management Inc","12/31/2018","27,862","1,963,487",""
"BANK OF AMERICA CORP /DE/","12/31/2018","27,766","1,956,666",""
"Public Sector Pension Investment Board","12/31/2018","27,454","1,935,780",""
"Russell Investments Group, Ltd.","12/31/2018","27,042","1,906,389",""
"TWO SIGMA ADVISERS, LP","12/31/2018","25,796","1,816,562",""
"Clark Capital Management Group, Inc.","12/31/2018","24,059","1,695,496",""
