"Manager","Report Date","Value ($000)","Shares","Option Type"
"Galibier Capital Management Ltd.","12/31/2023","29,839","1,343,779",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2023","29,727","1,338,762",""
"TWO SIGMA ADVISERS, LP","12/31/2023","28,298","1,280,455",""
"GUARDIAN CAPITAL LP","12/31/2023","28,367","1,277,488",""
"State of Tennessee, Treasury Department","12/31/2023","26,495","1,193,207",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2023","26,271","1,183,393",""
"AMERICAN CENTURY COMPANIES INC","12/31/2023","25,848","1,169,757",""
"TORONTO DOMINION BANK","12/31/2023","25,821","1,168,400",""
"Hillsdale Investment Management Inc.","12/31/2023","25,593","1,157,710",""
"PRUDENTIAL PLC","12/31/2023","25,234","1,141,942",""
"D. E. Shaw & Co., Inc.","12/31/2023","24,300","1,100,000","put"
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2023","23,997","1,085,907",""
"FRANKLIN RESOURCES INC","12/31/2023","23,608","1,068,339",""
"APG Asset Management N.V.","12/31/2023","19,833","986,645",""
"Achmea Investment Management B.V.","12/31/2023","21,882","985,435",""
"BANK OF MONTREAL /CAN/","12/31/2023","21,382","966,800","call"
"Royal Bank of Canada","12/31/2023","21,083","954,000","call"
"Mitsubishi UFJ Trust & Banking Corp","12/31/2023","19,332","875,586",""
"AXA S.A.","12/31/2023","19,326","874,522",""
"AXA S.A.","12/31/2023","19,326","874,522",""
"Mn Services Vermogensbeheer B.V.","12/31/2023","19,157","862,737",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2023","18,204","823,727",""
"CITIGROUP INC","12/31/2023","18,001","810,685",""
"MILLENNIUM MANAGEMENT LLC","12/31/2023","23,424","800,000","call"
"UBS Group AG","12/31/2023","17,492","791,536",""
"JANE STREET GROUP, LLC","12/31/2023","17,272","781,564",""
"FORSTA AP-FONDEN","12/31/2023","17,144","772,100",""
"WADE G W & INC","12/31/2023","16,856","762,727",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2023","16,676","754,270",""
"Heathbridge Capital Management Ltd.","12/31/2023","15,845","715,800",""
"Northwest & Ethical Investments L.P.","12/31/2023","14,645","662,762",""
"Onex Canada Asset Management Inc.","12/31/2023","13,889","628,582",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2023","12,683","571,422",""
"ASSETMARK, INC","12/31/2023","12,497","565,512",""
"USS Investment Management Ltd","12/31/2023","12,361","559,652",""
"MILLENNIUM MANAGEMENT LLC","12/31/2023","11,903","538,597",""
"BARCLAYS PLC","12/31/2023","11,783","533,085",""
"TORONTO DOMINION BANK","12/31/2023","11,306","511,597",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2023","11,075","504,041",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2023","10,652","479,349",""
"LPL Financial LLC","12/31/2023","10,466","473,591",""
"Vontobel Holding Ltd.","12/31/2023","10,091","456,659",""
"Crestwood Advisors Group, LLC","12/31/2023","9,737","440,609",""
"GRACE & WHITE INC /NY","12/31/2023","9,704","439,105",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2023","9,419","424,195",""
"NATIXIS ADVISORS, L.P.","12/31/2023","9,149","414,047",""
"Public Sector Pension Investment Board","12/31/2023","9,084","409,103",""
"FIRST TRUST ADVISORS LP","12/31/2023","8,803","398,397",""
"FMR LLC","12/31/2023","8,795","398,040",""
"RAYMOND JAMES & ASSOCIATES","12/31/2023","8,689","393,177",""
"Promethos Capital, LLC","12/31/2023","8,250","373,338",""
"US BANCORP \DE\","12/31/2023","7,902","357,569",""
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2023","7,592","343,531",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2023","7,537","341,021",""
"Power Corp of Canada","12/31/2023","7,124","321,919",""
"FOSTER & MOTLEY INC","12/31/2023","6,860","310,405",""
"UBS Group AG","12/31/2023","6,630","300,000","call"
"UBS Group AG","12/31/2023","6,630","300,000","put"
"HENNESSY ADVISORS INC","12/31/2023","5,951","269,300",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2023","5,856","265,000",""
"ALLIANCEBERNSTEIN L.P.","12/31/2023","5,720","258,860",""
"Cyndeo Wealth Partners, LLC","12/31/2023","5,406","244,641",""
"OSAIC HOLDINGS, INC.","12/31/2023","5,294","239,590",""
"PCJ Investment Counsel Ltd.","12/31/2023","5,286","239,211",""
"VAN ECK ASSOCIATES CORP","12/31/2023","5,157","233,232",""
"AMERIPRISE FINANCIAL INC","12/31/2023","5,693","229,248",""
"Gold Investment Management Ltd.","12/31/2023","4,976","225,158",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2023","4,887","220,344",""
"LBP AM SA","12/31/2023","4,882","219,873",""
"Utah Retirement Systems","12/31/2023","4,772","214,919",""
"OPPENHEIMER ASSET MANAGEMENT INC.","12/31/2023","4,699","212,627",""
