"Manager","Report Date","Value ($000)","Shares","Option Type"
"Cardinal Capital Management, Inc.","12/31/2024","74,182","815,597",""
"Mn Services Vermogensbeheer B.V.","12/31/2024","12,020","131,926",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2024","476","5,227",""
"PNC Financial Services Group, Inc.","12/31/2024","152","1,669",""
"Coston, McIsaac & Partners","12/31/2024","25","275",""
"GAMMA Investing LLC","12/31/2024","0","6",""
