"Manager","Report Date","Value ($000)","Shares","Option Type"
"Hexavest Inc.","12/31/2018","4,618","112,519",""
"LSV ASSET MANAGEMENT","12/31/2018","4,145","100,900",""
"Schafer Cullen Capital Management Inc","12/31/2018","944","22,967",""
"Gulf International Bank (UK) Ltd","12/31/2018","267","6,508",""
"World Asset Management Inc","12/31/2018","211","5,136",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2018","8","200",""
