Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
CIVITAS RESOURCES INC,"  2,014.00 "," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  31.86 ,  31.86 
CMS ENERGY CORP,"  664,387.00 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.13%,"  22,275.69 ","  53,525.85 "
CONOCOPHILLIPS,"  3,014,999.00 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.23%,"  37,393.66 ","  586,132.95 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,"  1,143.00 "," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  8.29 ,  8.29 
CRESCENT POINT ENERGY CORP,"  17,136,437.00 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",2.51%,"  32,755.49 ","  32,755.49 "
DIAMONDBACK ENERGY INC,"  364,931.00 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.16%,"  3,439.05 ","  75,184.81 "
DOMINION ENERGY INC,"  1,587,671.00 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.10%,"  34,565.58 ","  64,645.99 "
DTE ENERGY COMPANY,"  94,023.00 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.03%,"  6,950.50 ","  13,625.56 "
DUKE ENERGY CORP,"  1,280,859.00 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.08%,"  65,225.35 ","  96,996.56 "
ECOPETROL SA,"  53,974.00 "," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  7.74 ,  95.92 
EMERA INC,"  1,067,469.00 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.16%,"  24,106.61 ","  38,337.40 "
ENBRIDGE INC,"  60,923,868.00 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",1.63%,"  234,247.47 ","  1,113,823.35 "
ENEL SPA,"  1,651,311.00 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.01%,"  3,428.14 ","  7,979.79 "
ENERFLEX LTD,"  453,022.00 "," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.17%,  51.95 ,"  5,373.79 "
ENERGY TRANSFER LP,"  18,963,209.00 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.23%,  -   ,  -   
ENERPLUS CORP,"  1,871,363.00 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",1.10%,"  10,556.69 ","  10,557.43 "
ENI SPA,"  268,175.00 "," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.01%,"  2,455.56 ","  13,420.23 "
ENTERPRISE PRODUCTS PARTNERS,"  12,549,741.00 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.37%,"  44,120.05 ","  44,120.05 "
EOG RESOURCES INC,"  1,925,810.00 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.33%,"  17,863.73 ","  379,340.43 "
EQT CORP,"  222,372.00 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.05%,  317.25 ,"  45,906.33 "
EQUINOR ASA,"  1,047,124.00 "," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.38%,"  43,531.40 ","  963,558.10 "
EQUITRANS MIDSTREAM CORP,"  1,152,359.00 "," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.07%,"  1,653.93 ","  1,653.93 "
EXXON MOBIL CORP,"  3,844,864.00 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.09%,"  93,781.30 ","  736,853.06 "
FIRSTENERGY CORP,"  335,576.00 "," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.03%,"  5,302.00 ","  14,995.42 "
FORTIS INC,"  10,817,639.00 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",1.00%,"  89,597.71 ","  1,171,253.98 "
FRANCO-NEVADA CORP,"  4,924,672.00 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,3.64%,  1.82 ,  4.88 
FREEHOLD ROYALTIES LTD,"  271,291.00 "," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.17%,  -   ,  -   
GALP ENERGIA SGPS SA,"  49,889.00 "," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  156.83 ,"  2,257.13 "
GLENCORE PLC,"  2,089,097.00 "," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",1.07%,"  288,980.70 ","  3,945,462.50 "
HALLIBURTON CO,"  360,167.00 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.03%,"  1,249.90 ","  1,309.37 "
HESS CORP,"  124,830.00 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.03%,  930.74 ,"  17,768.14 "
IMPERIAL OIL LTD,"  1,949,237.00 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.33%,"  48,983.96 ","  48,983.96 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,"  742,547.00 "," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.03%,  700.71 ,"  1,464.51 "
KEYERA CORP,"  4,120,729.00 "," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",1.14%,"  19,779.61 ","  19,810.76 "
KINDER MORGAN INC,"  1,038,971.00 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.03%,"  4,610.34 ","  4,610.34 "
MARATHON OIL CORP,"  436,474.00 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.05%,"  1,735.10 ","  23,449.64 "
MARATHON PETROLEUM CORP,"  312,299.00 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.05%,"  19,232.99 ","  241,078.90 "
