"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2024","8,856,501","73,491,824",""
"BANK OF MONTREAL /CAN/","12/31/2024","8,087,058","67,157,390",""
"VANGUARD GROUP INC","12/31/2024","7,136,056","59,183,549",""
"TD ASSET MANAGEMENT INC","12/31/2024","3,764,538","31,237,938",""
"CIBC WORLD MARKET INC.","12/31/2024","3,208,799","26,626,830",""
"MACKENZIE FINANCIAL CORP","12/31/2024","2,803,302","23,274,594",""
"MACKENZIE FINANCIAL CORP","12/31/2024","2,803,302","23,274,594",""
"MACKENZIE FINANCIAL CORP","12/31/2024","2,810,064","23,274,594",""
"FIL Ltd","12/31/2024","2,688,659","22,298,717",""
"NORGES BANK","12/31/2024","2,425,519","20,142,235",""
"NATIONAL BANK OF CANADA /FI/","12/31/2024","2,203,550","18,259,924",""
"1832 Asset Management L.P.","12/31/2024","2,036,586","16,899,730",""
"FMR LLC","12/31/2024","1,971,222","16,348,581",""
"BANK OF NOVA SCOTIA","12/31/2024","1,874,892","15,552,625",""
"CIBC Asset Management Inc","12/31/2024","1,608,486","13,327,699",""
"Federation des caisses Desjardins du Quebec","12/31/2024","1,447,583","12,036,233",""
"TORONTO DOMINION BANK","12/31/2024","1,389,664","11,540,199",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2024","1,385,233","11,473,362",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2024","1,338,155","11,112,451",""
"SCOTIA CAPITAL INC.","12/31/2024","1,071,536","8,891,023",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2024","1,027,060","8,382,278",""
"Legal & General Group Plc","12/31/2024","990,474","8,218,901",""
"Capital World Investors","12/31/2024","967,919","8,027,552",""
"Beutel, Goodman & Co Ltd.","12/31/2024","898,987","7,459,760",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2024","873,940","7,251,910",""
"JPMORGAN CHASE & CO","12/31/2024","745,557","6,186,681",""
"GQG Partners LLC","12/31/2024","698,578","5,796,767",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2024","682,001","5,660,000",""
"TD Waterhouse Canada Inc.","12/31/2024","656,503","5,453,838",""
"Fiera Capital Corp","12/31/2024","558,045","4,633,210",""
"Invesco Ltd.","12/31/2024","456,679","3,789,560",""
"Alberta Investment Management Corp","12/31/2024","431,892","3,583,817",""
"CHARLES SCHWAB INVESTMENT MANAGEMENT INC","12/31/2024","427,588","3,548,041",""
"MORGAN STANLEY","12/31/2024","409,641","3,399,233",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2024","373,601","3,102,502",""
"GOLDMAN SACHS GROUP INC","12/31/2024","370,317","3,072,922",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2024","332,650","2,762,432",""
"FRANKLIN RESOURCES INC","12/31/2024","328,632","2,729,059",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2024","316,658","2,627,651",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2024","293,894","2,438,724",""
"CIBC WORLD MARKET INC.","12/31/2024","284,379","2,359,800","call"
"BANK OF AMERICA CORP /DE/","12/31/2024","274,870","2,280,895",""
"AGF MANAGEMENT LTD","12/31/2024","310,635","2,230,446",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2024","261,793","2,172,381",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2024","260,372","2,160,865",""
"TORONTO DOMINION BANK","12/31/2024","243,512","2,022,200","call"
"JARISLOWSKY, FRASER Ltd","12/31/2024","243,404","2,019,759",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2024","216,771","1,798,760",""
"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC","12/31/2024","206,888","1,716,771",""
"DEUTSCHE BANK AG\","12/31/2024","198,943","1,650,843",""
"Nuveen Asset Management, LLC","12/31/2024","198,754","1,649,256",""
"GUARDIAN CAPITAL LP","12/31/2024","197,345","1,637,559",""
"Clearbridge Investments, LLC","12/31/2024","183,568","1,523,267",""
"SIG North Trading, ULC","12/31/2024","176,776","1,466,900","put"
"APG Asset Management N.V.","12/31/2024","166,084","1,427,075",""
"BANK OF MONTREAL /CAN/","12/31/2024","164,095","1,362,700","put"
"AMUNDI","12/31/2024","165,772","1,362,476",""
"Bank of New York Mellon Corp","12/31/2024","154,958","1,285,856",""
"TORONTO DOMINION BANK","12/31/2024","154,377","1,282,000","put"
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2024","149,661","1,242,836",""
"Canoe Financial LP","12/31/2024","144,843","1,202,099",""
"BlackRock, Inc.","12/31/2024","143,631","1,191,867",""
"NORTHERN TRUST CORP","12/31/2024","135,026","1,120,456",""
"OMERS ADMINISTRATION Corp","12/31/2024","133,614","1,108,726",""
"Korea Investment CORP","12/31/2024","130,714","1,084,662",""
"CANADA LIFE ASSURANCE Co","12/31/2024","129,031","1,071,657",""
"Cardinal Capital Management, Inc.","12/31/2024","122,484","1,018,136",""
"DekaBank Deutsche Girozentrale","12/31/2024","113,046","945,161",""
"UBS Group AG","12/31/2024","108,635","901,467",""
"MILLENNIUM MANAGEMENT LLC","12/31/2024","107,579","892,717",""
"ALLIANCEBERNSTEIN L.P.","12/31/2024","106,245","881,634",""
"Hillsdale Investment Management Inc.","12/31/2024","106,123","881,128",""
"AVIVA PLC","12/31/2024","102,560","852,311",""
"Russell Investments Group, Ltd.","12/31/2024","99,722","827,638",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2024","99,364","824,183",""
"HSBC HOLDINGS PLC","12/31/2024","98,911","820,592",""
"State of Tennessee, Department of Treasury","12/31/2024","98,068","813,769",""
"REGIONS FINANCIAL CORP","12/31/2024","95,642","793,651",""
"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC","12/31/2024","830","790,441",""
