"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","7,765,841","76,790,674",""
"BANK OF MONTREAL /CAN/","12/31/2023","7,657,650","75,563,654",""
"VANGUARD GROUP INC","12/31/2023","5,534,910","54,730,646",""
"TD Asset Management Inc","12/31/2023","3,310,010","32,571,491",""
"CIBC WORLD MARKET INC.","12/31/2023","2,977,832","29,445,582",""
"BANK OF NOVA SCOTIA","12/31/2023","2,834,219","28,024,917",""
"MACKENZIE FINANCIAL CORP","12/31/2023","2,718,630","26,869,809",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","1,929,388","19,209,624",""
"FIL Ltd","12/31/2023","1,900,216","18,790,164",""
"NORGES BANK","12/31/2023","1,898,970","18,776,992",""
"1832 Asset Management L.P.","12/31/2023","1,867,133","18,462,707",""
"TORONTO DOMINION BANK","12/31/2023","1,535,519","15,183,616",""
"CIBC Asset Management Inc","12/31/2023","1,368,640","13,490,419",""
"Beutel, Goodman & Co Ltd.","12/31/2023","1,123,284","11,053,454",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2023","1,118,447","11,006,207",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2023","987,723","9,751,388",""
"FMR LLC","12/31/2023","924,410","9,140,974",""
"SCOTIA CAPITAL INC.","12/31/2023","877,399","8,681,863",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2023","864,729","8,550,436",""
"Legal & General Group Plc","12/31/2023","803,244","7,904,374",""
"GOLDMAN SACHS GROUP INC","12/31/2023","705,601","6,977,174",""
"GOLDMAN SACHS GROUP INC","12/31/2023","705,601","6,977,174",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2023","661,444","6,536,951",""
"JPMORGAN CHASE & CO","12/31/2023","613,420","6,065,659",""
"JPMORGAN CHASE & CO","12/31/2023","613,420","6,065,659",""
"TD Waterhouse Canada Inc.","12/31/2023","767,868","5,769,788",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","532,577","5,239,030",""
"Fiera Capital Corp","12/31/2023","455,720","4,491,570",""
"Federation des caisses Desjardins du Quebec","12/31/2023","428,729","4,109,085",""
"Capital World Investors","12/31/2023","365,246","3,611,712",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","364,525","3,587,044",""
"Alberta Investment Management Corp","12/31/2023","341,867","3,364,078",""
"Invesco Ltd.","12/31/2023","327,893","3,242,293",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","327,046","3,223,361",""
"TORONTO DOMINION BANK","12/31/2023","288,180","2,849,600",""
"AGF MANAGEMENT LTD","12/31/2023","309,638","2,798,502",""
"MORGAN STANLEY","12/31/2023","278,295","2,751,857",""
"MORGAN STANLEY","12/31/2023","278,295","2,751,857",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2023","277,806","2,747,027",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2023","261,098","2,569,292",""
"JARISLOWSKY, FRASER Ltd","12/31/2023","229,444","2,257,807",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2023","226,917","2,243,756",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","220,693","2,182,276",""
"CREDIT SUISSE AG/","12/31/2023","212,651","2,102,751",""
