"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","6,028,748","73,467,566",""
"BANK OF MONTREAL /CAN/","12/31/2020","5,375,441","63,690,065",""
"VANGUARD GROUP INC","12/31/2020","3,524,380","42,948,836",""
"TD ASSET MANAGEMENT INC","12/31/2020","2,491,276","30,345,972",""
"FIL Ltd","12/31/2020","2,402,559","29,240,055",""
"BANK OF NOVA SCOTIA","12/31/2020","1,937,852","23,615,062",""
"CIBC World Markets Inc.","12/31/2020","1,848,257","22,523,244",""
"TORONTO DOMINION BANK","12/31/2020","1,556,013","18,987,786",""
"MACKENZIE FINANCIAL CORP","12/31/2020","1,466,962","17,908,185",""
"NORGES BANK","12/31/2020","1,331,481","16,206,021",""
"1832 Asset Management L.P.","12/31/2020","1,316,178","15,976,372",""
"CIBC Asset Management Inc","12/31/2020","1,254,158","15,298,717",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","1,201,882","14,640,000",""
"Beutel, Goodman & Co Ltd.","12/31/2020","1,179,388","14,372,269",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","1,068,114","12,991,158",""
"BANK OF AMERICA CORP /DE/","12/31/2020","1,055,895","12,867,362",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","967,956","11,781,320",""
"FMR LLC","12/31/2020","869,509","10,582,266",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","1,090,181","10,423,376",""
"SCOTIA CAPITAL INC.","12/31/2020","574,509","7,001,085",""
"Legal & General Group Plc","12/31/2020","547,938","6,674,187",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2020","537,548","6,547,816",""
"FIERA CAPITAL CORP","12/31/2020","396,137","4,835,912",""
"JPMORGAN CHASE & CO","12/31/2020","391,197","4,767,217",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","372,521","4,534,075",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","342,417","4,180,111",""
"FRANKLIN RESOURCES INC","12/31/2020","319,084","3,883,668",""
"Federation des caisses Desjardins du Quebec","12/31/2020","317,442","3,881,159",""
"GUARDIAN CAPITAL LP","12/31/2020","289,745","3,529,358",""
"Capital Research Global Investors","12/31/2020","275,283","3,350,300",""
"Public Sector Pension Investment Board","12/31/2020","273,407","3,330,341",""
"Alberta Investment Management Corp","12/31/2020","265,150","3,229,762",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2020","253,977","3,095,026",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","253,008","3,081,867",""
"OMERS ADMINISTRATION Corp","12/31/2020","238,062","2,899,813",""
"Invesco Ltd.","12/31/2020","224,643","2,737,565",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2020","217,923","2,653,200",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2020","216,863","2,641,582",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2020","215,037","2,616,110",""
"Jarislowsky, Fraser Ltd","12/31/2020","194,280","2,366,511",""
"AGF INVESTMENTS INC.","12/31/2020","177,770","2,163,530",""
"CREDIT SUISSE AG/","12/31/2020","169,524","2,065,871",""
"Triasima Portfolio Management inc.","12/31/2020","165,541","2,015,172",""
"Bank of New York Mellon Corp","12/31/2020","161,413","1,967,001",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","161,373","1,966,515",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","161,373","1,966,515",""
"CIBC World Markets Inc.","12/31/2020","152,993","1,864,400","call"
"CIDEL ASSET MANAGEMENT INC","12/31/2020","128,043","1,559,684",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2020","112,027","1,364,593",""
"ALLIANCEBERNSTEIN L.P.","12/31/2020","111,458","1,358,252",""
"Cardinal Capital Management, Inc.","12/31/2020","108,147","1,319,223",""
"NORTHERN TRUST CORP","12/31/2020","106,715","1,300,455",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2020","133,085","1,276,353",""
"DEUTSCHE BANK AG\","12/31/2020","104,392","1,272,140",""
"GOLDMAN SACHS GROUP INC","12/31/2020","100,972","1,230,473",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2020","100,152","1,220,472",""
"Ensign Peak Advisors, Inc","12/31/2020","99,591","1,213,601",""
"Addenda Capital Inc.","12/31/2020","97,531","1,187,990",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2020","97,219","1,183,291",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2020","96,536","1,175,898",""
"Burgundy Asset Management Ltd.","12/31/2020","91,439","1,113,118",""
"MORGAN STANLEY","12/31/2020","90,449","1,102,221",""
"LINCLUDEN MANAGEMENT LTD","12/31/2020","87,473","1,064,589",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2020","85,785","1,044,935",""
"TWO SIGMA INVESTMENTS, LP","12/31/2020","84,605","1,031,017",""
"APG Asset Management N.V.","12/31/2020","68,409","1,019,558",""
"QV Investors Inc.","12/31/2020","74,684","909,716",""
"REGIONS FINANCIAL CORP","12/31/2020","70,312","856,845",""
