"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2021","8,054,737","75,887,860",""
"BANK OF MONTREAL /CAN/","12/31/2021","6,840,468","64,041,431",""
"VANGUARD GROUP INC","12/31/2021","4,991,533","47,027,826",""
"TD ASSET MANAGEMENT INC","12/31/2021","3,113,493","29,294,665",""
"FIL Ltd","12/31/2021","3,091,853","29,132,511",""
"MACKENZIE FINANCIAL CORP","12/31/2021","3,055,498","28,788,822",""
"BANK OF NOVA SCOTIA","12/31/2021","2,733,850","25,750,483",""
"CIBC World Markets Inc.","12/31/2021","2,075,629","19,555,573",""
"1832 Asset Management L.P.","12/31/2021","1,890,293","17,771,974",""
"NORGES BANK","12/31/2021","1,635,969","15,402,951",""
"FMR LLC","12/31/2021","1,588,464","14,967,056",""
"CIBC Asset Management Inc","12/31/2021","1,578,230","14,880,739",""
"TORONTO DOMINION BANK","12/31/2021","1,350,082","12,694,628",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","1,105,216","10,405,768",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","939,849","8,918,133",""
"Beutel, Goodman & Co Ltd.","12/31/2021","894,294","8,445,336",""
"SCOTIA CAPITAL INC.","12/31/2021","801,502","7,558,005",""
"Legal & General Group Plc","12/31/2021","761,950","7,168,993",""
"GQG Partners LLC","12/31/2021","759,230","7,143,884",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2021","736,334","6,932,690",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","576,304","5,422,409",""
"JPMORGAN CHASE & CO","12/31/2021","533,673","5,028,019",""
"FIERA CAPITAL CORP","12/31/2021","524,314","4,940,077",""
"TD Waterhouse Canada Inc.","12/31/2021","669,015","4,902,967",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","460,138","4,338,874",""
"Alberta Investment Management Corp","12/31/2021","442,097","4,159,663",""
"FRANKLIN RESOURCES INC","12/31/2021","424,445","3,996,203",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","410,703","3,874,547",""
"Federation des caisses Desjardins du Quebec","12/31/2021","401,361","3,787,372",""
"BANK OF AMERICA CORP /DE/","12/31/2021","395,385","3,725,128",""
"GUARDIAN CAPITAL LP","12/31/2021","382,830","3,602,020",""
"Invesco Ltd.","12/31/2021","379,719","3,577,521",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2021","362,487","3,415,346",""
"Public Sector Pension Investment Board","12/31/2021","359,130","3,379,039",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2021","317,177","2,984,300",""
