"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2022","7,253,064","77,143,859",""
"BANK OF MONTREAL /CAN/","12/31/2022","6,766,890","69,427,739",""
"VANGUARD GROUP INC","12/31/2022","4,860,531","51,696,780",""
"TD Asset Management Inc","12/31/2022","2,588,461","27,550,954",""
"MACKENZIE FINANCIAL CORP","12/31/2022","2,542,512","27,086,844",""
"BANK OF NOVA SCOTIA","12/31/2022","2,269,999","24,144,366",""
"FIL Ltd","12/31/2022","2,229,200","23,710,433",""
"CIBC WORLD MARKET INC.","12/31/2022","1,977,153","21,042,492",""
"1832 Asset Management L.P.","12/31/2022","1,732,578","18,427,766",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","1,625,201","17,293,538",""
"NORGES BANK","12/31/2022","1,583,608","16,843,106",""
"FMR LLC","12/31/2022","1,360,623","14,471,988",""
"TORONTO DOMINION BANK","12/31/2022","1,355,557","14,347,402",""
"CIBC Asset Management Inc","12/31/2022","1,198,002","12,739,836",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2022","1,064,697","11,332,312",""
"Beutel, Goodman & Co Ltd.","12/31/2022","1,028,471","10,946,809",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2022","822,245","8,745,319",""
"SCOTIA CAPITAL INC.","12/31/2022","765,604","8,152,044",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2022","739,022","7,865,273",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2022","705,732","7,511,645",""
"Legal & General Group Plc","12/31/2022","693,223","7,378,632",""
"GOLDMAN SACHS GROUP INC","12/31/2022","651,588","6,930,323",""
"JPMORGAN CHASE & CO","12/31/2022","535,453","5,695,101",""
"TD Waterhouse Canada Inc.","12/31/2022","677,427","5,319,228",""
"GOLDMAN SACHS GROUP INC","12/31/2022","428,232","4,554,700","put"
"Fiera Capital Corp","12/31/2022","420,551","4,469,806",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2022","422,700","4,466,325",""
"Alberta Investment Management Corp","12/31/2022","412,040","4,385,656",""
"Federation des caisses Desjardins du Quebec","12/31/2022","386,541","3,952,827",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","339,399","3,613,682",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2022","329,505","3,502,126",""
"Invesco Ltd.","12/31/2022","327,283","3,480,995",""
"TORONTO DOMINION BANK","12/31/2022","298,595","3,174,000",""
"MORGAN STANLEY","12/31/2022","283,630","3,016,707",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2022","262,680","2,793,879",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2022","243,532","2,592,100",""
"FRANKLIN RESOURCES INC","12/31/2022","242,212","2,576,145",""
"JARISLOWSKY, FRASER Ltd","12/31/2022","218,174","2,322,198",""
"GUARDIAN CAPITAL LP","12/31/2022","214,745","2,285,697",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2022","214,785","2,284,458",""
"BANK OF AMERICA CORP /DE/","12/31/2022","211,393","2,248,390",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2022","208,035","2,212,647",""
"CREDIT SUISSE AG/","12/31/2022","202,814","2,157,137",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2022","192,465","2,048,554",""
"ALLIANCEBERNSTEIN L.P.","12/31/2022","192,423","2,046,619",""
"AGF MANAGEMENT LTD","12/31/2022","178,587","1,899,504",""
"Bank of New York Mellon Corp","12/31/2022","157,508","1,675,270",""
"OMERS ADMINISTRATION Corp","12/31/2022","148,532","1,580,939",""
