"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","2,995,168","35,043,506",""
"BANK OF MONTREAL /CAN/","12/31/2020","1,623,875","18,384,181",""
"TORONTO DOMINION BANK","12/31/2020","1,217,788","14,295,964",""
"BANK OF NOVA SCOTIA","12/31/2020","1,147,650","13,427,518",""
"VANGUARD GROUP INC","12/31/2020","1,143,331","13,376,992",""
"TD ASSET MANAGEMENT INC","12/31/2020","974,127","11,414,986",""
"CIBC World Markets Inc.","12/31/2020","608,622","7,120,884",""
"CIBC Asset Management Inc","12/31/2020","480,762","5,641,767",""
"1832 Asset Management L.P.","12/31/2020","403,505","4,710,036",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2020","352,211","4,122,168",""
"NORGES BANK","12/31/2020","339,311","3,972,796",""
"BANK OF AMERICA CORP /DE/","12/31/2020","308,837","3,613,391",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","300,179","3,508,489",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","314,763","2,895,171",""
"DEUTSCHE BANK AG\","12/31/2020","230,725","2,699,464",""
"MACKENZIE FINANCIAL CORP","12/31/2020","225,325","2,646,195",""
"Legal & General Group Plc","12/31/2020","203,035","2,379,113",""
"ROYAL BANK OF CANADA","12/31/2020","179,179","2,096,400","put"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","161,670","1,892,992",""
"JPMORGAN CHASE & CO","12/31/2020","153,426","1,795,085",""
"FEDERATED HERMES, INC.","12/31/2020","150,903","1,765,571",""
"OMERS ADMINISTRATION Corp","12/31/2020","148,749","1,743,071",""
"SCOTIA CAPITAL INC.","12/31/2020","146,399","1,712,870",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","135,823","1,590,345",""
"Alberta Investment Management Corp","12/31/2020","133,314","1,562,200",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","129,830","1,521,365",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2020","117,766","1,380,000",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","111,497","1,309,413",""
"FRANKLIN RESOURCES INC","12/31/2020","105,825","1,239,099",""
"Cardinal Capital Management, Inc.","12/31/2020","102,591","1,203,904",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","91,044","1,065,213",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","91,044","1,065,213",""
"GUARDIAN CAPITAL LP","12/31/2020","86,855","1,017,787",""
"CREDIT SUISSE AG/","12/31/2020","80,410","940,803",""
"RAYMOND JAMES & ASSOCIATES","12/31/2020","76,984","902,001",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2020","75,047","878,555",""
"SCOTIA CAPITAL INC.","12/31/2020","72,634","850,000","call"
"Federation des caisses Desjardins du Quebec","12/31/2020","70,315","825,116",""
"Triasima Portfolio Management inc.","12/31/2020","70,438","824,892",""
"WELLS FARGO & COMPANY/MN","12/31/2020","68,643","803,133",""
"Value Partners Investments Inc.","12/31/2020","66,108","774,182",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2020","65,580","767,880",""
"Galibier Capital Management Ltd.","12/31/2020","62,520","732,614",""
"Public Sector Pension Investment Board","12/31/2020","61,625","722,133",""
"Bank of New York Mellon Corp","12/31/2020","61,568","720,340",""
"LINCLUDEN MANAGEMENT LTD","12/31/2020","53,369","624,855",""
"FIRST TRUST ADVISORS LP","12/31/2020","52,764","617,334",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2020","50,819","595,511",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2020","49,217","575,837",""
"Invesco Ltd.","12/31/2020","48,261","564,658",""
"CITIGROUP INC","12/31/2020","48,004","562,520",""
"BANK OF MONTREAL /CAN/","12/31/2020","48,573","549,900","call"
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2020","56,154","516,500",""
"BANK OF AMERICA CORP /DE/","12/31/2020","42,735","500,000","call"
"FIL Ltd","12/31/2020","41,355","484,184",""
"MORGAN STANLEY","12/31/2020","40,605","475,080",""
"Polar Asset Management Partners Inc.","12/31/2020","40,513","474,000","call"
