"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2024","4,764,756","75,355,970",""
"BANK OF MONTREAL /CAN/","12/31/2024","2,687,959","42,546,855",""
"VANGUARD GROUP INC","12/31/2024","2,491,431","39,385,238",""
"TD ASSET MANAGEMENT INC","12/31/2024","1,492,138","23,600,495",""
"TORONTO DOMINION BANK","12/31/2024","1,206,872","19,103,199",""
"BANK OF NOVA SCOTIA","12/31/2024","1,087,482","17,194,262",""
"NATIONAL BANK OF CANADA /FI/","12/31/2024","892,508","14,096,251",""
"CIBC WORLD MARKET INC.","12/31/2024","793,441","12,548,497",""
"FIL Ltd","12/31/2024","783,613","12,387,607",""
"CIBC Asset Management Inc","12/31/2024","717,863","11,373,983",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2024","679,613","10,757,382",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2024","600,026","9,491,671",""
"NORGES BANK","12/31/2024","570,476","9,029,485",""
"MACKENZIE FINANCIAL CORP","12/31/2024","431,951","6,835,795",""
"MACKENZIE FINANCIAL CORP","12/31/2024","431,951","6,835,795",""
"MACKENZIE FINANCIAL CORP","12/31/2024","432,464","6,835,795",""
"Capital International Investors","12/31/2024","424,385","6,708,822",""
"Legal & General Group Plc","12/31/2024","365,967","5,788,342",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2024","357,480","5,573,202",""
"JPMORGAN CHASE & CO","12/31/2024","350,490","5,543,106",""
"Royal Bank of Canada","12/31/2024","341,347","5,398,500","put"
"Capital World Investors","12/31/2024","334,705","5,293,453",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2024","310,972","4,922,284",""
"BANK OF AMERICA CORP /DE/","12/31/2024","298,502","4,720,900",""
"SCOTIA CAPITAL INC.","12/31/2024","275,413","4,364,540",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2024","255,338","4,031,116",""
"Federation des caisses Desjardins du Quebec","12/31/2024","234,179","3,719,232",""
"Public Sector Pension Investment Board","12/31/2024","232,705","3,680,608",""
"DEUTSCHE BANK AG\","12/31/2024","220,794","3,491,933",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2024","186,160","2,944,113",""
"TD Waterhouse Canada Inc.","12/31/2024","184,662","2,930,287",""
"Royal Bank of Canada","12/31/2024","178,770","2,827,300","call"
"CHARLES SCHWAB INVESTMENT MANAGEMENT INC","12/31/2024","159,758","2,526,773",""
"JPMORGAN CHASE & CO","12/31/2024","158,075","2,500,000",""
"SIG North Trading, ULC","12/31/2024","153,541","2,428,300","put"
"Invesco Ltd.","12/31/2024","152,008","2,404,052",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2024","151,507","2,396,332",""
"MORGAN STANLEY","12/31/2024","150,302","2,377,076",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2024","148,078","2,342,427",""
"FMR LLC","12/31/2024","130,261","2,059,222",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2024","127,363","2,015,995",""
"AMUNDI","12/31/2024","123,462","1,958,170",""
"Cardinal Capital Management, Inc.","12/31/2024","119,587","1,894,773",""
"Alberta Investment Management Corp","12/31/2024","99,450","1,572,963",""
"TORONTO DOMINION BANK","12/31/2024","99,060","1,568,000","call"
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2024","98,676","1,560,123",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2024","94,314","1,491,730",""
"OMERS ADMINISTRATION Corp","12/31/2024","75,864","1,199,914",""
"GUARDIAN CAPITAL LP","12/31/2024","74,600","1,179,929",""
"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC","12/31/2024","74,570","1,179,347",""
"TORONTO DOMINION BANK","12/31/2024","72,311","1,144,600","put"
"Nuveen Asset Management, LLC","12/31/2024","68,656","1,085,906",""
"D. E. Shaw & Co., Inc.","12/31/2024","66,390","1,050,100","put"
"GOLDMAN SACHS GROUP INC","12/31/2024","64,882","1,026,130",""
"HSBC HOLDINGS PLC","12/31/2024","62,354","986,050",""
"BlackRock, Inc.","12/31/2024","62,033","981,076",""
"FRANKLIN RESOURCES INC","12/31/2024","61,797","978,161",""
"UBS Group AG","12/31/2024","61,385","970,821",""
"FEDERATED HERMES, INC.","12/31/2024","60,638","959,012",""
"Hillsdale Investment Management Inc.","12/31/2024","60,388","955,700",""
