"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","3,131,642","65,052,833",""
"BANK OF MONTREAL /CAN/","12/31/2023","2,585,512","53,385,972",""
"VANGUARD GROUP INC","12/31/2023","1,696,331","35,237,455",""
"BANK OF NOVA SCOTIA","12/31/2023","1,199,626","24,915,095",""
"TD Asset Management Inc","12/31/2023","1,091,088","22,550,346",""
"TORONTO DOMINION BANK","12/31/2023","1,068,365","22,192,885",""
"CIBC WORLD MARKET INC.","12/31/2023","722,782","15,014,160",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","615,515","12,866,940",""
"CIBC Asset Management Inc","12/31/2023","560,365","11,601,044",""
"NORGES BANK","12/31/2023","404,008","8,390,499",""
"GOLDMAN SACHS GROUP INC","12/31/2023","401,830","8,347,124",""
"GOLDMAN SACHS GROUP INC","12/31/2023","401,830","8,347,124",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2023","302,521","6,282,726",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2023","292,949","6,080,761",""
"JPMORGAN CHASE & CO","12/31/2023","277,119","5,756,530",""
"JPMORGAN CHASE & CO","12/31/2023","277,119","5,756,530",""
"Legal & General Group Plc","12/31/2023","258,212","5,336,818",""
"Capital World Investors","12/31/2023","254,917","5,295,346",""
"BANK OF AMERICA CORP /DE/","12/31/2023","250,001","5,193,209",""
"DEUTSCHE BANK AG\","12/31/2023","234,218","4,865,361",""
"MACKENZIE FINANCIAL CORP","12/31/2023","214,515","4,453,042",""
"SCOTIA CAPITAL INC.","12/31/2023","211,027","4,384,509",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","191,359","3,954,960",""
"Royal Bank of Canada","12/31/2023","184,208","3,826,500","call"
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","169,082","3,493,862",""
"BANK OF MONTREAL /CAN/","12/31/2023","160,711","3,318,400","put"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2023","159,477","3,312,012",""
"FIL Ltd","12/31/2023","153,840","3,195,091",""
"TD Waterhouse Canada Inc.","12/31/2023","194,463","3,088,328",""
"Royal Bank of Canada","12/31/2023","133,420","2,771,500","put"
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2023","131,967","2,736,409",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","126,769","2,633,362",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2023","119,630","2,484,483",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2023","116,088","2,399,275",""
