"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2022","2,771,748","68,522,825",""
"BANK OF MONTREAL /CAN/","12/31/2022","2,122,474","45,647,285",""
"VANGUARD GROUP INC","12/31/2022","1,309,671","32,377,548",""
"BANK OF NOVA SCOTIA","12/31/2022","1,190,919","29,441,390",""
"TORONTO DOMINION BANK","12/31/2022","943,292","23,318,583",""
"TD Asset Management Inc","12/31/2022","869,022","21,498,660",""
"Capital World Investors","12/31/2022","803,349","19,860,126",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","589,327","14,574,235",""
"CIBC WORLD MARKET INC.","12/31/2022","561,174","13,883,573",""
"MACKENZIE FINANCIAL CORP","12/31/2022","391,711","9,699,447",""
"1832 Asset Management L.P.","12/31/2022","367,295","9,080,225",""
"CIBC Asset Management Inc","12/31/2022","359,407","8,883,337",""
"NORGES BANK","12/31/2022","305,411","7,549,999",""
"Royal Bank of Canada","12/31/2022","275,222","6,804,000","put"
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2022","206,384","5,105,715",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","204,953","5,072,000",""
"Legal & General Group Plc","12/31/2022","203,836","5,042,786",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2022","201,036","4,969,743",""
"DEUTSCHE BANK AG\","12/31/2022","200,131","4,947,626",""
"JPMORGAN CHASE & CO","12/31/2022","193,410","4,781,464",""
"BANK OF MONTREAL /CAN/","12/31/2022","193,558","4,162,800","put"
"SCOTIA CAPITAL INC.","12/31/2022","161,698","4,002,510",""
"BANK OF AMERICA CORP /DE/","12/31/2022","142,121","3,513,513",""
"TD Waterhouse Canada Inc.","12/31/2022","184,823","3,290,878",""
"Royal Bank of Canada","12/31/2022","130,249","3,220,000","call"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2022","117,814","2,912,456",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2022","117,714","2,890,718",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2022","102,084","2,525,224",""
"GOLDMAN SACHS GROUP INC","12/31/2022","101,125","2,500,000","call"
"TORONTO DOMINION BANK","12/31/2022","100,042","2,471,800",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2022","99,622","2,461,003",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2022","96,109","2,375,984",""
"Cardinal Capital Management, Inc.","12/31/2022","91,711","2,266,809",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2022","89,598","2,216,561",""
"MORGAN STANLEY","12/31/2022","88,579","2,189,852",""
"FIRST TRUST ADVISORS LP","12/31/2022","73,799","1,824,450",""
"Invesco Ltd.","12/31/2022","71,773","1,774,372",""
"D. E. Shaw & Co., Inc.","12/31/2022","70,762","1,750,000","call"
"CREDIT SUISSE AG/","12/31/2022","61,551","1,521,668",""
"Federation des caisses Desjardins du Quebec","12/31/2022","59,727","1,478,111",""
"AMUNDI","12/31/2022","62,968","1,476,755",""
"FEDERATED HERMES, INC.","12/31/2022","58,888","1,455,835",""
"FRANKLIN RESOURCES INC","12/31/2022","56,410","1,394,514",""
"AMUNDI","12/31/2022","73,365","1,340,137",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2022","54,206","1,340,020",""
"Value Partners Investments Inc.","12/31/2022","53,085","1,312,753",""
"BANK OF AMERICA CORP /DE/","12/31/2022","52,585","1,300,000","call"
"OMERS ADMINISTRATION Corp","12/31/2022","47,737","1,180,968",""
"Bank of New York Mellon Corp","12/31/2022","44,477","1,099,561",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","51,484","940,000","put"
"HSBC HOLDINGS PLC","12/31/2022","36,966","915,510",""
"FIL Ltd","12/31/2022","36,632","905,612",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2022","36,519","902,828",""
"LINCLUDEN MANAGEMENT LTD","12/31/2022","36,481","901,871",""
"Galibier Capital Management Ltd.","12/31/2022","33,500","828,762",""
"GOLDMAN SACHS GROUP INC","12/31/2022","33,257","822,195",""
"Quadrature Capital Ltd","12/31/2022","27,755","687,000",""
"CIDEL ASSET MANAGEMENT INC","12/31/2022","27,281","674,926",""
"SIG North Trading, ULC","12/31/2022","26,372","651,500","call"
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2022","26,165","646,853",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","25,681","634,900","put"
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2022","25,002","615,653",""
"BANK OF MONTREAL /CAN/","12/31/2022","27,754","596,900","call"
"Korea Investment CORP","12/31/2022","23,882","590,830",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2022","22,608","559,302",""
"WELLS FARGO & COMPANY/MN","12/31/2022","22,160","547,640",""
"EVOKE WEALTH, LLC","12/31/2022","22,220","540,809",""
"RAYMOND JAMES & ASSOCIATES","12/31/2022","21,578","533,461",""
"TORONTO DOMINION BANK","12/31/2022","20,911","516,700",""
"BlackRock Inc.","12/31/2022","20,370","503,604",""
"Flat Footed LLC","12/31/2022","20,326","502,500","put"
"AVIVA PLC","12/31/2022","20,336","502,457",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2022","19,058","471,161",""
"Russell Investments Group, Ltd.","12/31/2022","18,712","462,884",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2022","18,497","457,258",""
"Unigestion Holding SA","12/31/2022","18,497","455,698",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2022","19,341","452,995",""
"SIG North Trading, ULC","12/31/2022","18,171","448,900","put"
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC","12/31/2022","17,252","426,200",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2022","16,319","403,439",""
"CITIGROUP INC","12/31/2022","15,794","390,730",""
"TORONTO DOMINION BANK","12/31/2022","15,599","385,397",""
"NORTHERN TRUST CORP","12/31/2022","15,000","370,839",""
"CITADEL ADVISORS LLC","12/31/2022","14,946","369,500","call"
"MILLENNIUM MANAGEMENT LLC","12/31/2022","19,991","365,000","call"
"Northwest & Ethical Investments L.P.","12/31/2022","13,963","345,191",""
"PICTET ASSET MANAGEMENT SA","12/31/2022","13,501","334,012",""
"LPL Financial LLC","12/31/2022","12,923","319,504",""
"Neuberger Berman Group LLC","12/31/2022","12,391","306,554",""
"NewGen Asset Management Ltd","12/31/2022","12,135","300,000","call"
"JANE STREET GROUP, LLC","12/31/2022","11,624","287,379",""
"TORONTO DOMINION BANK","12/31/2022","15,631","284,400",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2022","11,398","281,997",""
"TRUIST FINANCIAL CORP","12/31/2022","10,130","250,442",""
"FORSTA AP-FONDEN","12/31/2022","10,117","250,300",""
"D. E. Shaw & Co., Inc.","12/31/2022","10,108","250,000","put"
"Crossmark Global Holdings, Inc.","12/31/2022","9,718","240,245",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2022","9,394","232,403",""
"Addenda Capital Inc.","12/31/2022","12,461","224,041",""
"Man Group plc","12/31/2022","8,529","210,981",""
"UBS Group AG","12/31/2022","7,823","193,419",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2022","7,698","190,315",""
"Alberta Investment Management Corp","12/31/2022","7,416","183,481",""
"AXA S.A.","12/31/2022","7,136","176,421",""
"Voya Investment Management LLC","12/31/2022","7,004","173,279",""
"Voya Investment Management LLC","12/31/2022","7,004","173,279",""
"FMR LLC","12/31/2022","6,919","171,056",""
"JANUS HENDERSON GROUP PLC","12/31/2022","6,833","169,072",""
"Parallax Volatility Advisers, L.P.","12/31/2022","6,686","165,300","call"
"DekaBank Deutsche Girozentrale","12/31/2022","6,533","161,927",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","6,513","161,010",""
"Investment Management Corp of Ontario","12/31/2022","6,217","153,814",""
"USS Investment Management Ltd","12/31/2022","6,205","153,480",""
"CITADEL ADVISORS LLC","12/31/2022","5,998","148,300","put"
"BARCLAYS PLC","12/31/2022","5,994","148,233",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","5,970","147,600","call"
"STRS OHIO","12/31/2022","5,699","141,000",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2022","3,934","131,807",""
"CLARET ASSET MANAGEMENT Corp","12/31/2022","5,244","129,779",""
"AMERICAN CENTURY COMPANIES INC","12/31/2022","5,231","129,327",""
"NEW YORK STATE COMMON RETIREMENT FUND","12/31/2022","4,582","113,271",""
"Rathbones Group Plc","12/31/2022","4,386","108,526",""
"Lorne Steinberg Wealth Management Inc.","12/31/2022","4,133","102,222",""
"STIFEL FINANCIAL CORP","12/31/2022","4,099","101,345",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2022","4,054","100,240",""
"HSBC HOLDINGS PLC","12/31/2022","4,030","100,000","call"
"Lipe & Dalton","12/31/2022","3,834","94,780",""
"Pendal Group Ltd","12/31/2022","3,772","93,259",""
"Te Ahumairangi Investment Management Ltd","12/31/2022","3,661","90,566",""
"APG Asset Management N.V.","12/31/2022","4,934","90,083",""
