"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2019","2,594,841","31,187,986",""
"BANK OF MONTREAL /CAN/","12/31/2019","1,451,434","17,445,120",""
"TORONTO DOMINION BANK","12/31/2019","1,126,157","13,525,607",""
"VANGUARD GROUP INC","12/31/2019","1,076,968","12,944,331",""
"TD ASSET MANAGEMENT INC","12/31/2019","920,794","11,049,783",""
"BANK OF NOVA SCOTIA","12/31/2019","890,301","10,699,191",""
"CIBC World Markets Inc.","12/31/2019","504,032","6,058,071",""
"1832 Asset Management L.P.","12/31/2019","437,219","5,251,509",""
"CIBC Asset Management Inc","12/31/2019","409,205","4,910,214",""
"NORGES BANK","12/31/2019","344,681","4,197,144",""
"Alberta Investment Management Corp","12/31/2019","345,484","4,145,900",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2019","324,531","3,894,415",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","298,621","3,620,418",""
"DEUTSCHE BANK AG\","12/31/2019","245,183","2,946,969",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2019","241,170","2,894,106",""
"FRANKLIN RESOURCES INC","12/31/2019","236,209","2,837,971",""
"CAUSEWAY CAPITAL MANAGEMENT LLC","12/31/2019","225,863","2,714,701",""
"OMERS ADMINISTRATION Corp","12/31/2019","208,000","2,496,054",""
"BANK OF AMERICA CORP /DE/","12/31/2019","197,289","2,371,260",""
"ROYAL BANK OF CANADA","12/31/2019","189,688","2,279,900","put"
"Legal & General Group Plc","12/31/2019","184,700","2,216,571",""
"FEDERATED HERMES, INC.","12/31/2019","169,891","2,041,961",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","153,917","1,847,047",""
"JPMORGAN CHASE & CO","12/31/2019","143,711","1,727,309",""
"GUARDIAN CAPITAL LP","12/31/2019","140,136","1,681,672",""
"Beutel, Goodman & Co Ltd.","12/31/2019","137,607","1,653,940",""
"SCOTIA CAPITAL INC.","12/31/2019","136,249","1,638,750",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","134,145","1,611,081",""
"MACKENZIE FINANCIAL CORP","12/31/2019","123,828","1,487,169",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","122,188","1,466,292",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2019","117,509","1,412,364",""
"GOLDMAN SACHS GROUP INC","12/31/2019","100,546","1,208,479",""
"MORGAN STANLEY","12/31/2019","94,380","1,134,368",""
"QV Investors Inc.","12/31/2019","93,674","1,124,113",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2019","91,717","1,102,367",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2019","91,755","1,101,088",""
"TORONTO DOMINION BANK","12/31/2019","91,269","1,096,000",""
"RAYMOND JAMES & ASSOCIATES","12/31/2019","85,948","1,034,183",""
"Cardinal Capital Management, Inc.","12/31/2019","78,383","940,581",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2019","76,665","920,000",""
"Federation des caisses Desjardins du Quebec","12/31/2019","76,426","917,951",""
"WELLS FARGO & COMPANY/MN","12/31/2019","75,622","908,919",""
"ROYAL BANK OF CANADA","12/31/2019","72,675","873,500","call"
"TORONTO DOMINION BANK","12/31/2019","66,140","794,300",""
"CREDIT SUISSE AG/","12/31/2019","65,769","790,486",""
"Invesco Ltd.","12/31/2019","63,495","763,167",""
"Bank of New York Mellon Corp","12/31/2019","63,234","760,012",""
"BANK OF AMERICA CORP /DE/","12/31/2019","60,320","725,000","call"
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2019","75,908","702,693",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2019","73,206","678,080",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","56,117","674,510",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","55,523","663,879",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","55,523","663,879",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","54,319","651,846",""
"Polar Asset Management Partners Inc.","12/31/2019","54,080","650,000","put"
"Hexavest Inc.","12/31/2019","52,643","631,725",""
"Value Partner Investments Inc.","12/31/2019","52,446","630,361",""
"CITIGROUP INC","12/31/2019","51,945","623,351",""
"National Pension Service","12/31/2019","65,661","607,638",""
"BANK OF MONTREAL /CAN/","12/31/2019","49,995","600,900","put"
"FIRST TRUST ADVISORS LP","12/31/2019","47,532","571,303",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2019","46,714","560,584",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2019","45,516","546,205",""
"NORTHERN TRUST CORP","12/31/2019","43,501","522,854",""
"LINCLUDEN MANAGEMENT LTD","12/31/2019","40,012","480,824",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2019","39,725","477,342",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2019","38,357","461,026",""
"Polar Asset Management Partners Inc.","12/31/2019","37,440","450,000","call"
"Galibier Capital Management Ltd.","12/31/2019","37,318","447,820",""
"Aperio Group, LLC","12/31/2019","36,767","441,912",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2019","34,266","411,200",""
"Mn Services Vermogensbeheer B.V.","12/31/2019","33,646","404,188",""
"TRUIST FINANCIAL CORP","12/31/2019","32,486","390,463",""
"FIL Ltd","12/31/2019","31,257","375,607",""
"UBS Group AG","12/31/2019","29,120","350,000","call"
"State of Tennessee, Treasury Department","12/31/2019","36,535","338,101",""
"Man Group plc","12/31/2019","26,430","317,211",""
"Northwest & Ethical Investments L.P.","12/31/2019","25,025","300,725",""
"AMF Pensionsforsakring AB","12/31/2019","24,817","297,809",""
"CITIGROUP INC","12/31/2019","23,333","280,000","call"
"JANUS HENDERSON GROUP PLC","12/31/2019","22,517","270,185",""
"EVOKE WEALTH, LLC","12/31/2019","22,296","267,987",""
"KEMPEN CAPITAL MANAGEMENT N.V.","12/31/2019","28,949","267,887",""
"Parametric Portfolio Associates LLC","12/31/2019","22,234","267,237",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2019","22,205","266,485",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2019","21,524","258,703",""
"TORONTO DOMINION BANK","12/31/2019","21,368","256,604",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2019","21,209","254,990",""
"PICTET ASSET MANAGEMENT LTD","12/31/2019","21,116","253,394",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2019","20,269","243,625",""
"AMERIPRISE FINANCIAL INC","12/31/2019","20,117","241,842",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2019","24,930","232,341",""
"LPL Financial LLC","12/31/2019","17,810","214,064",""
"SCOTIA CAPITAL INC.","12/31/2019","16,628","200,000","call"
"NOMURA HOLDINGS INC","12/31/2019","16,640","200,000","put"
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2019","16,509","198,459",""
"BESSEMER GROUP INC","12/31/2019","15,994","192,027",""
"NN Investment Partners Holdings N.V.","12/31/2019","15,670","188,357",""
"Allianz Asset Management GmbH","12/31/2019","14,891","178,691",""
"MILLENNIUM MANAGEMENT LLC","12/31/2019","14,811","178,017",""
"CITADEL ADVISORS LLC","12/31/2019","14,481","174,055",""
"STIFEL FINANCIAL CORP","12/31/2019","13,445","162,100",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","13,029","156,600","call"
"AVIVA PLC","12/31/2019","12,968","156,221",""
"AMP Capital Investors Ltd","12/31/2019","12,705","152,358",""
"UBS Group AG","12/31/2019","12,273","147,513",""
"Hillsdale Investment Management Inc.","12/31/2019","11,893","143,289",""
"APG Asset Management N.V.","12/31/2019","10,333","139,187",""
"Voya Investment Management LLC","12/31/2019","11,477","137,729",""
"FIERA CAPITAL CORP","12/31/2019","11,456","137,588",""
"Bridgewater Associates, LP","12/31/2019","11,458","137,501",""
"Crossmark Global Holdings, Inc.","12/31/2019","11,121","133,665",""
"ING GROEP NV","12/31/2019","10,876","130,727",""
"Global Financial Private Capital, Inc","12/31/2019","10,354","122,826",""
"Neuberger Berman Group LLC","12/31/2019","10,046","120,721",""
"Twin Tree Management, LP","12/31/2019","9,593","115,300","call"
"STEPHENS INC /AR/","12/31/2019","9,395","112,918",""
"HSBC HOLDINGS PLC","12/31/2019","9,337","112,581",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2019","8,961","109,779",""
"TWO SIGMA ADVISERS, LP","12/31/2019","9,093","109,292",""
"NATIXIS","12/31/2019","9,085","108,963",""
"AXA S.A.","12/31/2019","8,998","108,143",""
"AXA","12/31/2019","8,998","108,143",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2019","11,465","106,100",""
"PARK CIRCLE Co","12/31/2019","8,516","102,350",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2019","8,429","101,357",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2019","8,327","99,930",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2019","7,901","94,990",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2019","7,864","94,500",""
"DekaBank Deutsche Girozentrale","12/31/2019","7,726","93,948",""
"ALLIANCEBERNSTEIN L.P.","12/31/2019","7,610","91,465",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2019","9,790","90,600",""
"Rathbone Brothers plc","12/31/2019","7,123","85,482",""
"Korea Investment CORP","12/31/2019","6,770","81,246",""
"Vantage Investment Partners, LLC","12/31/2019","6,585","79,150",""
"BARCLAYS PLC","12/31/2019","6,451","77,538",""
"FORSTA AP-FONDEN","12/31/2019","6,342","76,100",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","6,298","75,700","put"
"LSV ASSET MANAGEMENT","12/31/2019","6,289","75,600",""
"HSBC HOLDINGS PLC","12/31/2019","5,824","70,000","call"
"Mitsubishi UFJ Trust & Banking Corp","12/31/2019","5,559","67,200",""
"Andra AP-fonden","12/31/2019","7,208","66,700",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2019","5,532","66,502",""
"Monaco Asset Management SAM","12/31/2019","5,262","63,200","put"
"D. E. Shaw & Co., Inc.","12/31/2019","5,124","61,593",""
"SHUFRO ROSE & CO LLC","12/31/2019","5,058","60,789",""
"SHELL ASSET MANAGEMENT CO","12/31/2019","4,761","57,139",""
"Addenda Capital Inc.","12/31/2019","4,722","55,920",""
"Jefferies Group LLC","12/31/2019","4,517","54,254",""
"Westpac Banking Corp","12/31/2019","5,820","53,859",""
"Lipe & Dalton","12/31/2019","4,221","50,730",""
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","12/31/2019","4,173","50,088",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2019","4,159","50,000","call"
"CIBC BANK USA","12/31/2019","3,927","47,209",""
"Monaco Asset Management SAM","12/31/2019","3,725","44,700",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2019","3,684","44,275",""
"K.J. Harrison & Partners Inc","12/31/2019","3,617","43,408",""
"PINNACLE FINANCIAL PARTNERS INC","12/31/2019","3,611","43,401",""
"COMERICA BANK","12/31/2019","3,576","43,227",""
"WOLVERINE TRADING, LLC","12/31/2019","3,580","43,200","call"
"Kovitz Investment Group Partners, LLC","12/31/2019","3,471","41,716",""
"CLARET ASSET MANAGEMENT Corp","12/31/2019","3,446","41,423",""
"ETRADE Capital Management LLC","12/31/2019","3,385","40,687",""
"MML INVESTORS SERVICES, LLC","12/31/2019","3,363","40,426",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2019","3,345","40,223",""
"CREDIT SUISSE AG/","12/31/2019","3,328","40,000","call"
"PNC Financial Services Group, Inc.","12/31/2019","3,290","39,546",""
"Janney Montgomery Scott LLC","12/31/2019","3,218","38,672",""
"CITADEL ADVISORS LLC","12/31/2019","3,195","38,400","call"
"DEAN INVESTMENT ASSOCIATES, LLC","12/31/2019","3,055","36,713",""
"Fulton Bank, N.A.","12/31/2019","3,008","36,154",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2019","2,803","33,677",""
"BREWIN DOLPHIN LTD","12/31/2019","2,743","32,978",""
"Candriam Luxembourg S.C.A.","12/31/2019","2,586","31,029",""
"ONTARIO TEACHERS PENSION PLAN BOARD","12/31/2019","2,497","30,000","call"
"Erste Asset Management GmbH","12/31/2019","2,438","29,400",""
"QS Investors, LLC","12/31/2019","2,441","29,339",""
"CITADEL ADVISORS LLC","12/31/2019","2,429","29,200","put"
"First Bank & Trust","12/31/2019","2,403","28,882",""
"EXANE DERIVATIVES","12/31/2019","2,362","28,380",""
"Quantitative Investment Management, LLC","12/31/2019","2,349","28,241",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","2,309","27,751",""
"Nexus Investment Management Inc.","12/31/2019","2,304","27,642",""
"Townsend & Associates, Inc","12/31/2019","2,240","27,043",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2019","2,240","26,924",""
"NAPLES GLOBAL ADVISORS, LLC","12/31/2019","2,092","25,150",""
"VICTORY CAPITAL MANAGEMENT INC","12/31/2019","2,080","25,000",""
"Zions Bancorporation, N.A.","12/31/2019","2,038","24,497",""
"Wealth Advisors of Tampa Bay, LLC","12/31/2019","2,009","24,142",""
"Ensign Peak Advisors, Inc","12/31/2019","1,962","23,545",""
"PCJ Investment Counsel Ltd.","12/31/2019","1,910","22,919",""
"Credential Qtrade Securities Inc.","12/31/2019","1,895","22,781",""
