Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MSFT,MICROSOFT CORP,COM,594918104,"6,967,686",3.2%,"16,530,692",,
BN.TO,BROOKFIELD CORP,CL A LTD VT SH,11271J107,"2,858,744",1.3%,"49,801,459",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"2,323,895",1.1%,"54,823,604",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"2,044,922",1.0%,"43,935,824",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"1,833,057",0.9%,"59,448,485",,
FTS.TO,FORTIS INC,COM,349553107,"1,011,554",0.5%,"24,375,228",,
PPL.TO,PEMBINA PIPELINE CORP,COM,706327103,"901,450",0.4%,"24,429,665",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"802,303",0.4%,"22,505,498",,
XOM,EXXON MOBIL CORP,COM,30231G102,"668,258",0.3%,"6,212,316",,
BAM.TO,BROOKFIELD ASSET MANAGMT LTD,CL A LMT VTG SHS,113004105,"518,655",0.2%,"9,575,446",,
NEE,NEXTERA ENERGY INC,COM,65339F101,"444,024",0.2%,"6,193,675",,
CVX,CHEVRON CORP NEW,COM,166764100,"411,703",0.2%,"2,842,469",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"322,723",0.2%,"21,316,977",,
ET,ENERGY TRANSFER L P,COM UT LTD PTN,29273V100,"244,005",0.1%,"12,455,613",,
MMC,MARSH & MCLENNAN COS INC,COM,571748102,"213,375",0.1%,"1,004,544",,
AEP,AMERICAN ELEC PWR CO INC,COM,025537101,"196,581",0.1%,"2,131,425",,
PGR,PROGRESSIVE CORP,COM,743315103,"187,682",0.1%,"783,283",,
BX,BLACKSTONE INC,COM,09260D107,"185,743",0.1%,"1,077,273",,
KKR,KKR & CO INC,COM,48251W104,"185,243",0.1%,"1,252,409",,
COP,CONOCOPHILLIPS,COM,20825C104,"182,448",0.1%,"1,839,758",,
