Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
EQNR,EQUINOR ASA,SPONSORED ADR,29446M102,"2,735",0.0%,"102,518",,
ORI,OLD REP INTL CORP,COM,680223104,"2,694",0.0%,"109,480",,
MDU,MDU RES GROUP INC,COM,552690109,"2,542",0.0%,"82,562",,
OGE,OGE ENERGY CORP,COM,670837103,"2,457",0.0%,"64,149",,
GEL,GENESIS ENERGY L P,UNIT LTD PARTN,371927104,"2,280",0.0%,"213,500",,
NCR,NCR CORP NEW,COM,62886E108,"2,047",0.0%,"50,973",,
NFE,NEW FORTRESS ENERGY INC,COM CL A,644393100,"1,949",0.0%,"78,177",,
TALO,TALOS ENERGY INC,COM,87484T108,"1,921",0.0%,"189,903",,
PDCE,PDC ENERGY INC,COM,69327R101,"1,822",0.0%,"37,046",,
ENR,ENERGIZER HLDGS INC NEW,COM,29272W109,"1,772",0.0%,"44,893",,
BC,BRUNSWICK CORP,COM,117043109,"1,737",0.0%,"17,216",,
MTDR,MATADOR RES CO,COM,576485205,"1,676",0.0%,"43,873",,
SCI,SERVICE CORP INTL,COM,817565104,"1,667",0.0%,"23,344",,
SWN,SOUTHWESTERN ENERGY CO,COM,845467109,"1,561",0.0%,"323,500",,
ADX,ADAMS DIVERSIFIED EQUITY FD,COM,006212104,"1,531",0.0%,"67,645",,
CVE.TO,CENOVUS ENERGY INC,COM,15135U109,"1,527",0.0%,"124,000",,call
RRC,RANGE RES CORP,COM,75281A109,"1,510",0.0%,"82,602",,
NWE,NORTHWESTERN CORP,COM NEW,668074305,"1,421",0.0%,"24,737",,
BKH,BLACK HILLS CORP,COM,092113109,"1,367",0.0%,"19,309",,
CR,CRANE CO,COM,224399105,"1,277",0.0%,"12,641",,
AVA,AVISTA CORP,COM,05379B107,"1,255",0.0%,"29,455",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"1,174",0.0%,"30,000",,call
MUR,MURPHY OIL CORP,COM,626717102,"1,135",0.0%,"43,545",,
NOG,NORTHERN OIL AND GAS INC MN,COM,665531307,"1,114",0.0%,"53,000",,
CIVI,CIVITAS RESOURCES INC,COM NEW,17888H103,"1,056",0.0%,"20,899",,
ALE,ALLETE INC,COM NEW,018522300,"1,039",0.0%,"15,642",,
MDC,M D C HLDGS INC,COM,552676108,974,0.0%,"17,509",,
CPE,CALLON PETE CO DEL,COM,13123X508,602,0.0%,"12,538",,
CHK,CHESAPEAKE ENERGY CORP,COM,165167735,600,0.0%,"9,132",,
NFG,NATIONAL FUEL GAS CO,COM,636180101,598,0.0%,"9,287",,
ERF.TO,ENERPLUS CORP,COM,292766102,523,0.0%,"50,000",,put
KAR,KAR AUCTION SVCS INC,COM,48238T109,497,0.0%,"31,765",,
BHF,BRIGHTHOUSE FINL INC,COM,10922N103,432,0.0%,"8,281",,
OTTR,OTTER TAIL CORP,COM,689648103,428,0.0%,"6,025",,
GPOR,GULFPORT ENERGY CORP,COMMON SHARES,402635502,421,0.0%,"5,500",,
MGY,MAGNOLIA OIL & GAS CORP,CL A,559663109,374,0.0%,"19,757",,
AXL,AMERICAN AXLE & MFG HLDGS IN,COM,024061103,356,0.0%,"38,377",,
CNX,CNX RES CORP,COM,12653C108,331,0.0%,"23,573",,
MNR,MONMOUTH REAL ESTATE INVT CO,CL A,609720107,300,0.0%,"14,278",,
DBI,DESIGNER BRANDS INC,CL A,250565108,282,0.0%,"19,373",,
HCI,HCI GROUP INC,COM,40416E103,268,0.0%,"3,072",,
MYE,MYERS INDS INC,COM,628464109,222,0.0%,"10,944",,
CEIX,CONSOL ENERGY INC NEW,COM,20854L108,203,0.0%,"8,826",,
CRK,COMSTOCK RES INC,COM,205768302,110,0.0%,"13,293",,
GTE,GRAN TIERRA ENERGY INC,COM,38500T101,86,0.0%,"108,419",,
HNDL,STRATEGY SHS,NS 7HANDL IDX,86280R506,42,0.0%,"1,606",,
CEI,CAMBER ENERGY INC,COM,13200M508,36,0.0%,"40,100",,
PEY,INVESCO EXCHANGE TRADED FD T,HIG YLD EQ DIV,46137V563,36,0.0%,"1,700",,
INDY,ISHARES TR,INDIA 50 ETF,464289529,7,0.0%,143,,
