UGI US 2023,1070.32,42.466,38049,396.167,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,31133.5996,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12329.3869,8928,4818.3869,UGI CORP,209.806,23,7676,241,15401
UGI US 2022,1143.25,42.167,38203.301,361.02,0,0,0,0,0,0,0,0,0,31399.6992,0,0,0,0,0,13852.7929,10106,6775.7929,UGI CORP,209.94,32.33,7376,405,17575
UGI US 2021,820.557,42.751,42701.102,491.214,0,0,0,0,0,0,0,0,0,34347.8984,0,0,0,0,0,15476.7917,7447,8916.7917,UGI CORP,209.063,42.62,7215,855,16723
UGI US 2020,1239.14,31.149,60.528,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13325.5294,6559,6871.5294,UGI CORP,208.928,32.98,6802,336,13985
UGI US 2019,1389.6,31.709,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,16605.8707,7320.4,10506.6707,UGI CORP,178.417,50.27,6600.3,447.1,13346.6
UGI US 2018,1261.48,1261.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14186.1931,7651.2,9639.5931,UGI CORP,173.908,55.48,4590.2,452.6,11980.9
