TRP CA 2023,20902.199,2036.1,4434.42,#N/A N/A,#N/A N/A,4351.98,#N/A N/A,60.867,6.614,#N/A N/A,14.953,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,125609.12,15934,53675.12,TC ENERGY CORP,1030,#N/A N/A,63658,3678,125034
TRP CA 2022,21132,2114,3518.69,#N/A N/A,#N/A N/A,3480.79,#N/A N/A,22.901,6,#N/A N/A,9,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115689.64,14977,54951.64,TC ENERGY CORP,995,#N/A N/A,58733,620,114348
TRP CA 2021,19888,2104,3178,#N/A N/A,#N/A N/A,3115,#N/A N/A,49,4,#N/A N/A,10,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,113846.23,13387,57712.23,TC ENERGY CORP,973,#N/A N/A,53195,673,104218
TRP CA 2020,18172,1996,2688,#N/A N/A,#N/A N/A,2598,#N/A N/A,75,5,#N/A N/A,11,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102819,12999,48645,TC ENERGY CORP,940,#N/A N/A,50042,1530,100300
TRP CA 2019,18284,2132,3136,#N/A N/A,#N/A N/A,3062,#N/A N/A,50,12,#N/A N/A,13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119574.08,13255,64872.08,TC ENERGY CORP,929,#N/A N/A,50431,1343,99279
TRP CA 2018,13749,2343,3026,#N/A N/A,#N/A N/A,2985,7.136,#N/A N/A,11,#N/A N/A,31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100182.5,13679,44752.5,TC ENERGY CORP,902,#N/A N/A,50241,446,98920
