OKE US 2023,3802,3100,67100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,67100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,62370.7975,17677,40944.7975,ONEOK INC,484.3,70.22,21764,338,44266
OKE US 2022,3700,2900,64300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,64300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,42881.5246,22386.892,29378.2656,ONEOK INC,447.507,65.7,13723.486,220.227,24379.094
OKE US 2021,3800,2700,66700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,66700,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,39825.2233,15180.264,26215.0793,ONEOK INC,446.403,58.76,13756.535,146.391,23621.613
OKE US 2020,3800,2500,60552.398,#N/A N/A,#N/A N/A,130,#N/A N/A,#N/A N/A,0.158,22.21,#N/A N/A,#N/A N/A,#N/A N/A,60400,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30911.2931,8542.242,17074.2021,ONEOK INC,431.105,38.38,14361.587,524.496,23078.754
OKE US 2019,4200,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A N/A,43971.6399,10164.367,31269.7989,ONEOK INC,413.56,75.67,12722.799,20.958,21812.121
OKE US 2018,3700,2600,58100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,58100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,31599.2021,12593.196,22202.1841,ONEOK INC,411.485,53.95,9408.993,11.975,18231.671
