MPC US 2023,33000,6800,461000,61000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,400000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,79868.48,150307,54596.48,MARATHON PETROLEUM CORP,407,148.36,28501,10224,85987
MPC US 2022,33700,6700,466000,62000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,404000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,76352.06,179952,52841.06,MARATHON PETROLEUM CORP,512,116.39,27909,11770,89904
MPC US 2021,33000,6900,438000,59000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,379000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,60490.21,120930,37050.21,MARATHON PETROLEUM CORP,634,63.99,26904,10839,85373
MPC US 2020,32170,8010,414530,55000,#N/A N/A,390,7000,#N/A N/A,#N/A N/A,140,#N/A N/A,#N/A N/A,#N/A N/A,352000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,67626.36,69032,26925.36,MARATHON PETROLEUM CORP,649,41.36,33095,415,85158
MPC US 2019,36800,8200,426000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,426000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,77780.75,124880,39222.75,MARATHON PETROLEUM CORP,659,60.25,30538,1393,98556
MPC US 2018,37020,8180,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,75841.8,97102,40126.8,MARATHON PETROLEUM CORP,518,59.01,27524,1687,92940
