OXY US 2023,17370,4550,233500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1700,21700,210100,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,82742.7419,28257,52512.7419,OCCIDENTAL PETROLEUM CORP,889.2,59.71,21057,1426,74008
OXY US 2022,17600,4900,217000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1600,20200,195200,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,86606.1149,36634,56682.1149,OCCIDENTAL PETROLEUM CORP,926.2,62.99,20908,984,72609
OXY US 2021,18500,4840,211800,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1600,19700,190500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,65287.8256,25956,27078.8256,OCCIDENTAL PETROLEUM CORP,935,28.99,30473,2764,75036
OXY US 2020,19020,4810,225900,0,0,0,#N/A N/A,0,0,0,0,1700,21000,203200,0,0,0,0,#N/A N/A,61957.4954,17809,16124.4954,OCCIDENTAL PETROLEUM CORP,918.7,17.31,37341,2008,80064
OXY US 2019,21618.699,5905.27,259100,0,0,0,#N/A N/A,0,0,0,0,1900,24000,233200,0,0,0,0,#N/A N/A,84404.3449,20393,36846.3449,OCCIDENTAL PETROLEUM CORP,809.5,41.21,40090,3032,107190
OXY US 2018,10370,4100,71000,#N/A N/A,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,71000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,53281.5328,17824,45997.5328,OCCIDENTAL PETROLEUM CORP,761.7,61.38,10317,3033,43854
