"Manager","Report Date","Value ($000)","Shares","Option Type"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","22,769","79,421",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","22,769","79,421",""
"FLOW TRADERS U.S. LLC","12/31/2020","4,734","16,514",""
"JANE STREET GROUP, LLC","12/31/2020","3,272","11,412",""
"HRT FINANCIAL LP","12/31/2020","2,820","9,839",""
"F3Logic, LLC","12/31/2020","1,574","5,499",""
"CITADEL ADVISORS LLC","12/31/2020","1,147","4,002",""
"OLD MISSION CAPITAL, LLC","12/31/2020","445","1,553",""
"Harvest Investment Services, LLC","12/31/2020","408","1,424",""
"Creative Planning","12/31/2020","227","793",""
"Tower Research Capital LLC (TRC)","12/31/2020","221","772",""
"MORGAN STANLEY","12/31/2020","146","511",""
"Private Ocean, LLC","12/31/2020","143","500",""
"UBS Group AG","12/31/2020","124","433",""
"Bedel Financial Consulting, Inc.","12/31/2020","57","200",""
"BANK OF AMERICA CORP /DE/","12/31/2020","0","130",""
"BANK OF MONTREAL /CAN/","12/31/2020","25","91",""
"MANCHESTER FINANCIAL INC","12/31/2020","1","5",""
"Sowell Financial Services LLC","12/31/2020","0","1",""
"IFP Advisors, Inc","12/31/2020","0","0",""
"PROEQUITIES, INC.","12/31/2020","0","0",""
