"Manager","Report Date","Value ($000)","Shares","Option Type"
"LEE DANNER & BASS INC","12/31/2020","36,654","107,509",""
"SCHWERIN BOYLE CAPITAL MANAGEMENT INC","12/31/2020","12,274","36,000",""
"Mraz, Amerine & Associates, Inc.","12/31/2020","11,120","32,599",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2020","796","2,334",""
"Parametric Portfolio Associates LLC","12/31/2020","776","2,277",""
"Front Street Capital Management, Inc.","12/31/2020","652","1,913",""
"BancorpSouth Bank","12/31/2020","439","1,287",""
"Crescent Capital Consulting, LLC","12/31/2020","356","1,044",""
"LOUNTZIS ASSET MANAGEMENT, LLC","12/31/2020","294","863",""
"SILVERCREST ASSET MANAGEMENT GROUP LLC","12/31/2020","273","800",""
"Gulf International Bank (UK) Ltd","12/31/2020","133","391",""
"FSA Wealth Management LLC","12/31/2020","11","31",""
"Freedman Financial Associates, Inc.","12/31/2020","7","21",""
"IFP Advisors, Inc","12/31/2020","5","16",""
