"Manager","Report Date","Value ($000)","Shares","Option Type"
"LEE DANNER & BASS INC","12/31/2018","63,080","143,337",""
"Wallace Capital Management Inc.","12/31/2018","16,752","38,071",""
"Mraz, Amerine & Associates, Inc.","12/31/2018","11,770","26,727",""
"FIDUCIARY MANAGEMENT INC /WI/","12/31/2018","3,565","8,100",""
"Poehling Capital Management, LLC","12/31/2018","3,276","7,438",""
"Cheviot Value Management, LLC","12/31/2018","2,173","4,935",""
"Parametric Portfolio Associates LLC","12/31/2018","1,433","3,256",""
"Front Street Capital Management, Inc.","12/31/2018","1,369","3,110",""
"TRUST CO OF VERMONT","12/31/2018","982","2,232",""
"West Family Investments, Inc.","12/31/2018","877","1,991",""
"Lafayette Investments, Inc.","12/31/2018","764","1,737",""
"BancorpSouth Bank","12/31/2018","566","1,287",""
"BARR E S & CO","12/31/2018","506","1,150",""
"Simmons Bank","12/31/2018","493","1,120",""
"McQueen, Ball & Associates Inc.","12/31/2018","460","1,044",""
"Milestone Group, Inc.","12/31/2018","244","554",""
"Private Capital Group, LLC","12/31/2018","242","551",""
"Gulf International Bank (UK) Ltd","12/31/2018","216","491",""
"PANAGORA ASSET MANAGEMENT INC","12/31/2018","164","372",""
"FTB Advisors, Inc.","12/31/2018","111","253",""
"MAR VISTA INVESTMENT PARTNERS LLC","12/31/2018","74","168",""
"BESSEMER GROUP INC","12/31/2018","74","168",""
"SONORA INVESTMENT MANAGEMENT, LLC","12/31/2018","44","100",""
"AlphaMark Advisors, LLC","12/31/2018","30","68",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2018","5","12",""
