"Manager","Report Date","Value ($000)","Shares","Option Type"
"LEE DANNER & BASS INC","12/31/2022","68,179","115,176",""
"Mraz, Amerine & Associates, Inc.","12/31/2022","38,023","64,180",""
"EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC","12/31/2022","12,677","21,337",""
"Front Street Capital Management, Inc.","12/31/2022","719","1,211",""
"SYSTM Wealth Solutions LLC","12/31/2022","629","1,059",""
"LOUNTZIS ASSET MANAGEMENT, LLC","12/31/2022","374","578",""
"EQUITABLE TRUST CO","12/31/2022","328","553",""
"Fisher Asset Management, LLC","12/31/2022","283","477",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2022","234","394",""
"ATLAS CAPITAL ADVISORS LLC","12/31/2022","223","376",""
"Coston, McIsaac & Partners","12/31/2022","23","40",""
"PNC Financial Services Group, Inc.","12/31/2022","2","5",""
