"Manager","Report Date","Value ($000)","Shares","Option Type"
"LEE DANNER & BASS INC","12/31/2023","96,832","104,443",""
"Mraz, Amerine & Associates, Inc.","12/31/2023","29,281","31,734",""
"Elgethun Capital Management","12/31/2023","26,927","29,185",""
"Heritage Wealth Advisors","12/31/2023","4,821","5,200",""
"Front Street Capital Management, Inc.","12/31/2023","1,115","1,211",""
"EQUITABLE TRUST CO","12/31/2023","465","506",""
"ATLAS CAPITAL ADVISORS LLC","12/31/2023","403","437",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2023","371","404",""
"LOUNTZIS ASSET MANAGEMENT, LLC","12/31/2023","315","342",""
"MAI Capital Management","12/31/2023","205","222",""
"Boit C F David","12/31/2023","91","100",""
"GAMMA Investing LLC","12/31/2023","59","57",""
"Coston, McIsaac & Partners","12/31/2023","36","40",""
"Salomon & Ludwin, LLC","12/31/2023","22","27",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","19","21",""
"FSA Wealth Management LLC","12/31/2023","9","10",""
"WETZEL INVESTMENT ADVISORS, INC.","12/31/2023","3","3",""
