"Manager","Report Date","Value ($000)","Shares","Option Type"
"Partners Value Investments LP","12/31/2020","5,313,865","128,758,537",""
"ROYAL BANK OF CANADA","12/31/2020","4,175,805","101,182,613",""
"BANK OF MONTREAL /CAN/","12/31/2020","1,929,303","50,098,783",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2020","1,735,710","42,057,623",""
"VANGUARD GROUP INC","12/31/2020","1,622,456","39,313,211",""
"FIL Ltd","12/31/2020","1,316,272","31,841,182",""
"TD ASSET MANAGEMENT INC","12/31/2020","1,220,293","29,544,929",""
"Jarislowsky, Fraser Ltd","12/31/2020","1,052,464","25,481,561",""
"1832 Asset Management L.P.","12/31/2020","884,135","21,337,320",""
"CIBC Asset Management Inc","12/31/2020","856,034","20,755,484",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","1,029,729","19,569,153",""
"FIRST MANHATTAN CO","12/31/2020","781,913","18,946,289",""
"BANK OF NOVA SCOTIA","12/31/2020","750,366","18,181,876",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","745,534","18,050,360",""
"MACKENZIE FINANCIAL CORP","12/31/2020","699,467","16,972,043",""
"Beutel, Goodman & Co Ltd.","12/31/2020","593,469","14,380,170",""
"NORGES BANK","12/31/2020","565,086","13,679,979",""
"Capital World Investors","12/31/2020","542,881","13,152,349",""
"AKRE CAPITAL MANAGEMENT LLC","12/31/2020","538,185","13,040,575",""
"FMR LLC","12/31/2020","533,813","12,921,631",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","519,319","12,556,004",""
"CIBC World Markets Inc.","12/31/2020","501,837","12,159,845",""
"Neuberger Berman Group LLC","12/31/2020","425,156","10,303,400",""
"TORONTO DOMINION BANK","12/31/2020","417,860","10,134,773",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2020","402,499","9,747,051",""
"EdgePoint Investment Group Inc.","12/31/2020","364,808","8,824,157",""
"MARKEL CORP","12/31/2020","359,320","8,706,561",""
"DAVENPORT & Co LLC","12/31/2020","342,767","8,305,468",""
"Invesco Ltd.","12/31/2020","329,645","7,987,557",""
"FIERA CAPITAL CORP","12/31/2020","294,735","7,151,624",""
"CI INVESTMENTS INC.","12/31/2020","267,202","6,474,488",""
"APG Asset Management N.V.","12/31/2020","215,782","6,392,265",""
"PRICE T ROWE ASSOCIATES INC /MD/","12/31/2020","261,057","6,325,403",""
"MORGAN STANLEY","12/31/2020","260,030","6,300,656",""
"FRANKLIN RESOURCES INC","12/31/2020","255,472","6,180,583",""
"Legal & General Group Plc","12/31/2020","250,844","6,073,301",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","222,412","5,380,651",""
"OMERS ADMINISTRATION Corp","12/31/2020","206,677","5,007,919",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","204,665","4,951,327",""
