"Manager","Report Date","Value ($000)","Shares","Option Type"
"Novo Holdings A/S","12/31/2022","71,928","2,508,830",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","54,036","1,883,836",""
"Itau Unibanco Holding S.A.","12/31/2022","10,505","359,069",""
"Rheos Capital Works Inc.","12/31/2022","3,271","114,074",""
"BOENNING & SCATTERGOOD, INC.","12/31/2022","3,033","53,612",""
"WULFF, HANSEN & CO.","12/31/2022","1,511","48,922",""
"Ervin Investment Management, LLC","12/31/2022","1,109","38,716",""
"CI INVESTMENTS INC.","12/31/2022","915","29,100",""
"Red Cedar Capital, LLC","12/31/2022","460","16,406",""
"Retirement Group, LLC","12/31/2022","438","15,271",""
"KAYNE ANDERSON CAPITAL ADVISORS LP","12/31/2022","411","14,350",""
"IFP Advisors, Inc","12/31/2022","572","13,844",""
"Lagoda Investment Management, L.P.","12/31/2022","324","10,315",""
"CWS Financial Advisors, LLC","12/31/2022","202","4,536",""
"Ronald Blue Trust, Inc.","12/31/2022","41","1,003",""
"TimeScale Financial, Inc.","12/31/2022","14","351",""
"HUNTINGTON NATIONAL BANK","12/31/2022","0","2",""
"Ellevest, Inc.","12/31/2022","0","0",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2022","0","0",""
