"Manager","Report Date","Value ($000)","Shares","Option Type"
"Partners Value Investments LP","12/31/2019","4,961,496","85,839,025",""
"ROYAL BANK OF CANADA","12/31/2019","3,823,065","66,143,004",""
"BANK OF MONTREAL /CAN/","12/31/2019","1,958,367","33,881,762",""
"VANGUARD GROUP INC","12/31/2019","1,493,652","25,841,739",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2019","1,269,510","21,963,911",""
"FIL Ltd","12/31/2019","1,178,082","20,389,166",""
"Jarislowsky, Fraser Ltd","12/31/2019","955,799","16,519,178",""
"1832 Asset Management L.P.","12/31/2019","860,263","14,809,342",""
"TD ASSET MANAGEMENT INC","12/31/2019","818,235","14,141,630",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","779,717","13,475,917",""
"FIRST MANHATTAN CO","12/31/2019","758,538","13,123,504",""
"CIBC Asset Management Inc","12/31/2019","742,589","12,833,528",""
"Capital World Investors","12/31/2019","739,356","12,791,893",""
"Beutel, Goodman & Co Ltd.","12/31/2019","621,856","10,758,762",""
"BANK OF NOVA SCOTIA","12/31/2019","609,505","10,548,510",""
"MACKENZIE FINANCIAL CORP","12/31/2019","646,241","8,613,097",""
"NORGES BANK","12/31/2019","572,855","8,527,292",""
"Neuberger Berman Group LLC","12/31/2019","490,749","8,490,467",""
"FMR LLC","12/31/2019","483,580","8,368,082",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","458,098","8,004,205",""
"FRANKLIN RESOURCES INC","12/31/2019","462,397","8,000,942",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2019","462,712","7,997,100",""
"CIBC World Markets Inc.","12/31/2019","451,195","7,806,136",""
"OMERS ADMINISTRATION Corp","12/31/2019","435,449","7,533,725",""
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","12/31/2019","414,015","7,162,893",""
"Invesco Ltd.","12/31/2019","371,868","6,433,693",""
"TORONTO DOMINION BANK","12/31/2019","369,883","6,398,168",""
"AKRE CAPITAL MANAGEMENT LLC","12/31/2019","361,250","6,250,000",""
"MARKEL CORP","12/31/2019","334,930","5,794,641",""
"DAVENPORT & Co LLC","12/31/2019","333,282","5,766,124",""
"CI INVESTMENTS INC.","12/31/2019","294,404","5,093,493",""
"FIERA CAPITAL CORP","12/31/2019","280,246","4,847,437",""
"MORGAN STANLEY","12/31/2019","257,024","4,446,771",""
"Legal & General Group Plc","12/31/2019","237,234","4,100,453",""
"Broad Run Investment Management, LLC","12/31/2019","231,802","4,010,412",""
"Vulcan Value Partners, LLC","12/31/2019","213,179","3,688,222",""
"APG Asset Management N.V.","12/31/2019","170,134","3,300,633",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","185,993","3,217,139",""
"GUARDIAN CAPITAL LP","12/31/2019","185,804","3,211,268",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","185,342","3,203,284",""
"CIBC Private Wealth Group, LLC","12/31/2019","166,932","2,888,076",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2019","166,254","2,873,389",""
"MARATHON ASSET MANAGEMENT LLP","12/31/2019","156,187","2,698,834",""
"JPMORGAN CHASE & CO","12/31/2019","153,260","2,651,538",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2019","148,605","2,571,751",""
"MADISON ASSET MANAGEMENT, LLC","12/31/2019","143,287","2,479,005",""
"Burgundy Asset Management Ltd.","12/31/2019","139,234","2,410,205",""
"SCOTIA CAPITAL INC.","12/31/2019","132,330","2,294,343",""
"BANK OF AMERICA CORP /DE/","12/31/2019","132,235","2,287,811",""
"Select Equity Group, L.P.","12/31/2019","130,275","2,253,900",""
"Federation des caisses Desjardins du Quebec","12/31/2019","125,863","2,178,954",""
"FENIMORE ASSET MANAGEMENT INC","12/31/2019","119,112","2,060,769",""
"COOKE & BIELER LP","12/31/2019","116,537","2,016,197",""
"CHECK CAPITAL MANAGEMENT INC/CA","12/31/2019","114,323","1,977,915",""
"WESTFIELD CAPITAL MANAGEMENT CO LP","12/31/2019","108,197","1,871,919",""
