"Manager","Report Date","Value ($000)","Shares","Option Type"
"BROOKFIELD ASSET MANAGEMENT INC.","12/31/2021","7,869,709","130,336,513",""
"ROYAL BANK OF CANADA","12/31/2021","5,815,886","96,321,427",""
"BANK OF MONTREAL /CAN/","12/31/2021","3,257,794","53,297,909",""
"VANGUARD GROUP INC","12/31/2021","2,586,101","42,830,418",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2021","2,310,691","38,487,044",""
"FIL Ltd","12/31/2021","1,867,969","30,931,905",""
"TD ASSET MANAGEMENT INC","12/31/2021","1,836,273","30,363,763",""
"Jarislowsky, Fraser Ltd","12/31/2021","1,401,340","23,457,737",""
"MACKENZIE FINANCIAL CORP","12/31/2021","1,369,572","22,678,846",""
"1832 Asset Management L.P.","12/31/2021","1,355,991","22,245,656",""
"BANK OF NOVA SCOTIA","12/31/2021","1,251,862","20,719,175",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","1,206,943","20,044,363",""
"Capital World Investors","12/31/2021","1,191,496","19,732,888",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","1,123,585","18,586,883",""
"FMR LLC","12/31/2021","1,120,833","18,561,057",""
"CIBC Asset Management Inc","12/31/2021","1,111,893","18,424,461",""
"VIKING GLOBAL INVESTORS LP","12/31/2021","1,062,875","17,603,102",""
"Capital International Investors","12/31/2021","1,026,135","16,994,620",""
"FIRST MANHATTAN CO","12/31/2021","1,017,803","16,856,637",""
"NORGES BANK","12/31/2021","810,807","13,421,506",""
"Beutel, Goodman & Co Ltd.","12/31/2021","798,204","13,247,332",""
"AKRE CAPITAL MANAGEMENT LLC","12/31/2021","792,667","13,127,979",""
"CIBC World Markets Inc.","12/31/2021","766,172","12,689,173",""
"EdgePoint Investment Group Inc.","12/31/2021","703,322","11,679,989",""
"TORONTO DOMINION BANK","12/31/2021","555,003","9,190,681",""
"Neuberger Berman Group LLC","12/31/2021","553,573","9,184,335",""
"MORGAN STANLEY","12/31/2021","527,373","8,734,254",""
"MARKEL CORP","12/31/2021","526,257","8,715,741",""
"DAVENPORT & Co LLC","12/31/2021","489,774","8,111,527",""
"FIERA CAPITAL CORP","12/31/2021","399,810","6,620,240",""
"Legal & General Group Plc","12/31/2021","397,958","6,580,593",""
"Invesco Ltd.","12/31/2021","379,650","6,287,664",""
"FRANKLIN RESOURCES INC","12/31/2021","354,973","5,873,590",""
"SCOTIA CAPITAL INC.","12/31/2021","317,438","5,269,053",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","314,773","5,208,382",""
"Alberta Investment Management Corp","12/31/2021","311,673","5,153,682",""
"APG Asset Management N.V.","12/31/2021","272,633","5,126,816",""
"JPMORGAN CHASE & CO","12/31/2021","297,848","4,932,895",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","233,601","3,874,046",""
"Federation des caisses Desjardins du Quebec","12/31/2021","228,393","3,793,710",""
