"Manager","Report Date","Value ($000)","Shares","Option Type"
"F3Logic, LLC","12/31/2021","5,117","107,300",""
"CITADEL ADVISORS LLC","12/31/2021","3,622","76,097",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","616","12,938",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2021","616","12,938",""
"UBS Group AG","12/31/2021","54","1,133",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","0","0",""
