"Manager","Report Date","Value ($000)","Shares","Option Type"
"F3Logic, LLC","12/31/2020","4,694","25,265",""
"FLOW TRADERS U.S. LLC","12/31/2020","759","4,094",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","694","3,744",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","694","3,744",""
"UBS Group AG","12/31/2020","37","201",""
"BANK OF MONTREAL /CAN/","12/31/2020","3","15",""
"PROEQUITIES, INC.","12/31/2020","0","0",""
