Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
MU,MICRON TECHNOLOGY INC,COM,595112103,"64,271",2.1%,"690,200",,
GM,GENERAL MTRS CO,COM,37045V100,"22,035",0.7%,"375,965",,
CVX,CHEVRON CORP NEW,COM,166764100,"18,282",0.6%,"155,800",,
GE,GENERAL ELECTRIC CO,COM NEW,369604301,"16,423",0.5%,"173,862",,
HP,HELMERICH & PAYNE INC,COM,423452101,"13,150",0.4%,"555,105",,
KKR,KKR & CO INC INC,COM,48251W104,"2,981",0.1%,"40,000",,
UA,UNDER ARMOUR INC,CL C,904311206,"2,146",0.1%,"119,000",,
MX,MAGNACHIP SEMICONDUCTOR CORP,COM,55933J203,"2,096",0.1%,"100,000",,
J,JACOBS ENGR GROUP INC,COM,469814107,"1,532",0.0%,"11,000",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,511,0.0%,"11,600",,
PXD,PIONEER NAT RES CO,COM,723787107,364,0.0%,"2,000",,
EOG,EOG RES INC,COM,26875P101,355,0.0%,"4,000",,
