"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","5,265,126","105,577,063",""
"BANK OF MONTREAL /CAN/","12/31/2018","2,552,553","51,184,129",""
"TD ASSET MANAGEMENT INC","12/31/2018","1,731,678","34,755,671",""
"Vanguard Group Inc","12/31/2018","1,663,390","33,354,540",""
"MACKENZIE FINANCIAL CORP","12/31/2018","1,139,672","22,852,865",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2018","1,061,755","21,310,000",""
"CIBC World Markets Inc.","12/31/2018","1,039,544","20,845,084",""
"TORONTO DOMINION BANK","12/31/2018","876,444","17,556,529",""
"Jarislowsky, Fraser Ltd","12/31/2018","776,833","15,591,460",""
"1832 Asset Management L.P.","12/31/2018","758,103","15,191,844",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2018","750,847","15,057,640",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","705,193","14,136,367",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","704,076","14,118,233",""
"NORGES BANK","12/31/2018","701,072","14,070,907",""
"Beutel, Goodman & Co Ltd.","12/31/2018","617,149","12,377,538",""
"SCOTIA CAPITAL INC.","12/31/2018","458,543","9,210,601",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","430,567","8,641,705",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2018","570,970","8,390,385",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2018","570,970","8,390,385",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2018","382,090","7,668,752",""
"CIBC Asset Management Inc","12/31/2018","378,201","7,585,259",""
"Fiera Capital Corp","12/31/2018","316,482","6,336,156",""
"GUARDIAN CAPITAL LP","12/31/2018","313,432","6,290,744",""
"OMERS ADMINISTRATION Corp","12/31/2018","288,555","5,791,446",""
"Invesco Ltd.","12/31/2018","272,757","5,469,366",""
"FRANKLIN RESOURCES INC","12/31/2018","260,391","5,213,125",""
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2018","254,765","5,108,552",""
"QV Investors Inc.","12/31/2018","337,196","4,955,119",""
"Legal & General Group Plc","12/31/2018","229,562","4,607,479",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2018","222,871","4,417,574",""
"CITADEL ADVISORS LLC","12/31/2018","215,066","4,310,792",""
"Mawer Investment Management Ltd.","12/31/2018","210,365","4,192,229",""
"Federation des caisses Desjardins du Quebec","12/31/2018","180,469","3,624,369",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2018","170,355","3,419,109",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2018","155,320","3,114,500",""
"Burgundy Asset Management Ltd.","12/31/2018","135,053","2,707,422",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2018","133,201","2,670,952",""
"JPMORGAN CHASE & CO","12/31/2018","126,781","2,542,224",""
"TORONTO DOMINION BANK","12/31/2018","122,391","2,451,900",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2018","118,088","2,367,908",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2018","116,916","2,344,393",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2018","106,733","2,142,179",""
"Bank of New York Mellon Corp","12/31/2018","104,608","2,097,601",""
"Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp","12/31/2018","136,241","2,002,072",""
"BANK OF AMERICA CORP /DE/","12/31/2018","91,355","1,831,883",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2018","88,720","1,780,663",""
"Highstreet Asset Management Inc.","12/31/2018","88,030","1,766,035",""
"AGF INVESTMENTS INC.","12/31/2018","85,559","1,716,469",""
"CREDIT SUISSE AG/","12/31/2018","85,356","1,711,604",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2018","114,345","1,683,025",""
"CIDEL ASSET MANAGEMENT INC","12/31/2018","79,197","1,589,533",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2018","77,503","1,555,530",""
"PCJ Investment Counsel Ltd.","12/31/2018","76,388","1,533,141",""
"FMR LLC","12/31/2018","76,197","1,528,649",""
"FIL Ltd","12/31/2018","74,745","1,499,520",""
"Addenda Capital Inc.","12/31/2018","71,715","1,421,597",""
"Russell Investments Group, Ltd.","12/31/2018","70,515","1,410,556",""
"LINCLUDEN MANAGEMENT LTD","12/31/2018","66,543","1,334,966",""
"Greystone Managed Investments Inc.","12/31/2018","64,328","1,291,105",""
"GOLDMAN SACHS GROUP INC","12/31/2018","62,914","1,261,559",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2018","61,353","1,230,272",""
"DEUTSCHE BANK AG\","12/31/2018","61,278","1,228,899",""
"NORTHERN TRUST CORP","12/31/2018","59,987","1,202,867",""
"Public Sector Pension Investment Board","12/31/2018","59,630","1,196,799",""
"Northwest & Ethical Investments L.P.","12/31/2018","59,166","1,186,994",""
"EdgePoint Investment Group Inc.","12/31/2018","57,329","1,150,116",""
"PRUDENTIAL PLC","12/31/2018","54,969","1,102,243",""
"MORGAN STANLEY","12/31/2018","54,940","1,101,672",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2018","53,917","1,081,682",""
"AMF Pensionsforsakring AB","12/31/2018","50,912","1,021,826",""
"TORONTO DOMINION BANK","12/31/2018","49,928","1,000,100",""
"AVIVA PLC","12/31/2018","48,834","978,277",""
"State of Tennessee, Treasury Department","12/31/2018","48,405","971,107",""
"Cardinal Capital Management, Inc.","12/31/2018","48,072","964,128",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2018","41,472","832,300",""
"JANUS HENDERSON GROUP PLC","12/31/2018","41,415","831,429",""
"AQR CAPITAL MANAGEMENT LLC","12/31/2018","41,080","824,502",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2018","40,456","811,227",""
"Cumberland Partners Ltd","12/31/2018","39,990","802,067",""
"TORONTO DOMINION BANK","12/31/2018","38,379","768,869",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2018","38,060","763,353",""
"BARCLAYS PLC","12/31/2018","36,377","729,436",""
"Aperio Group, LLC","12/31/2018","35,956","720,995",""
"UBS Group AG","12/31/2018","33,510","671,947",""
"WELLS FARGO & COMPANY/MN","12/31/2018","31,698","635,622",""
"ROYAL BANK OF CANADA","12/31/2018","30,920","620,000","put"
"Unigestion Holding SA","12/31/2018","28,989","581,300",""
"Nexus Investment Management Inc.","12/31/2018","27,759","556,739",""
"DekaBank Deutsche Girozentrale","12/31/2018","26,814","533,838",""
"Parametric Portfolio Associates LLC","12/31/2018","25,976","520,880",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2018","36,937","520,629",""
"Credential Qtrade Securities Inc.","12/31/2018","25,812","518,673",""
"Bridgewater Associates, LP","12/31/2018","25,388","509,542",""
"AMP Capital Investors Ltd","12/31/2018","24,287","482,130",""
"PICTET ASSET MANAGEMENT LTD","12/31/2018","23,667","475,004",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2018","23,669","474,498",""
"Allianz Asset Management GmbH","12/31/2018","23,517","471,987",""
"FIRST TRUST ADVISORS LP","12/31/2018","23,218","465,568",""
"Korea Investment CORP","12/31/2018","23,071","463,047",""
"NN Investment Partners Holdings N.V.","12/31/2018","22,836","457,932",""
"AXA","12/31/2018","22,136","443,881",""
"Man Group plc","12/31/2018","20,443","410,300",""
"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.","12/31/2018","20,261","406,281",""
"Hexavest Inc.","12/31/2018","18,936","380,048",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2018","18,202","365,170",""
"APG Asset Management N.V.","12/31/2018","15,454","354,562",""
"APG Asset Management N.V.","12/31/2018","15,454","354,562",""
"HSBC HOLDINGS PLC","12/31/2018","17,380","348,519",""
"BNP PARIBAS ASSET MANAGEMENT Holding S.A.","12/31/2018","16,406","325,645",""
"CITIGROUP INC","12/31/2018","16,152","324,167",""
"Hillsdale Investment Management Inc.","12/31/2018","15,358","307,785",""
"Baskin Financial Services Inc.","12/31/2018","13,518","271,123",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2018","13,194","264,809",""
"Rathbone Brothers plc","12/31/2018","12,910","259,131",""
"Fairfax Financial Holdings Ltd/ Can","12/31/2018","12,296","247,100",""
