"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2021","8,008,178","111,705,617",""
"BANK OF MONTREAL /CAN/","12/31/2021","3,835,969","52,987,256",""
"VANGUARD GROUP INC","12/31/2021","2,844,356","39,675,769",""
"TD ASSET MANAGEMENT INC","12/31/2021","1,688,867","23,822,364",""
"CIBC World Markets Inc.","12/31/2021","1,561,248","21,777,760",""
"Capital World Investors","12/31/2021","1,472,736","20,685,449",""
"MACKENZIE FINANCIAL CORP","12/31/2021","1,413,710","19,968,758",""
"1832 Asset Management L.P.","12/31/2021","1,239,542","17,219,408",""
"Jarislowsky, Fraser Ltd","12/31/2021","1,187,547","16,957,773",""
"TORONTO DOMINION BANK","12/31/2021","1,035,645","14,588,679",""
"SCOTIA CAPITAL INC.","12/31/2021","834,115","11,786,841",""
"NORGES BANK","12/31/2021","760,634","10,736,220",""
"CIBC Asset Management Inc","12/31/2021","635,159","8,978,165",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","616,531","8,702,225",""
"FIL Ltd","12/31/2021","615,641","8,696,315",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","671,198","7,538,888",""
"BANK OF AMERICA CORP /DE/","12/31/2021","539,694","7,528,171",""
"Legal & General Group Plc","12/31/2021","501,832","7,078,454",""
"Invesco Ltd.","12/31/2021","468,685","6,537,651",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2021","402,533","5,681,682",""
"JPMORGAN CHASE & CO","12/31/2021","349,860","4,880,171",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2021","336,225","4,744,860",""
"Federation des caisses Desjardins du Quebec","12/31/2021","332,054","4,696,404",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2021","301,139","4,247,731",""
"CIBC World Markets Inc.","12/31/2021","302,890","4,225,000","put"
"FRANKLIN RESOURCES INC","12/31/2021","290,958","4,106,820",""
"OMERS ADMINISTRATION Corp","12/31/2021","285,111","4,021,648",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2021","283,493","3,954,431",""
"Alberta Investment Management Corp","12/31/2021","278,806","3,932,702",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2021","269,146","3,789,092",""
"ROYAL BANK OF CANADA","12/31/2021","244,025","3,403,900","put"
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","236,732","3,346,098",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2021","234,150","3,307,383",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2021","223,572","3,153,600",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2021","216,103","3,049,298",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","215,405","3,042,484",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2021","186,280","2,598,405",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2021","180,780","2,550,000",""
"CIBC World Markets Inc.","12/31/2021","168,472","2,350,000","call"
"FMR LLC","12/31/2021","143,136","2,021,877",""
"CREDIT SUISSE AG/","12/31/2021","144,409","2,014,362",""
"Cardinal Capital Management, Inc.","12/31/2021","138,935","1,963,735",""
