"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","6,087,655","112,650,900",""
"BANK OF MONTREAL /CAN/","12/31/2020","2,777,818","52,116,643",""
"VANGUARD GROUP INC","12/31/2020","1,963,416","36,332,641",""
"TD ASSET MANAGEMENT INC","12/31/2020","1,460,821","27,050,662",""
"CIBC World Markets Inc.","12/31/2020","1,433,766","26,531,566",""
"TORONTO DOMINION BANK","12/31/2020","1,187,308","22,025,522",""
"Capital World Investors","12/31/2020","1,092,293","20,210,560",""
"1832 Asset Management L.P.","12/31/2020","969,998","17,938,070",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","949,645","17,585,000",""
"Jarislowsky, Fraser Ltd","12/31/2020","939,839","17,403,428",""
"MACKENZIE FINANCIAL CORP","12/31/2020","827,321","15,353,532",""
"NORGES BANK","12/31/2020","651,730","12,058,906",""
"SCOTIA CAPITAL INC.","12/31/2020","651,321","12,051,551",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","559,589","10,340,963",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","703,680","10,227,897",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2020","449,313","8,309,860",""
"CIBC Asset Management Inc","12/31/2020","389,271","7,218,680",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","359,928","6,659,719",""
"Legal & General Group Plc","12/31/2020","332,740","6,161,291",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","299,928","5,553,904",""
"FIL Ltd","12/31/2020","297,287","5,500,242",""
"CREDIT SUISSE AG/","12/31/2020","280,876","5,197,546",""
"Invesco Ltd.","12/31/2020","267,395","4,948,099",""
"OMERS ADMINISTRATION Corp","12/31/2020","252,386","4,673,548",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2020","250,840","4,643,358",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","250,429","4,633,666",""
"Federation des caisses Desjardins du Quebec","12/31/2020","237,775","4,414,602",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2020","216,553","4,010,000",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","208,694","3,861,842",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","208,694","3,861,842",""
"FRANKLIN RESOURCES INC","12/31/2020","204,785","3,789,086",""
"JPMORGAN CHASE & CO","12/31/2020","200,100","3,702,789",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","191,762","3,558,753",""
"Beutel, Goodman & Co Ltd.","12/31/2020","169,820","3,142,491",""
"BANK OF AMERICA CORP /DE/","12/31/2020","161,077","2,980,721",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2020","151,775","2,808,569",""
"ROYAL BANK OF CANADA","12/31/2020","138,212","2,557,600","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","137,834","2,550,600","call"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","137,834","2,550,600","call"
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2020","123,989","2,292,797",""
"FMR LLC","12/31/2020","110,520","2,044,779",""
"Cardinal Capital Management, Inc.","12/31/2020","106,244","1,970,171",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2020","94,795","1,753,977",""
"CIBC World Markets Inc.","12/31/2020","94,462","1,748,000","put"
"Burgundy Asset Management Ltd.","12/31/2020","87,445","1,618,252",""
"Bank of New York Mellon Corp","12/31/2020","86,412","1,599,026",""
"Addenda Capital Inc.","12/31/2020","82,377","1,525,400",""
"Schonfeld Strategic Advisors LLC","12/31/2020","81,807","1,513,550",""
"SCOTIA CAPITAL INC.","12/31/2020","80,995","1,500,000","call"
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2020","78,136","1,446,877",""
"GUARDIAN CAPITAL LP","12/31/2020","77,915","1,442,783",""
"Value Partners Investments Inc.","12/31/2020","73,969","1,368,857",""
"CIDEL ASSET MANAGEMENT INC","12/31/2020","73,783","1,366,270",""
"ROYAL BANK OF CANADA","12/31/2020","71,322","1,319,800","call"
"Public Sector Pension Investment Board","12/31/2020","66,913","1,239,051",""
"SPROTT INC.","12/31/2020","65,767","1,216,686",""
"DEUTSCHE BANK AG\","12/31/2020","62,291","1,152,701",""
"Alberta Investment Management Corp","12/31/2020","59,489","1,101,589",""
"LINCLUDEN MANAGEMENT LTD","12/31/2020","56,936","1,053,402",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2020","55,664","1,026,960",""
"FIRST TRUST ADVISORS LP","12/31/2020","54,992","1,017,608",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2020","54,272","1,004,294",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2020","52,430","970,868",""
"BANK OF MONTREAL /CAN/","12/31/2020","51,360","963,600","call"
"NORTHERN TRUST CORP","12/31/2020","50,985","943,455",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2020","64,708","941,890",""
"BANK OF AMERICA CORP /DE/","12/31/2020","48,636","900,000","call"
"QV Investors Inc.","12/31/2020","46,944","869,273",""
"Credential Qtrade Securities Inc.","12/31/2020","45,411","840,378",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2020","44,899","832,615",""
"MORGAN STANLEY","12/31/2020","43,936","813,042",""
"MARSHALL WACE, LLP","12/31/2020","43,507","805,597",""
"APG Asset Management N.V.","12/31/2020","34,476","781,129",""
"GOLDMAN SACHS GROUP INC","12/31/2020","41,286","763,985",""
"TORONTO DOMINION BANK","12/31/2020","41,020","738,066",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2020","38,088","704,811",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2020","36,528","676,374",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2020","36,378","673,171",""
"Northwest & Ethical Investments L.P.","12/31/2020","35,724","660,946",""
"Aperio Group, LLC","12/31/2020","35,117","649,832",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2020","34,827","644,857",""
"HSBC HOLDINGS PLC","12/31/2020","33,437","617,314",""
"AMF Pensionsforsakring AB","12/31/2020","32,275","597,015",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2020","30,316","568,507",""
"Nexus Investment Management ULC","12/31/2020","29,925","557,031",""
"Parametric Portfolio Associates LLC","12/31/2020","29,734","550,218",""
"AXA S.A.","12/31/2020","29,713","549,824",""
"PICTET ASSET MANAGEMENT LTD","12/31/2020","27,868","516,054",""
"Neuberger Berman Group LLC","12/31/2020","27,866","511,847",""
"TORONTO DOMINION BANK","12/31/2020","27,003","500,900",""
"CITIGROUP INC","12/31/2020","26,370","488,291",""
"Galibier Capital Management Ltd.","12/31/2020","24,662","456,670",""
"Korea Investment CORP","12/31/2020","24,427","452,317",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2020","22,976","425,450",""
"BARCLAYS PLC","12/31/2020","22,800","421,911",""
"AMP Capital Investors Ltd","12/31/2020","22,766","421,698",""
"D. E. Shaw & Co., Inc.","12/31/2020","22,537","417,100",""
"Triasima Portfolio Management inc.","12/31/2020","22,215","411,110",""
"AVIVA PLC","12/31/2020","21,690","401,747",""
"Polar Asset Management Partners Inc.","12/31/2020","21,616","400,000","put"
"UBS Group AG","12/31/2020","20,964","387,939",""
"EVOKE WEALTH, LLC","12/31/2020","20,578","380,800",""
"NN Investment Partners Holdings N.V.","12/31/2020","20,138","372,652",""
"PEAK6 Investments LLC","12/31/2020","20,124","372,400","call"
"Investment Management Corp of Ontario","12/31/2020","19,146","354,295",""
"BANK OF MONTREAL /CAN/","12/31/2020","18,548","348,000","put"
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2020","18,658","345,500",""
"CIBC World Markets Inc.","12/31/2020","18,563","343,500","call"
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2020","17,053","315,778",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2020","16,903","313,000",""
"CITADEL ADVISORS LLC","12/31/2020","16,796","310,812",""
"DekaBank Deutsche Girozentrale","12/31/2020","15,895","292,375",""
"FORSTA AP-FONDEN","12/31/2020","15,677","290,300",""
"Pendal Group Limited","12/31/2020","15,219","281,597",""
"AGF INVESTMENTS INC.","12/31/2020","15,024","277,963",""
"JANUS HENDERSON GROUP PLC","12/31/2020","14,992","277,626",""
"Fairfax Financial Holdings Ltd/ Can","12/31/2020","13,345","247,100",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2020","13,225","244,737",""
"Marshall Wace North America L.P.","12/31/2020","12,969","240,083",""
"Hillsdale Investment Management Inc.","12/31/2020","12,058","223,232",""
"Crossmark Global Holdings, Inc.","12/31/2020","11,561","213,935",""
"CITADEL ADVISORS LLC","12/31/2020","11,554","213,800","call"
"K.J. Harrison & Partners Inc","12/31/2020","11,202","207,736",""
"TORONTO DOMINION BANK","12/31/2020","10,377","192,500",""
"HOWLAND CAPITAL MANAGEMENT LLC","12/31/2020","10,388","192,237",""
"ALLIANCEBERNSTEIN L.P.","12/31/2020","8,961","165,815",""
"SHELL ASSET MANAGEMENT CO","12/31/2020","8,576","158,804",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2020","8,500","157,614",""
"Rathbone Brothers plc","12/31/2020","8,238","152,561",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2020","8,124","150,341",""
"Parallax Volatility Advisers, L.P.","12/31/2020","8,106","150,000","put"
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2020","7,935","146,800",""
"Cumberland Partners Ltd","12/31/2020","7,308","135,485",""
"WELLS FARGO & COMPANY/MN","12/31/2020","7,319","135,440",""
"Westpac Banking Corp","12/31/2020","9,238","134,275",""
"PCJ Investment Counsel Ltd.","12/31/2020","6,708","124,112",""
"EAGLE ASSET MANAGEMENT INC","12/31/2020","6,685","123,680",""
"Euro Pacific Asset Management, LLC","12/31/2020","6,114","115,367",""
"QS Investors, LLC","12/31/2020","6,105","112,957",""
"MARSHALL WACE ASIA Ltd","12/31/2020","5,733","106,163",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2020","7,068","102,730",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2020","7,068","102,730",""
"Man Group plc","12/31/2020","5,459","101,089",""
"Parallax Volatility Advisers, L.P.","12/31/2020","5,404","100,000","call"
"CITIGROUP INC","12/31/2020","5,400","100,000","call"
"Polar Asset Management Partners Inc.","12/31/2020","5,404","100,000","call"
"PRELUDE CAPITAL MANAGEMENT, LLC","12/31/2020","5,404","100,000","call"
"Voya Investment Management LLC","12/31/2020","5,224","96,735",""
"American Assets Investment Management, LLC","12/31/2020","5,134","95,000",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","4,939","91,400","put"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","4,939","91,400","put"
"Caption Management, LLC","12/31/2020","4,863","90,000","call"
"Martin Capital Partners, LLC","12/31/2020","4,620","85,548",""
"JUPITER ASSET MANAGEMENT LTD","12/31/2020","4,336","80,403",""
"Caption Management, LLC","12/31/2020","4,322","80,000","put"
"BANK OF NOVA SCOTIA","12/31/2020","4,095","75,777",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2020","4,029","74,600",""
"Lorne Steinberg Wealth Management Inc.","12/31/2020","4,019","74,130",""
"CITADEL ADVISORS LLC","12/31/2020","3,923","72,600","put"
"Snowden Capital Advisors LLC","12/31/2020","3,862","71,469",""
"Vontobel Holding Ltd.","12/31/2020","3,837","68,991",""
"COMERICA BANK","12/31/2020","3,560","65,321",""
"Quantbot Technologies LP","12/31/2020","3,375","62,469",""
"US BANCORP \DE\","12/31/2020","3,333","61,664",""
"Manitou Investment Management Ltd.","12/31/2020","3,299","61,058",""
"Unigestion Holding SA","12/31/2020","3,101","57,360",""
"Andra AP-fonden","12/31/2020","3,942","57,300",""
"FIERA CAPITAL CORP","12/31/2020","3,029","56,217",""
