"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2019","6,213,130","109,986,322",""
"BANK OF MONTREAL /CAN/","12/31/2019","3,152,862","55,812,727",""
"VANGUARD GROUP INC","12/31/2019","2,005,267","35,497,746",""
"TD ASSET MANAGEMENT INC","12/31/2019","1,639,132","28,978,076",""
"TORONTO DOMINION BANK","12/31/2019","1,260,016","22,294,488",""
"CIBC World Markets Inc.","12/31/2019","1,220,383","21,603,524",""
"MACKENZIE FINANCIAL CORP","12/31/2019","1,058,101","18,721,251",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2019","994,686","17,585,000",""
"Jarislowsky, Fraser Ltd","12/31/2019","899,667","15,905,182",""
"1832 Asset Management L.P.","12/31/2019","893,245","15,814,472",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2019","833,429","14,750,519",""
"NORGES BANK","12/31/2019","776,885","13,752,685",""
"Beutel, Goodman & Co Ltd.","12/31/2019","715,430","12,664,730",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","665,793","11,896,681",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","566,942","10,022,935",""
"SCOTIA CAPITAL INC.","12/31/2019","534,424","9,476,186",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","433,427","7,696,094",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2019","432,971","7,654,460",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","389,492","6,885,797",""
"CIBC Asset Management Inc","12/31/2019","387,121","6,843,377",""
"Legal & General Group Plc","12/31/2019","331,682","5,864,122",""
"Invesco Ltd.","12/31/2019","296,132","5,242,204",""
"OMERS ADMINISTRATION Corp","12/31/2019","296,413","5,240,263",""
"FIERA CAPITAL CORP","12/31/2019","295,504","5,228,433",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2019","267,653","4,737,700",""
"GUARDIAN CAPITAL LP","12/31/2019","258,632","4,572,339",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","251,351","4,502,274",""
"JPMORGAN CHASE & CO","12/31/2019","233,851","4,139,690",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2019","226,273","4,000,264",""
"FRANKLIN RESOURCES INC","12/31/2019","215,235","3,809,599",""
"Capital World Investors","12/31/2019","210,930","3,734,188",""
"Federation des caisses Desjardins du Quebec","12/31/2019","200,724","3,554,065",""
"GOLDMAN SACHS GROUP INC","12/31/2019","188,100","3,329,794",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2019","172,416","3,052,158",""
