"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2024","5,341,094","99,424,705",""
"BANK OF MONTREAL /CAN/","12/31/2024","3,466,002","64,627,855",""
"VANGUARD GROUP INC","12/31/2024","2,758,149","51,363,146",""
"CIBC WORLD MARKET INC.","12/31/2024","1,636,017","30,454,527",""
"TORONTO DOMINION BANK","12/31/2024","1,053,545","19,644,639",""
"TD ASSET MANAGEMENT INC","12/31/2024","1,017,933","18,966,078",""
"NATIONAL BANK OF CANADA /FI/","12/31/2024","1,001,712","18,636,547",""
"1832 Asset Management L.P.","12/31/2024","932,295","17,354,714",""
"MACKENZIE FINANCIAL CORP","12/31/2024","793,014","14,783,625",""
"MACKENZIE FINANCIAL CORP","12/31/2024","793,014","14,783,625",""
"MACKENZIE FINANCIAL CORP","12/31/2024","800,921","14,783,625",""
"SCOTIA CAPITAL INC.","12/31/2024","752,581","14,024,260",""
"NORGES BANK","12/31/2024","690,745","12,879,797",""
"JARISLOWSKY, FRASER Ltd","12/31/2024","628,280","11,750,934",""
"CIBC Asset Management Inc","12/31/2024","551,766","10,259,279",""
"Federation des caisses Desjardins du Quebec","12/31/2024","499,013","9,318,470",""
"Royal Bank of Canada","12/31/2024","467,138","8,695,800","put"
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2024","434,196","8,096,123",""
"Legal & General Group Plc","12/31/2024","402,806","7,505,065",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2024","406,102","7,433,171",""
"Beutel, Goodman & Co Ltd.","12/31/2024","348,482","6,492,912",""
"JPMORGAN CHASE & CO","12/31/2024","307,687","5,727,615",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2024","276,654","5,149,870",""
"BANK OF AMERICA CORP /DE/","12/31/2024","242,719","4,518,228",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2024","242,504","4,509,995",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2024","221,521","4,127,370",""
"BARROW HANLEY MEWHINNEY & STRAUSS LLC","12/31/2024","207,788","3,867,989",""
"TD Waterhouse Canada Inc.","12/31/2024","206,325","3,849,592",""
"CHARLES SCHWAB INVESTMENT MANAGEMENT INC","12/31/2024","205,048","3,820,344",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2024","186,078","3,469,657",""
"GOLDMAN SACHS GROUP INC","12/31/2024","153,578","2,858,865",""
"TORONTO DOMINION BANK","12/31/2024","149,322","2,784,300","put"
"FIL Ltd","12/31/2024","138,688","2,582,696",""
"TORONTO DOMINION BANK","12/31/2024","137,684","2,567,300","call"
"MORGAN STANLEY","12/31/2024","137,888","2,566,806",""
"Invesco Ltd.","12/31/2024","126,978","2,363,708",""
"AMUNDI","12/31/2024","120,009","2,321,724",""
"Royal Bank of Canada","12/31/2024","121,966","2,270,400","call"
"Clearbridge Investments, LLC","12/31/2024","119,185","2,218,646",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2024","118,143","2,201,543",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2024","116,711","2,173,374",""
"Alberta Investment Management Corp","12/31/2024","114,137","2,126,600",""
"Cardinal Capital Management, Inc.","12/31/2024","110,763","2,067,324",""
"AMUNDI","12/31/2024","146,731","1,900,669",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2024","101,976","1,900,294",""
"BANK OF MONTREAL /CAN/","12/31/2024","97,204","1,812,500","call"
"Zurich Insurance Group Ltd/FI","12/31/2024","96,529","1,799,344",""
"DEUTSCHE BANK AG\","12/31/2024","92,339","1,718,907",""
