"Manager","Report Date","Value ($000)","Shares","Option Type"
"MARSHALL WACE, LLP","12/31/2022","27,379","558,999",""
"GUARDIAN CAPITAL LP","12/31/2022","26,516","541,585",""
"PICTET ASSET MANAGEMENT SA","12/31/2022","24,822","506,959",""
"TORONTO DOMINION BANK","12/31/2022","24,851","506,898",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2022","24,343","497,000",""
"NORTHERN TRUST CORP","12/31/2022","23,782","485,556",""
"TORONTO DOMINION BANK","12/31/2022","23,564","480,600",""
"BARCLAYS PLC","12/31/2022","23,275","475,201",""
"Unigestion Holding SA","12/31/2022","20,103","408,630",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2022","19,975","407,700",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2022","19,729","402,802",""
"Neuberger Berman Group LLC","12/31/2022","19,368","401,328",""
"K2 PRINCIPAL FUND, L.P.","12/31/2022","19,472","397,554",""
"K2 PRINCIPAL FUND, L.P.","12/31/2022","26,084","393,200","call"
"EVOKE WEALTH, LLC","12/31/2022","18,973","387,367",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2022","18,521","378,285",""
"CITIGROUP INC","12/31/2022","17,831","364,198",""
"JANE STREET GROUP, LLC","12/31/2022","17,402","355,299",""
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2022","17,375","354,624",""
"Parallax Volatility Advisers, L.P.","12/31/2022","17,143","350,000","put"
"UBS Group AG","12/31/2022","16,626","339,451",""
"Man Group plc","12/31/2022","16,297","332,828",""
"FORSTA AP-FONDEN","12/31/2022","16,225","331,400",""
"AXA S.A.","12/31/2022","15,465","315,748",""
"CITADEL ADVISORS LLC","12/31/2022","15,142","309,153",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2022","15,002","306,418",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2022","14,633","298,908",""
"AMF Tjanstepension AB","12/31/2022","14,485","294,234",""
"FAIRFAX FINANCIAL HOLDINGS LTD/ CAN","12/31/2022","14,142","289,100",""
"SIG North Trading, ULC","12/31/2022","14,120","288,000","put"
"WOLVERINE TRADING, LLC","12/31/2022","13,758","280,900","put"
"Hillsdale Investment Management Inc.","12/31/2022","12,590","257,192",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2022","12,315","251,362",""
"APG Asset Management N.V.","12/31/2022","16,666","251,222",""
"Polar Asset Management Partners Inc.","12/31/2022","12,234","250,000","call"
"GLUSKIN SHEFF & ASSOC INC","12/31/2022","12,060","246,142",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2022","11,564","237,248",""
"Pendal Group Ltd","12/31/2022","11,586","236,330",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2022","10,460","215,166",""
"Crossmark Global Holdings, Inc.","12/31/2022","10,501","214,392",""
"USS Investment Management Ltd","12/31/2022","9,735","198,730",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2022","9,608","196,164",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","9,585","195,700","put"
