"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","4,988,561","102,455,575",""
"BANK OF MONTREAL /CAN/","12/31/2023","3,505,278","71,984,792",""
"VANGUARD GROUP INC","12/31/2023","2,287,019","46,971,032",""
"CIBC WORLD MARKET INC.","12/31/2023","1,327,213","27,258,429",""
"TORONTO DOMINION BANK","12/31/2023","1,159,519","23,814,325",""
"TD Asset Management Inc","12/31/2023","970,576","19,841,901",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","821,258","17,285,427",""
"1832 Asset Management L.P.","12/31/2023","713,539","14,654,741",""
"MACKENZIE FINANCIAL CORP","12/31/2023","653,678","13,422,200",""
"SCOTIA CAPITAL INC.","12/31/2023","653,336","13,420,717",""
"NORGES BANK","12/31/2023","652,408","13,402,099",""
"JARISLOWSKY, FRASER Ltd","12/31/2023","643,901","13,163,545",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2023","603,196","12,384,704",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2023","430,605","8,845,705",""
"CIBC Asset Management Inc","12/31/2023","424,514","8,693,115",""
"Legal & General Group Plc","12/31/2023","353,054","7,217,820",""
"JPMORGAN CHASE & CO","12/31/2023","279,506","5,740,536",""
"JPMORGAN CHASE & CO","12/31/2023","279,506","5,740,536",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","273,392","5,615,011",""
"Federation des caisses Desjardins du Quebec","12/31/2023","229,525","4,700,174",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","225,826","4,612,979",""
"BANK OF AMERICA CORP /DE/","12/31/2023","216,922","4,455,174",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2023","214,446","4,384,022",""
"Alberta Investment Management Corp","12/31/2023","183,315","3,747,584",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","182,321","3,727,278",""
"GOLDMAN SACHS GROUP INC","12/31/2023","175,320","3,600,746",""
"GOLDMAN SACHS GROUP INC","12/31/2023","175,320","3,600,746",""
"BANK OF MONTREAL /CAN/","12/31/2023","168,556","3,461,500","put"
"Beutel, Goodman & Co Ltd.","12/31/2023","169,093","3,456,839",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2023","165,614","3,396,836",""
"Invesco Ltd.","12/31/2023","155,684","3,197,463",""
"MORGAN STANLEY","12/31/2023","155,664","3,197,044",""
"MORGAN STANLEY","12/31/2023","155,664","3,197,044",""
"Murchinson Ltd.","12/31/2023","151,002","3,101,309",""
"AMUNDI","12/31/2023","187,526","2,906,041",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","136,445","2,793,862",""
"Royal Bank of Canada","12/31/2023","128,688","2,643,000","call"
"TORONTO DOMINION BANK","12/31/2023","125,654","2,580,700",""
"Clearbridge Investments, LLC","12/31/2023","114,447","2,389,790",""
"CIBC WORLD MARKET INC.","12/31/2023","116,028","2,383,000","put"
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2023","111,231","2,280,248",""
"TORONTO DOMINION BANK","12/31/2023","101,289","2,080,300",""
"CREDIT SUISSE AG/","12/31/2023","100,860","2,071,478",""
"Royal Bank of Canada","12/31/2023","99,430","2,042,100","put"
"AMUNDI","12/31/2023","91,086","1,918,409",""
"Cardinal Capital Management, Inc.","12/31/2023","91,773","1,879,372",""
"FIL Ltd","12/31/2023","87,984","1,807,499",""
"CIBC WORLD MARKET INC.","12/31/2023","87,988","1,807,100","call"
"Nuveen Asset Management, LLC","12/31/2023","80,562","1,646,972",""
"BANK OF AMERICA CORP /DE/","12/31/2023","79,121","1,625,000","call"
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2023","76,762","1,576,883",""
"TWO SIGMA INVESTMENTS, LP","12/31/2023","71,893","1,476,551",""
"Value Partners Investments Inc.","12/31/2023","69,943","1,434,222",""
"Bank of New York Mellon Corp","12/31/2023","66,350","1,362,710",""
"Value Partners Investments Inc.","12/31/2023","66,533","1,326,448",""
"Burgundy Asset Management Ltd.","12/31/2023","62,736","1,286,439",""
"HSBC HOLDINGS PLC","12/31/2023","62,135","1,276,040",""
"DEUTSCHE BANK AG\","12/31/2023","60,487","1,242,302",""
"Addenda Capital Inc.","12/31/2023","76,850","1,191,484",""
"AVIVA PLC","12/31/2023","50,164","1,026,988",""
"FRANKLIN RESOURCES INC","12/31/2023","48,857","1,003,657",""
"BlackRock Inc.","12/31/2023","46,933","963,933",""
"CIDEL ASSET MANAGEMENT INC","12/31/2023","46,891","958,630",""
"Korea Investment CORP","12/31/2023","46,280","946,141",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2023","43,980","903,271",""
"LINCLUDEN MANAGEMENT LTD","12/31/2023","43,330","890,245",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2023","43,005","884,329",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2023","38,454","789,954",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2023","35,305","721,604",""
"State of Tennessee, Treasury Department","12/31/2023","33,822","691,444",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2023","33,643","691,216",""
"Nexus Investment Management ULC","12/31/2023","31,987","655,045",""
"Marathon Asset Management Ltd","12/31/2023","30,938","632,154",""
"MARSHALL WACE, LLP","12/31/2023","29,678","609,530",""
