"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2023","6,549,204","66,193,708",""
"VANGUARD GROUP INC","12/31/2023","2,777,560","28,073,185",""
"BANK OF MONTREAL /CAN/","12/31/2023","2,524,452","25,242,430",""
"TD Asset Management Inc","12/31/2023","1,911,635","19,225,705",""
"MACKENZIE FINANCIAL CORP","12/31/2023","1,435,002","14,495,589",""
"BANK OF NOVA SCOTIA","12/31/2023","1,378,687","13,927,691",""
"CIBC WORLD MARKET INC.","12/31/2023","1,348,363","13,628,085",""
"NATIONAL BANK OF CANADA /FI/","12/31/2023","998,029","10,195,214",""
"FIL Ltd","12/31/2023","976,870","9,872,642",""
"CIBC Asset Management Inc","12/31/2023","880,924","8,874,517",""
"TORONTO DOMINION BANK","12/31/2023","877,031","8,864,277",""
"NORGES BANK","12/31/2023","812,643","8,212,584",""
"Beutel, Goodman & Co Ltd.","12/31/2023","572,303","5,755,777",""
"1832 Asset Management L.P.","12/31/2023","565,948","5,720,115",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2023","555,679","5,588,580",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2023","549,437","5,543,938",""
"Legal & General Group Plc","12/31/2023","415,884","4,182,750",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2023","393,823","3,979,960",""
"BANK OF AMERICA CORP /DE/","12/31/2023","357,906","3,617,414",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2023","357,060","3,608,868",""
"FMR LLC","12/31/2023","329,162","3,326,646",""
"SCOTIA CAPITAL INC.","12/31/2023","324,246","3,278,954",""
"Fiera Capital Corp","12/31/2023","309,174","3,124,872",""
"TORONTO DOMINION BANK","12/31/2023","279,376","2,823,700",""
"JPMORGAN CHASE & CO","12/31/2023","276,422","2,793,835",""
"JPMORGAN CHASE & CO","12/31/2023","276,422","2,793,835",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2023","275,179","2,765,927",""
"GOLDMAN SACHS GROUP INC","12/31/2023","273,232","2,761,595",""
"GOLDMAN SACHS GROUP INC","12/31/2023","273,232","2,761,595",""
"TORONTO DOMINION BANK","12/31/2023","263,774","2,666,000",""
"GUARDIAN CAPITAL LP","12/31/2023","262,051","2,635,504",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2023","225,082","2,273,490",""
"Federation des caisses Desjardins du Quebec","12/31/2023","212,017","2,095,491",""
"Nuveen Asset Management, LLC","12/31/2023","207,759","2,089,642",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2023","199,603","2,007,450",""
"Royal Bank of Canada","12/31/2023","187,254","1,892,600","put"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2023","173,452","1,752,904",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2023","170,674","1,716,509",""
"AGF MANAGEMENT LTD","12/31/2023","178,821","1,713,527",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2023","170,197","1,696,321",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2023","153,198","1,548,393",""
"Alberta Investment Management Corp","12/31/2023","144,791","1,456,199",""
"Newport Trust Company, LLC","12/31/2023","142,781","1,443,113",""
"D. E. Shaw & Co., Inc.","12/31/2023","137,994","1,395,000","call"
"MORGAN STANLEY","12/31/2023","126,031","1,273,818",""
"MORGAN STANLEY","12/31/2023","126,031","1,273,818",""
"CREDIT SUISSE AG/","12/31/2023","124,672","1,260,081",""
"Cardinal Capital Management, Inc.","12/31/2023","122,224","1,231,314",""
"Royal Bank of Canada","12/31/2023","116,255","1,175,000","call"
"BANK OF AMERICA CORP /DE/","12/31/2023","101,908","1,030,000","call"
