"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2022","5,873,447","64,828,323",""
"VANGUARD GROUP INC","12/31/2022","2,279,568","25,160,798",""
"BANK OF MONTREAL /CAN/","12/31/2022","2,189,807","24,058,830",""
"TD Asset Management Inc","12/31/2022","1,443,846","15,949,293",""
"CIBC WORLD MARKET INC.","12/31/2022","1,236,562","13,659,138",""
"BANK OF NOVA SCOTIA","12/31/2022","1,196,832","13,211,403",""
"MACKENZIE FINANCIAL CORP","12/31/2022","1,144,445","12,653,654",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","958,630","10,585,573",""
"1832 Asset Management L.P.","12/31/2022","864,767","9,544,892",""
"CIBC Asset Management Inc","12/31/2022","758,724","8,373,672",""
"TORONTO DOMINION BANK","12/31/2022","721,162","7,931,533",""
"FIL Ltd","12/31/2022","676,801","7,470,970",""
"FMR LLC","12/31/2022","566,515","6,253,560",""
"NORGES BANK","12/31/2022","561,431","6,197,179",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2022","487,632","5,386,576",""
"Beutel, Goodman & Co Ltd.","12/31/2022","454,673","5,022,503",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2022","438,331","4,838,405",""
"Royal Bank of Canada","12/31/2022","434,518","4,796,000","put"
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2022","433,857","4,792,137",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2022","341,530","3,769,627",""
"Legal & General Group Plc","12/31/2022","338,346","3,737,577",""
"Fiera Capital Corp","12/31/2022","271,423","2,993,933",""
"SCOTIA CAPITAL INC.","12/31/2022","251,449","2,780,385",""
"BANK OF AMERICA CORP /DE/","12/31/2022","242,440","2,675,940",""
"JPMORGAN CHASE & CO","12/31/2022","232,892","2,570,555",""
"GUARDIAN CAPITAL LP","12/31/2022","230,293","2,543,911",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2022","203,209","2,244,735",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2022","201,587","2,227,550",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2022","197,416","2,165,524",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2022","182,490","2,015,861",""
"AGF MANAGEMENT LTD","12/31/2022","177,316","1,957,338",""
"MORGAN STANLEY","12/31/2022","173,286","1,912,650",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2022","164,094","1,810,041",""
"BANK OF AMERICA CORP /DE/","12/31/2022","158,550","1,750,000","call"
"Federation des caisses Desjardins du Quebec","12/31/2022","148,529","1,572,774",""
"TORONTO DOMINION BANK","12/31/2022","136,053","1,500,900",""
"Newport Trust Co","12/31/2022","130,563","1,441,097",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2022","128,243","1,415,492",""
"Alberta Investment Management Corp","12/31/2022","125,659","1,388,079",""
"Royal Bank of Canada","12/31/2022","123,071","1,358,400","call"
"SIG North Trading, ULC","12/31/2022","119,217","1,315,000","put"
"CREDIT SUISSE AG/","12/31/2022","112,949","1,246,682",""
"Cardinal Capital Management, Inc.","12/31/2022","109,945","1,213,408",""
"GOLDMAN SACHS GROUP INC","12/31/2022","104,062","1,148,589",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2022","103,252","1,139,722",""
"FRANKLIN RESOURCES INC","12/31/2022","101,597","1,121,452",""
"Invesco Ltd.","12/31/2022","84,236","929,760",""
"OMERS ADMINISTRATION Corp","12/31/2022","84,009","928,000",""
"Bank of New York Mellon Corp","12/31/2022","77,959","860,478",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2022","75,385","832,153",""
"FIRST TRUST ADVISORS LP","12/31/2022","74,538","822,715",""
"CIDEL ASSET MANAGEMENT INC","12/31/2022","73,100","807,492",""
"AMUNDI","12/31/2022","73,044","760,642",""
"SIG North Trading, ULC","12/31/2022","68,693","757,700","call"
"Addenda Capital Inc.","12/31/2022","92,793","756,513",""
"DEUTSCHE BANK AG\","12/31/2022","68,256","753,383",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2022","60,743","671,000","put"
"CIBC WORLD MARKET INC.","12/31/2022","58,844","650,000","call"
"Skandinaviska Enskilda Banken AB (publ)","12/31/2022","58,478","645,450",""
"D. E. Shaw & Co., Inc.","12/31/2022","56,583","624,800","call"
"Value Partners Investments Inc.","12/31/2022","55,812","616,276",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2022","55,779","615,673",""
"CIBC WORLD MARKET INC.","12/31/2022","49,792","550,000","put"
"GLUSKIN SHEFF & ASSOC INC","12/31/2022","47,714","526,659",""
"Korea Investment CORP","12/31/2022","46,615","514,928",""
"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC","12/31/2022","508","505,077",""
