"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2020","4,400,589","57,879,647",""
"BANK OF MONTREAL /CAN/","12/31/2020","1,719,926","21,996,751",""
"VANGUARD GROUP INC","12/31/2020","1,463,167","19,244,611",""
"TD ASSET MANAGEMENT INC","12/31/2020","1,155,303","15,208,269",""
"CIBC World Markets Inc.","12/31/2020","1,053,702","13,859,027",""
"BANK OF NOVA SCOTIA","12/31/2020","1,027,328","13,512,141",""
"TORONTO DOMINION BANK","12/31/2020","822,037","10,840,632",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2020","559,182","7,361,000",""
"NORGES BANK","12/31/2020","558,908","7,351,587",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2020","469,356","6,164,885",""
"CIBC Asset Management Inc","12/31/2020","456,429","6,017,006",""
"MACKENZIE FINANCIAL CORP","12/31/2020","446,093","5,885,221",""
"Beutel, Goodman & Co Ltd.","12/31/2020","443,333","5,831,035",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2020","346,861","4,560,392",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2020","333,332","4,384,494",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2020","272,088","3,581,728",""
"Legal & General Group Plc","12/31/2020","253,764","3,340,405",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","250,695","3,297,318",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2020","250,695","3,297,318",""
"FIERA CAPITAL CORP","12/31/2020","242,988","3,205,696",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2020","300,249","3,102,380",""
"FMR LLC","12/31/2020","219,225","2,883,366",""
"GUARDIAN CAPITAL LP","12/31/2020","184,902","2,434,022",""
"FRANKLIN RESOURCES INC","12/31/2020","180,613","2,375,722",""
"1832 Asset Management L.P.","12/31/2020","179,412","2,358,334",""
"SCOTIA CAPITAL INC.","12/31/2020","167,095","2,197,751",""
"OMERS ADMINISTRATION Corp","12/31/2020","160,745","2,116,033",""
"JPMORGAN CHASE & CO","12/31/2020","160,287","2,108,232",""
"ROYAL BANK OF CANADA","12/31/2020","149,992","1,972,800","put"
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2020","145,026","1,913,297",""
"Federation des caisses Desjardins du Quebec","12/31/2020","117,938","1,556,272",""
"Cardinal Capital Management, Inc.","12/31/2020","112,888","1,488,168",""
"Newport Trust Co","12/31/2020","111,120","1,461,527",""
"CREDIT SUISSE AG/","12/31/2020","107,511","1,414,049",""
"BANK OF AMERICA CORP /DE/","12/31/2020","98,839","1,300,000","call"
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2020","92,657","1,217,959",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2020","87,822","1,155,176",""
"Triasima Portfolio Management inc.","12/31/2020","78,966","1,038,850",""
"GOLDMAN SACHS GROUP INC","12/31/2020","74,776","983,498",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2020","94,472","977,463",""
"Alberta Investment Management Corp","12/31/2020","72,891","959,525",""
"Invesco Ltd.","12/31/2020","71,404","939,153",""
"CIDEL ASSET MANAGEMENT INC","12/31/2020","70,041","922,014",""
"Bank of New York Mellon Corp","12/31/2020","68,958","906,990",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2020","62,350","820,771",""
"TORONTO DOMINION BANK","12/31/2020","62,190","820,100",""
"Value Partners Investments Inc.","12/31/2020","61,876","814,020",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2020","60,569","794,890",""
"BANK OF MONTREAL /CAN/","12/31/2020","59,385","759,500","call"
"FIL Ltd","12/31/2020","57,701","758,912",""
"AGF INVESTMENTS INC.","12/31/2020","56,101","737,868",""
