"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2021","6,034,511","56,020,341",""
"VANGUARD GROUP INC","12/31/2021","2,282,024","21,184,778",""
"BANK OF MONTREAL /CAN/","12/31/2021","2,298,830","21,176,895",""
"TD ASSET MANAGEMENT INC","12/31/2021","1,622,914","15,052,376",""
"BANK OF NOVA SCOTIA","12/31/2021","1,392,124","12,921,152",""
"CIBC World Markets Inc.","12/31/2021","1,282,035","11,901,546",""
"MACKENZIE FINANCIAL CORP","12/31/2021","1,048,126","9,734,740",""
"TORONTO DOMINION BANK","12/31/2021","778,644","7,227,708",""
"CIBC Asset Management Inc","12/31/2021","740,318","6,880,828",""
"NORGES BANK","12/31/2021","666,860","6,189,262",""
"1832 Asset Management L.P.","12/31/2021","588,307","5,445,343",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2021","523,431","4,857,975",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2021","420,489","3,900,000",""
"Legal & General Group Plc","12/31/2021","400,126","3,711,047",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2021","383,570","3,560,850",""
"GUARDIAN CAPITAL LP","12/31/2021","382,777","3,550,222",""
"Beutel, Goodman & Co Ltd.","12/31/2021","365,822","3,405,461",""
"FIERA CAPITAL CORP","12/31/2021","353,449","3,282,747",""
"FMR LLC","12/31/2021","329,456","3,060,022",""
"SCOTIA CAPITAL INC.","12/31/2021","267,081","2,482,422",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2021","262,443","2,434,132",""
"ROYAL BANK OF CANADA","12/31/2021","255,555","2,372,400","put"
"CIBC World Markets Inc.","12/31/2021","249,372","2,315,000","put"
"JPMORGAN CHASE & CO","12/31/2021","239,037","2,219,049",""
"NATIONAL BANK OF CANADA /FI/","12/31/2021","215,953","2,007,845",""
"MORGAN STANLEY","12/31/2021","205,707","1,909,649",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2021","204,943","1,902,560",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2021","202,366","1,879,531",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2021","200,918","1,863,500",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2021","199,293","1,849,292",""
"FRANKLIN RESOURCES INC","12/31/2021","196,476","1,823,505",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2021","191,421","1,779,558",""
"Alberta Investment Management Corp","12/31/2021","160,333","1,487,075",""
"AGF INVESTMENTS INC.","12/31/2021","154,420","1,434,270",""
"Federation des caisses Desjardins du Quebec","12/31/2021","148,949","1,385,452",""
"CREDIT SUISSE AG/","12/31/2021","149,019","1,383,392",""
"GOLDMAN SACHS GROUP INC","12/31/2021","147,464","1,368,955",""
"Newport Trust Co","12/31/2021","143,155","1,328,952",""
"OMERS ADMINISTRATION Corp","12/31/2021","139,363","1,292,576",""
"Cardinal Capital Management, Inc.","12/31/2021","135,704","1,261,303",""
"BANK OF AMERICA CORP /DE/","12/31/2021","133,974","1,243,718",""
"Triasima Portfolio Management inc.","12/31/2021","116,778","1,087,095",""
"Invesco Ltd.","12/31/2021","113,026","1,049,260",""
"CIDEL ASSET MANAGEMENT INC","12/31/2021","107,162","993,920",""
"TWO SIGMA INVESTMENTS, LP","12/31/2021","85,232","791,240",""
"DEUTSCHE BANK AG\","12/31/2021","83,480","774,959",""
"Bank of New York Mellon Corp","12/31/2021","82,935","769,919",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2021","79,408","736,500",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2021","98,797","726,185",""
"Twin Tree Management, LP","12/31/2021","77,321","717,800","put"
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2021","73,478","682,123",""
"FIL Ltd","12/31/2021","72,183","670,442",""
"AMUNDI","12/31/2021","78,525","665,981",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2021","69,975","649,601",""
"Value Partners Investments Inc.","12/31/2021","68,009","633,103",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","64,165","595,627",""
"Public Sector Pension Investment Board","12/31/2021","63,288","586,991",""
"FIRST TRUST ADVISORS LP","12/31/2021","62,662","581,713",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2021","60,584","563,064",""
"MILLENNIUM MANAGEMENT LLC","12/31/2021","68,499","550,000","put"
"ROYAL BANK OF CANADA","12/31/2021","56,014","520,000","call"
"GOLDMAN SACHS GROUP INC","12/31/2021","53,860","500,000","call"
"SIG North Trading, ULC","12/31/2021","53,290","494,200","put"
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2021","51,386","478,371",""
"HSBC HOLDINGS PLC","12/31/2021","50,778","471,352",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2021","49,766","464,448",""
"Addenda Capital Inc.","12/31/2021","62,041","455,551",""
"SIG North Trading, ULC","12/31/2021","45,828","425,000","call"
"BlackRock Inc.","12/31/2021","43,516","403,975",""
"BANK OF AMERICA CORP /DE/","12/31/2021","40,233","373,500","call"
"Allianz Asset Management GmbH","12/31/2021","39,986","370,875",""
"TORONTO DOMINION BANK","12/31/2021","39,297","364,991",""
"TODD ASSET MANAGEMENT LLC","12/31/2021","37,511","348,228",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2021","37,318","346,236",""
"Twin Tree Management, LP","12/31/2021","36,129","335,400","call"
"GUARDIAN CAPITAL ADVISORS LP","12/31/2021","38,600","333,541",""
"JANUS HENDERSON GROUP PLC","12/31/2021","35,903","333,023",""
"NORTHERN TRUST CORP","12/31/2021","33,097","307,250",""
"Parametric Portfolio Associates LLC","12/31/2021","32,902","305,437",""
"AXA S.A.","12/31/2021","32,435","301,108",""
"JANE STREET GROUP, LLC","12/31/2021","31,628","293,607",""
"CITADEL ADVISORS LLC","12/31/2021","30,539","283,500","put"
"AMF Tjanstepension AB","12/31/2021","29,386","272,458",""
"Parallax Volatility Advisers, L.P.","12/31/2021","29,084","270,000","put"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2021","29,055","269,661",""
"Russell Investments Group, Ltd.","12/31/2021","28,900","268,059",""
"TWO SIGMA ADVISERS, LP","12/31/2021","28,171","261,519",""
"PICTET ASSET MANAGEMENT SA","12/31/2021","26,953","249,991",""
"Korea Investment CORP","12/31/2021","26,016","241,300",""
"Man Group plc","12/31/2021","25,488","236,416",""
"D. E. Shaw & Co., Inc.","12/31/2021","25,230","234,200","call"
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2021","24,980","231,840",""
