"Manager","Report Date","Value ($000)","Shares","Option Type"
"AVIVA PLC","12/31/2019","17,394","224,999",""
"CITIGROUP INC","12/31/2019","17,074","220,000","call"
"Bridgewater Associates, LP","12/31/2019","16,144","208,020",""
"TODD ASSET MANAGEMENT LLC","12/31/2019","16,009","206,566",""
"HSBC HOLDINGS PLC","12/31/2019","15,932","205,726",""
"AMP Capital Investors Ltd","12/31/2019","15,907","204,849",""
"Twin Tree Management, LP","12/31/2019","15,605","201,360",""
"NOMURA HOLDINGS INC","12/31/2019","15,485","200,000","put"
"UBS Group AG","12/31/2019","15,382","198,475",""
"ST GERMAIN D J CO INC","12/31/2019","14,588","188,227",""
"Jarislowsky, Fraser Ltd","12/31/2019","14,553","187,521",""
"Polar Asset Management Partners Inc.","12/31/2019","14,152","182,600",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2019","14,078","181,680",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2019","13,112","168,955",""
"AXA S.A.","12/31/2019","13,088","168,890",""
"AXA","12/31/2019","13,088","168,890",""
"MILLENNIUM MANAGEMENT LLC","12/31/2019","12,920","166,709",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2019","15,897","159,600",""
"BERKSHIRE ASSET MANAGEMENT LLC/PA","12/31/2019","12,068","155,722",""
"TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY","12/31/2019","11,230","144,900",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2019","11,098","143,000",""
"Balyasny Asset Management LLC","12/31/2019","11,035","142,378",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2019","10,872","140,089",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2019","14,070","140,000",""
"Hillsdale Investment Management Inc.","12/31/2019","10,824","139,982",""
"Neuberger Berman Group LLC","12/31/2019","10,625","137,082",""
"DekaBank Deutsche Girozentrale","12/31/2019","10,422","135,832",""
"Highstreet Asset Management Inc.","12/31/2019","10,475","135,163",""
"SHELL ASSET MANAGEMENT CO","12/31/2019","9,616","123,902",""
"Northwest & Ethical Investments L.P.","12/31/2019","8,740","112,801",""
"NN Investment Partners Holdings N.V.","12/31/2019","8,650","111,595",""
"Burgundy Asset Management Ltd.","12/31/2019","8,136","105,000",""
"ALLIANCEBERNSTEIN L.P.","12/31/2019","7,717","99,569",""
"FORSTA AP-FONDEN","12/31/2019","7,187","92,602",""
"TRUIST FINANCIAL CORP","12/31/2019","7,161","92,406",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2019","7,030","91,257",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2019","6,811","87,855",""
"HighPoint Advisor Group LLC","12/31/2019","6,858","85,977",""
"FEDERATED HERMES, INC.","12/31/2019","6,589","85,024",""
"PINEBRIDGE INVESTMENTS, L.P.","12/31/2019","8,512","84,576",""
"RAYMOND JAMES & ASSOCIATES","12/31/2019","6,306","81,468",""
"Lubar & Co., Inc","12/31/2019","6,101","78,718",""
"CLARET ASSET MANAGEMENT Corp","12/31/2019","5,958","76,905",""
"MACQUARIE GROUP LTD","12/31/2019","5,917","76,351",""
"PCJ Investment Counsel Ltd.","12/31/2019","5,891","75,903",""
"Geneos Wealth Management Inc.","12/31/2019","5,675","73,529",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","5,493","70,914",""
"American Assets Investment Management, LLC","12/31/2019","5,425","70,000",""
"Legacy Capital Partners, Inc.","12/31/2019","5,002","64,540",""
"BARCLAYS PLC","12/31/2019","4,971","64,132",""
"ENVESTNET ASSET MANAGEMENT INC","12/31/2019","4,961","64,012",""
"Rathbone Brothers plc","12/31/2019","4,822","62,130",""
"Varma Mutual Pension Insurance Co","12/31/2019","4,656","60,000",""
"M&T Bank Corp","12/31/2019","4,480","57,815",""
"Andra AP-fonden","12/31/2019","5,797","57,600",""
"COMMONWEALTH EQUITY SERVICES, LLC","12/31/2019","4,213","54,369",""
"PINNACLE FINANCIAL PARTNERS INC","12/31/2019","4,186","54,017",""
"LPL Financial LLC","12/31/2019","4,115","53,097",""
"Azimuth Capital Management LLC","12/31/2019","4,102","52,932",""
"Westpac Banking Corp","12/31/2019","5,312","52,785",""
"Crossmark Global Holdings, Inc.","12/31/2019","3,939","50,832",""
"WELLINGTON MANAGEMENT GROUP LLP","12/31/2019","3,907","50,346",""
"HSBC HOLDINGS PLC","12/31/2019","3,875","50,000","call"
"VICTORY CAPITAL MANAGEMENT INC","12/31/2019","3,875","50,000",""
"WALLED LAKE PLANNING & WEALTH MANAGEMENT, LLC","12/31/2019","3,807","49,119",""
"EAGLE ASSET MANAGEMENT INC","12/31/2019","3,775","48,719",""
"STIFEL FINANCIAL CORP","12/31/2019","3,642","46,960",""
"NATIXIS","12/31/2019","3,574","46,026",""
"BREWIN DOLPHIN LTD","12/31/2019","3,505","45,235",""
"US BANCORP \DE\","12/31/2019","3,356","43,305",""
"LSV ASSET MANAGEMENT","12/31/2019","3,355","43,300",""
"SkyOak Wealt, LLC","12/31/2019","3,344","43,145",""
"Lido Advisors, LLC","12/31/2019","3,294","42,500",""
"K.J. Harrison & Partners Inc","12/31/2019","3,149","40,576",""
"PRUDENTIAL PLC","12/31/2019","3,079","39,725",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2019","3,970","39,452",""
"ING GROEP NV","12/31/2019","2,984","38,500",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2019","2,917","37,571",""
"Bogart Wealth, LLC","12/31/2019","2,896","37,374",""
"Silver Lake Advisory, LLC","12/31/2019","2,778","35,851",""
"Russell Investments Group, Ltd.","12/31/2019","2,749","35,451",""
"Baird Financial Group, Inc.","12/31/2019","2,701","34,855",""
"Assenagon Asset Management S.A.","12/31/2019","2,703","34,844",""
"AMERIPRISE FINANCIAL INC","12/31/2019","2,647","33,861",""
"COMERICA BANK","12/31/2019","2,641","33,709",""
"Jefferies Group LLC","12/31/2019","2,610","33,662",""
"Janney Montgomery Scott LLC","12/31/2019","2,564","33,086",""
"Ensign Peak Advisors, Inc","12/31/2019","2,500","32,217",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","2,418","31,200","put"
"GLENMEDE TRUST CO NA","12/31/2019","2,394","30,912",""
"EATON VANCE MANAGEMENT","12/31/2019","2,332","30,087",""
"Cresset Asset Management, LLC","12/31/2019","2,326","30,013",""
"JANE STREET GROUP, LLC","12/31/2019","2,325","29,995",""
"BRIDGEWAY CAPITAL MANAGEMENT INC","12/31/2019","2,209","28,500",""
"LADENBURG THALMANN FINANCIAL SERVICES INC.","12/31/2019","2,195","28,373",""
"CITADEL ADVISORS LLC","12/31/2019","2,147","27,710",""
"Curbstone Financial Management Corp","12/31/2019","2,147","27,700",""
"RESOURCES MANAGEMENT CORP /CT/ /ADV","12/31/2019","2,117","27,320",""
"D. E. Shaw & Co., Inc.","12/31/2019","2,100","27,100","put"
"Erste Asset Management GmbH","12/31/2019","2,057","26,600",""
"Raymond James Financial Services Advisors, Inc.","12/31/2019","2,003","25,875",""
"AlphaCrest Capital Management LLC","12/31/2019","1,989","25,662",""
"WoodTrust Financial Corp","12/31/2019","1,959","25,273",""
"Banco de Sabadell, S.A","12/31/2019","2,529","25,100",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2019","1,937","25,000","call"
"Cumberland Partners Ltd","12/31/2019","1,852","23,861",""
"TODD ASSET MANAGEMENT LLC","12/31/2019","1,810","23,357",""
"PRICE T ROWE ASSOCIATES INC /MD/","12/31/2019","1,767","22,768",""
"Advisor Group, Inc.","12/31/2019","1,742","22,450",""
"Voit & Company, LLC","12/31/2019","1,710","22,062",""
"DAVIS-REA LTD.","12/31/2019","1,679","21,634",""
"Savant Capital, LLC","12/31/2019","1,669","21,534",""
"Archford Capital Strategies, LLC","12/31/2019","1,647","21,258",""
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC","12/31/2019","1,587","20,480",""
"VAN ECK ASSOCIATES CORP","12/31/2019","1,563","20,173",""
