"Manager","Report Date","Value ($000)","Shares","Option Type"
"AMUNDI","12/31/2021","109,490","4,533,767",""
"JPMORGAN CHASE & CO","12/31/2021","1,650","86,500","call"
"GROUP ONE TRADING, L.P.","12/31/2021","694","36,400","call"
"SIMPLEX TRADING, LLC","12/31/2021","162","8,500","call"
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2021","0","0","call"
