"Manager","Report Date","Value ($000)","Shares","Option Type"
"GROUP ONE TRADING, L.P.","12/31/2018","204","14,400","call"
"SIMPLEX TRADING, LLC","12/31/2018","171","121","call"
"PROEQUITIES, INC.","12/31/2018","0","0","call"
