Investee Company,Bloomberg Code,2022 Loan Amount,,
Enbridge Inc,ENB CN,2571026584,,
Tourmaline Oil Corp,TOU CN,1981105200,,
Pembina Pipeline Corp,PPL CN,1939287500,,
Crescent Point Energy Corp,CPG CN,1673593350,,
TC Energy Corp,TRP CN,1628613337,,
Emera Inc,EMA CN,1521501609,, 
Fortis Inc/Canada,FTS CN,1513799469,,
Ecopetrol SA,ECOPETL CB,957718420,,
Parkland Corp,PKI CN,956546364,,
Infraestructura Marina Del Golfo S de RL de CV,2158975D MM,780000000,,
Birchcliff Energy Ltd,BIR CN,661187800,,
Topaz Energy Corp,1766130D CN,527253500,,
Venture Global,1216765D US,503119022,,
Valero Energy Corp,VLO US,493270078,,
Enerflex Ltd,EFX CN,491666666,,
Kinder Morgan Inc,KMI US,441666667,,
Marathon Oil Corp,MRO US,412500000,,
Public Service Enterprise Group Inc,PEG US,405515054,,
Strathcona Resources Ltd,1911116D CN,395888812,,
Irving Oil Ltd,0133955D CN,395175487,,
Southern Co/The,SO US,388760583,,
Phillips 66,PSX US,384615385,,
Petróleo Brasileiro SA – Petrobras,PETR4 BZ,379166667,,
Alliance Pipeline LP/United States,3478182Z US,375735255,,
Equitrans Midstream Corp,ETRN US,340042222,,
