"Manager","Report Date","Value ($000)","Shares","Option Type"
"BANK OF MONTREAL /CAN/","12/31/2019","311","3,933",""
"FLOW TRADERS U.S. LLC","12/31/2019","201","2,543",""
"PROEQUITIES, INC.","12/31/2019","0","0",""
