"Manager","Report Date","Value ($000)","Shares","Option Type"
"UBS Group AG","12/31/2023","68,441","1,059,136",""
"State of Tennessee, Treasury Department","12/31/2023","68,137","1,049,355",""
"SPRUCEGROVE INVESTMENT MANAGEMENT LTD","12/31/2023","65,634","1,015,700",""
"Value Partners Investments Inc.","12/31/2023","67,297","1,015,258",""
"CIBC WORLD MARKET INC.","12/31/2023","65,105","1,007,500","put"
"FRANKLIN RESOURCES INC","12/31/2023","64,108","992,099",""
"Quadrature Capital Ltd","12/31/2023","63,848","986,700",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","62,597","968,700","call"
"RENAISSANCE TECHNOLOGIES LLC","12/31/2023","62,610","967,780",""
"D. E. Shaw & Co., Inc.","12/31/2023","57,558","891,000","put"
"BANK OF NOVA SCOTIA TRUST CO","12/31/2023","57,325","887,115",""
"Burgundy Asset Management Ltd.","12/31/2023","55,039","850,205",""
"GUARDIAN CAPITAL ADVISORS LP","12/31/2023","55,991","849,859",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2023","55,097","848,539",""
"Pictet Asset Management Holding SA","12/31/2023","52,765","812,623",""
"NORTHERN TRUST CORP","12/31/2023","52,175","807,418",""
"Nexus Investment Management ULC","12/31/2023","51,524","794,850",""
"CITIGROUP INC","12/31/2023","50,446","776,907",""
"QV Investors Inc.","12/31/2023","49,752","766,204",""
"AVIVA PLC","12/31/2023","47,559","733,491",""
"NEUBERGER BERMAN GROUP LLC","12/31/2023","47,279","728,504",""
"Northwest & Ethical Investments L.P.","12/31/2023","43,967","680,444",""
"BANK OF MONTREAL /CAN/","12/31/2023","40,529","627,200","call"
"MILLENNIUM MANAGEMENT LLC","12/31/2023","52,474","613,000","put"
"MILLENNIUM MANAGEMENT LLC","12/31/2023","52,442","612,500","call"
"ROYAL LONDON ASSET MANAGEMENT LTD","12/31/2023","38,650","598,116",""
"Mawer Investment Management Ltd.","12/31/2023","34,296","530,744",""
"Galibier Capital Management Ltd.","12/31/2023","33,640","518,080",""
"TORONTO DOMINION BANK","12/31/2023","31,336","484,933",""
"FORSTA AP-FONDEN","12/31/2023","28,524","439,300",""
"Creative Planning","12/31/2023","27,420","424,337",""
"M&T Bank Corp","12/31/2023","26,273","406,582",""
"LAZARD ASSET MANAGEMENT LLC","12/31/2023","22,373","346,230",""
"JANUS HENDERSON GROUP PLC","12/31/2023","22,417","345,886",""
"CITADEL ADVISORS LLC","12/31/2023","21,944","339,600","put"
"OMERS ADMINISTRATION Corp","12/31/2023","22,012","339,000",""
"AXA S.A.","12/31/2023","21,286","329,416",""
"AXA S.A.","12/31/2023","21,286","329,416",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2023","20,739","324,738",""
"UniSuper Management Pty Ltd","12/31/2023","27,325","319,151",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","20,555","318,100","put"
"AMF Tjanstepension AB","12/31/2023","20,488","313,809",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2023","26,645","311,202",""
