"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2022","10,241,894","158,151,533",""
"BANK OF MONTREAL /CAN/","12/31/2022","5,780,511","89,044,008",""
"VANGUARD GROUP INC","12/31/2022","4,460,223","68,873,129",""
"Capital Research Global Investors","12/31/2022","2,478,001","38,270,886",""
"TD Asset Management Inc","12/31/2022","2,340,103","36,166,577",""
"CIBC WORLD MARKET INC.","12/31/2022","2,290,486","35,396,175",""
"FIL Ltd","12/31/2022","2,082,295","32,159,553",""
"BANK OF NOVA SCOTIA","12/31/2022","1,995,552","30,819,858",""
"MACKENZIE FINANCIAL CORP","12/31/2022","1,864,048","28,835,656",""
"BANK OF AMERICA CORP /DE/","12/31/2022","1,759,027","27,162,249",""
"NATIONAL BANK OF CANADA /FI/","12/31/2022","1,734,653","26,796,674",""
"1832 Asset Management L.P.","12/31/2022","1,548,273","23,907,865",""
"NORGES BANK","12/31/2022","1,484,341","22,923,735",""
"Capital World Investors","12/31/2022","1,337,903","20,661,853",""
"FMR LLC","12/31/2022","1,207,562","18,649,930",""
"CIBC Asset Management Inc","12/31/2022","1,086,763","16,781,020",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2022","870,143","13,446,984",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2022","868,118","13,406,972",""
"Beutel, Goodman & Co Ltd.","12/31/2022","866,871","13,397,611",""
"JPMORGAN CHASE & CO","12/31/2022","731,747","11,299,364",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2022","679,286","10,498,449",""
"SCOTIA CAPITAL INC.","12/31/2022","649,835","10,044,143",""
"Legal & General Group Plc","12/31/2022","637,929","9,859,452",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2022","593,793","9,169,147",""
"TD Waterhouse Canada Inc.","12/31/2022","728,452","8,339,574",""
"GOLDMAN SACHS GROUP INC","12/31/2022","471,485","7,280,508",""
"Royal Bank of Canada","12/31/2022","446,844","6,900,000","put"
"DEUTSCHE BANK AG\","12/31/2022","445,186","6,874,400",""
"TORONTO DOMINION BANK","12/31/2022","443,326","6,846,620",""
"Fiera Capital Corp","12/31/2022","384,663","5,936,460",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2022","384,646","5,903,055",""
"Alberta Investment Management Corp","12/31/2022","359,147","5,550,666",""
"WOLVERINE TRADING, LLC","12/31/2022","357,385","5,518,600","call"
"GOLDMAN SACHS GROUP INC","12/31/2022","349,833","5,402,000","call"
"GOLDMAN SACHS GROUP INC","12/31/2022","346,893","5,356,600","put"
"Federation des caisses Desjardins du Quebec","12/31/2022","352,557","5,253,875",""
"MORGAN STANLEY","12/31/2022","336,869","5,201,812",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2022","306,477","4,729,829",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2022","282,516","4,366,322",""
"APG Asset Management N.V.","12/31/2022","333,551","3,804,618",""
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","12/31/2022","241,470","3,729,196",""
"FRANKLIN RESOURCES INC","12/31/2022","237,459","3,667,250",""
"Invesco Ltd.","12/31/2022","232,171","3,585,104",""
"CREDIT SUISSE AG/","12/31/2022","217,990","3,366,136",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2022","201,347","3,111,852",""
"BANK OF AMERICA CORP /DE/","12/31/2022","196,870","3,040,000","call"
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2022","185,866","2,870,474",""
"BANK OF MONTREAL /CAN/","12/31/2022","184,417","2,840,800","put"
"AGF MANAGEMENT LTD","12/31/2022","183,417","2,832,756",""
"TORONTO DOMINION BANK","12/31/2022","183,065","2,825,600",""
"DekaBank Deutsche Girozentrale","12/31/2022","180,856","2,778,156",""
"WELLS FARGO & COMPANY/MN","12/31/2022","177,098","2,734,150",""
"CIBC WORLD MARKET INC.","12/31/2022","174,717","2,700,000","put"
"PRINCIPAL FINANCIAL GROUP INC","12/31/2022","160,957","2,487,624",""
"OMERS ADMINISTRATION Corp","12/31/2022","158,555","2,450,491",""
"AMUNDI","12/31/2022","151,191","2,348,062",""
"Bank of New York Mellon Corp","12/31/2022","141,384","2,183,208",""
"JARISLOWSKY, FRASER Ltd","12/31/2022","134,857","2,084,242",""
"GUARDIAN CAPITAL LP","12/31/2022","134,447","2,077,900",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2022","128,016","1,977,051",""
"CIDEL ASSET MANAGEMENT INC","12/31/2022","127,914","1,976,937",""
"Credential Qtrade Securities Inc.","12/31/2022","120,130","1,855,187",""
"HSBC HOLDINGS PLC","12/31/2022","118,699","1,834,151",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2022","118,161","1,824,921",""
"ALLIANCEBERNSTEIN L.P.","12/31/2022","116,722","1,802,380",""
"TORONTO DOMINION BANK","12/31/2022","116,359","1,796,000",""
"AMERICAN CENTURY COMPANIES INC","12/31/2022","115,752","1,787,710",""
