"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2019","8,166,720","145,496,514",""
"BANK OF MONTREAL /CAN/","12/31/2019","3,958,126","70,517,116",""
"VANGUARD GROUP INC","12/31/2019","2,997,101","53,395,694",""
"TD ASSET MANAGEMENT INC","12/31/2019","2,175,718","38,738,926",""
"FIL Ltd","12/31/2019","1,818,817","32,429,284",""
"CIBC World Markets Inc.","12/31/2019","1,801,252","32,090,717",""
"BANK OF NOVA SCOTIA","12/31/2019","1,520,388","27,107,753",""
"Beutel, Goodman & Co Ltd.","12/31/2019","1,329,881","23,692,883",""
"MACKENZIE FINANCIAL CORP","12/31/2019","1,319,431","23,511,709",""
"CIBC Asset Management Inc","12/31/2019","1,224,907","21,808,496",""
"Jarislowsky, Fraser Ltd","12/31/2019","1,217,270","21,673,705",""
"1832 Asset Management L.P.","12/31/2019","1,075,055","19,109,257",""
"NORGES BANK","12/31/2019","1,067,750","19,036,632",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2019","930,389","16,733,517",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2019","936,807","16,680,000",""
"Capital Research Global Investors","12/31/2019","914,284","16,301,576",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2019","912,470","16,246,683",""
"BANK OF AMERICA CORP /DE/","12/31/2019","832,701","14,835,212",""
"Capital World Investors","12/31/2019","791,509","14,112,535",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2019","724,046","12,891,754",""
"TORONTO DOMINION BANK","12/31/2019","632,098","11,264,060",""
"DEUTSCHE BANK AG\","12/31/2019","575,332","10,250,073",""
"SCOTIA CAPITAL INC.","12/31/2019","471,153","8,402,502",""
"FIERA CAPITAL CORP","12/31/2019","471,486","8,401,682",""
"JPMORGAN CHASE & CO","12/31/2019","467,156","8,322,751",""
"Legal & General Group Plc","12/31/2019","463,258","8,248,856",""
"FMR LLC","12/31/2019","399,021","7,114,498",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2019","363,539","6,543,674",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2019","360,792","6,423,958",""
"APG Asset Management N.V.","12/31/2019","317,362","6,342,888",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2019","355,752","6,342,605",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2019","334,338","5,952,999",""
"FRANKLIN RESOURCES INC","12/31/2019","324,792","5,789,450",""
"PUBLIC SECTOR PENSION INVESTMENT BOARD","12/31/2019","323,598","5,761,726",""
"Alberta Investment Management Corp","12/31/2019","292,658","5,210,818",""
"GUARDIAN CAPITAL LP","12/31/2019","263,304","4,688,178",""
"Federation des caisses Desjardins du Quebec","12/31/2019","249,568","4,445,489",""
"Invesco Ltd.","12/31/2019","239,716","4,270,745",""
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC","12/31/2019","236,969","4,224,733",""
"SCHRODER INVESTMENT MANAGEMENT GROUP","12/31/2019","278,829","3,828,495",""
"ROYAL BANK OF CANADA","12/31/2019","213,648","3,806,300","put"
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2019","209,407","3,730,758",""
"OMERS ADMINISTRATION Corp","12/31/2019","177,163","3,154,414",""
"Capital International Investors","12/31/2019","176,010","3,135,765",""
"GOLDMAN SACHS GROUP INC","12/31/2019","175,001","3,117,785",""
"WELLS FARGO & COMPANY/MN","12/31/2019","163,039","2,904,654",""
"MORGAN STANLEY","12/31/2019","161,791","2,882,439",""
"CREDIT SUISSE AG/","12/31/2019","158,264","2,819,591",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","148,608","2,635,994",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2019","148,608","2,635,994",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2019","141,372","2,517,147",""
"Highstreet Asset Management Inc.","12/31/2019","133,638","2,382,758",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","131,366","2,339,002",""
"Bank of New York Mellon Corp","12/31/2019","128,242","2,284,726",""
"JANUS HENDERSON GROUP PLC","12/31/2019","121,662","2,165,858",""
"National Pension Service","12/31/2019","156,341","2,146,651",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2019","119,255","2,123,354",""
"Burgundy Asset Management Ltd.","12/31/2019","118,352","2,110,616",""
"Allianz Asset Management GmbH","12/31/2019","114,954","2,046,779",""
"STATE OF WISCONSIN INVESTMENT BOARD","12/31/2019","113,187","2,015,309",""
"ALLIANCEBERNSTEIN L.P.","12/31/2019","111,664","1,989,386",""
"QV Investors Inc.","12/31/2019","103,839","1,848,874",""
"Korea Investment CORP","12/31/2019","102,753","1,829,528",""
"LINCLUDEN MANAGEMENT LTD","12/31/2019","101,274","1,805,696",""
"Addenda Capital Inc.","12/31/2019","97,970","1,744,349",""
"AMF Pensionsforsakring AB","12/31/2019","97,269","1,729,665",""
"Mn Services Vermogensbeheer B.V.","12/31/2019","93,478","1,666,171",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2019","119,466","1,640,795",""
"D. E. Shaw & Co., Inc.","12/31/2019","88,879","1,585,295",""
"Cardinal Capital Management, Inc.","12/31/2019","88,663","1,578,568",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2019","84,246","1,500,014",""
"TORONTO DOMINION BANK","12/31/2019","83,749","1,492,200",""
"State of Tennessee, Treasury Department","12/31/2019","101,213","1,389,720",""
"Hexavest Inc.","12/31/2019","77,579","1,381,306",""
"GLUSKIN SHEFF & ASSOC INC","12/31/2019","71,474","1,299,203",""
"Ensign Peak Advisors, Inc","12/31/2019","68,599","1,222,107",""
"DekaBank Deutsche Girozentrale","12/31/2019","67,244","1,188,683",""
"AGF INVESTMENTS INC.","12/31/2019","66,497","1,185,628",""
"Northwest & Ethical Investments L.P.","12/31/2019","64,886","1,156,897",""
"NORDEA INVESTMENT MANAGEMENT AB","12/31/2019","64,611","1,151,724",""
"UBS Group AG","12/31/2019","64,298","1,145,504",""
"NORTHERN TRUST CORP","12/31/2019","62,630","1,115,803",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2019","60,427","1,076,561",""
"Polar Asset Management Partners Inc.","12/31/2019","60,340","1,075,000","call"
"TORONTO DOMINION BANK","12/31/2019","60,113","1,071,100",""
"M&G INVESTMENT MANAGEMENT LTD","12/31/2019","59,945","1,066,260",""
"EdgePoint Investment Group Inc.","12/31/2019","57,826","1,040,428",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2019","57,293","1,020,118",""
"AMUNDI PIONEER ASSET MANAGEMENT INC","12/31/2019","56,168","1,000,657",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2019","53,097","945,966",""
"TORONTO DOMINION BANK","12/31/2019","52,615","937,500",""
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2019","51,739","922,846",""
"AXA S.A.","12/31/2019","49,501","881,877",""
"AXA","12/31/2019","49,501","881,877",""
"FIRST TRUST ADVISORS LP","12/31/2019","48,180","858,356",""
"Value Partner Investments Inc.","12/31/2019","47,339","844,227",""
"BANK OF AMERICA CORP /DE/","12/31/2019","47,149","840,000","call"
"Parametric Portfolio Associates LLC","12/31/2019","44,434","791,626",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2019","44,421","790,888",""
"Aperio Group, LLC","12/31/2019","42,939","764,991",""
"NORTHERN TRUST CORP","12/31/2019","42,407","755,509",""
"Nexus Investment Management Inc.","12/31/2019","42,301","753,130",""
"Credential Qtrade Securities Inc.","12/31/2019","41,163","733,912",""
"Cumberland Partners Ltd","12/31/2019","40,815","726,689",""
"CIBC World Markets Inc.","12/31/2019","39,291","700,000","call"
"PICTET ASSET MANAGEMENT LTD","12/31/2019","38,360","683,006",""
"BANK OF MONTREAL /CAN/","12/31/2019","37,068","660,400","call"
"GUARDIAN CAPITAL ADVISORS LP","12/31/2019","47,690","657,562",""
"Ilmarinen Mutual Pension Insurance Co","12/31/2019","36,668","654,236",""
"AVIVA PLC","12/31/2019","35,884","641,412",""
"AMP Capital Investors Ltd","12/31/2019","36,140","640,935",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2019","35,956","640,641",""
"CITADEL ADVISORS LLC","12/31/2019","34,859","621,471",""
"Man Group plc","12/31/2019","34,181","608,661",""
"Bridgewater Associates, LP","12/31/2019","33,762","601,144",""
"CITIGROUP INC","12/31/2019","33,637","598,907",""
"Johanson Financial Advisors, Inc.","12/31/2019","10,188","571,911",""
"Mawer Investment Management Ltd.","12/31/2019","31,450","560,300",""
"Hillsdale Investment Management Inc.","12/31/2019","30,338","542,235",""
"Twin Tree Management, LP","12/31/2019","29,642","528,100","call"
"Quadrature Capital Ltd","12/31/2019","28,975","519,300",""
"M&T Bank Corp","12/31/2019","28,743","512,124",""
"NN Investment Partners Holdings N.V.","12/31/2019","28,541","508,486",""
"ROYAL BANK OF CANADA","12/31/2019","27,745","494,300","call"
"HSBC HOLDINGS PLC","12/31/2019","27,203","482,000",""
"USS Investment Management Ltd","12/31/2019","25,994","462,900",""
"Heathbridge Capital Management Ltd.","12/31/2019","25,502","454,780",""
"MILLENNIUM MANAGEMENT LLC","12/31/2019","24,606","438,374",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2019","23,912","425,758",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2019","23,137","412,200","call"
"BLAIR WILLIAM & CO/IL","12/31/2019","21,440","381,966",""
"SHELL ASSET MANAGEMENT CO","12/31/2019","20,554","365,959",""
"WELCH & FORBES LLC","12/31/2019","20,178","359,483",""
"LAZARD ASSET MANAGEMENT LLC","12/31/2019","19,170","341,556",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2019","18,766","334,328",""
"VIRGINIA RETIREMENT SYSTEMS ET AL","12/31/2019","18,259","325,100",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2019","23,568","323,600",""
"DORCHESTER WEALTH MANAGEMENT Co","12/31/2019","16,861","300,690",""
"Baskin Financial Services Inc.","12/31/2019","16,563","295,421",""
"ADVISORY RESEARCH INC","12/31/2019","15,808","281,633",""
"Avalon Investment & Advisory","12/31/2019","15,758","280,734",""
"CIDEL ASSET MANAGEMENT INC","12/31/2019","15,496","275,912",""
"Parsec Financial Management, Inc.","12/31/2019","15,387","274,128",""
"Neuberger Berman Group LLC","12/31/2019","15,385","274,038",""
"First Long Island Investors, LLC","12/31/2019","15,053","268,184",""
"GODSEY & GIBB ASSOCIATES","12/31/2019","14,322","255,162",""
"Westpac Banking Corp","12/31/2019","18,406","252,727",""
"CITIGROUP INC","12/31/2019","13,996","249,200","call"
"CORDA Investment Management, LLC.","12/31/2019","13,575","241,862",""
"JCIC Asset Management Inc.","12/31/2019","13,106","233,755",""
"Russell Investments Group, Ltd.","12/31/2019","12,710","226,353",""
"RAYMOND JAMES & ASSOCIATES","12/31/2019","12,566","224,337",""
"PCJ Investment Counsel Ltd.","12/31/2019","12,376","220,361",""
"Polar Capital LLP","12/31/2019","14,214","218,776",""
"AlphaCrest Capital Management LLC","12/31/2019","12,015","214,058",""
"EATON VANCE MANAGEMENT","12/31/2019","11,764","209,590",""
"COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS","12/31/2019","10,955","195,064",""
"Mitsubishi UFJ Trust & Banking Corp","12/31/2019","10,759","192,986",""
"LVM CAPITAL MANAGEMENT LTD/MI","12/31/2019","10,517","187,372",""
"DAVIS-REA LTD.","12/31/2019","10,499","186,903",""
