"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2024","7,627,739","143,270,852",""
"BANK OF MONTREAL /CAN/","12/31/2024","4,451,624","83,721,828",""
"VANGUARD GROUP INC","12/31/2024","3,946,071","74,118,551",""
"CIBC WORLD MARKET INC.","12/31/2024","2,615,133","49,119,711",""
"FIL Ltd","12/31/2024","2,075,818","38,989,749",""
"TD ASSET MANAGEMENT INC","12/31/2024","1,962,099","36,873,016",""
"BANK OF NOVA SCOTIA","12/31/2024","1,778,019","33,401,565",""
"NATIONAL BANK OF CANADA /FI/","12/31/2024","1,524,617","28,610,751",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,488,232","27,990,674",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,488,232","27,990,674",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,511,072","27,990,674",""
"1832 Asset Management L.P.","12/31/2024","1,213,836","22,799,327",""
"NORGES BANK","12/31/2024","992,203","18,660,404",""
"Beutel, Goodman & Co Ltd.","12/31/2024","894,169","16,803,807",""
"CIBC Asset Management Inc","12/31/2024","882,240","16,575,599",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2024","650,303","12,214,560",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2024","620,682","11,642,719",""
"SCOTIA CAPITAL INC.","12/31/2024","588,047","11,047,091",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2024","569,877","10,526,821",""
"Legal & General Group Plc","12/31/2024","533,304","10,022,178",""
"Federation des caisses Desjardins du Quebec","12/31/2024","516,533","9,723,784",""
"TD Waterhouse Canada Inc.","12/31/2024","502,110","9,444,374",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2024","489,778","9,211,286",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2024","388,083","7,289,369",""
"JPMORGAN CHASE & CO","12/31/2024","384,042","7,213,418",""
"DEUTSCHE BANK AG\","12/31/2024","372,195","6,990,902",""
"GOLDMAN SACHS GROUP INC","12/31/2024","332,714","6,249,333",""
"FMR LLC","12/31/2024","320,105","6,012,483",""
"BANK OF AMERICA CORP /DE/","12/31/2024","310,890","5,839,411",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2024","308,118","5,794,789",""
"Capital Research Global Investors","12/31/2024","299,730","5,629,797",""
"CHARLES SCHWAB INVESTMENT MANAGEMENT INC","12/31/2024","269,637","5,067,081",""
"AGF MANAGEMENT LTD","12/31/2024","298,425","4,996,829",""
"MORGAN STANLEY","12/31/2024","257,501","4,836,616",""
"Invesco Ltd.","12/31/2024","249,915","4,694,139",""
"Alberta Investment Management Corp","12/31/2024","239,349","4,497,998",""
"TORONTO DOMINION BANK","12/31/2024","222,326","4,181,300","call"
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2024","216,012","4,060,000",""
"Fiera Capital Corp","12/31/2024","210,604","3,961,047",""
"TORONTO DOMINION BANK","12/31/2024","196,245","3,690,682",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2024","178,388","3,352,390",""
"Clearbridge Investments, LLC","12/31/2024","173,286","3,254,825",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2024","165,097","3,104,992",""
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2024","162,317","3,049,215",""
"STATE STREET CORP","12/31/2024","162,062","3,043,999",""
"HSBC HOLDINGS PLC","12/31/2024","146,090","2,744,723",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2024","142,041","2,669,721",""
"Royal Bank of Canada","12/31/2024","136,571","2,565,200","put"
"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC","12/31/2024","130,855","2,457,843",""
"D. E. Shaw & Co., Inc.","12/31/2024","129,169","2,427,500","call"
"AMUNDI","12/31/2024","130,918","2,416,370",""
"Burgundy Asset Management Ltd.","12/31/2024","120,142","2,258,881",""
"UBS Group AG","12/31/2024","118,724","2,229,991",""
"SIG North Trading, ULC","12/31/2024","117,324","2,203,700","put"
"Royal Bank of Canada","12/31/2024","115,360","2,166,800","call"
"Nuveen Asset Management, LLC","12/31/2024","110,655","2,079,505",""
"Scheer, Rowlett & Associates Investment Management Ltd.","12/31/2024","106,391","2,000,901",""
"TORONTO DOMINION BANK","12/31/2024","97,139","1,826,900","put"
"D. E. Shaw & Co., Inc.","12/31/2024","95,087","1,787,000","put"
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2024","91,804","1,724,348",""
"Aviso Financial Inc.","12/31/2024","88,487","1,662,445",""
"JANE STREET GROUP, LLC","12/31/2024","87,579","1,645,000","put"
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2024","81,293","1,528,256",""
"Bank of New York Mellon Corp","12/31/2024","79,944","1,501,582",""
"JANE STREET GROUP, LLC","12/31/2024","79,396","1,491,300","call"
"JARISLOWSKY, FRASER Ltd","12/31/2024","78,332","1,472,075",""
"Dixon Mitchell Investment Counsel Inc.","12/31/2024","78,192","1,469,207",""
"CITADEL ADVISORS LLC","12/31/2024","75,930","1,426,200","call"
"BANK OF MONTREAL /CAN/","12/31/2024","74,493","1,401,000","call"
"Addenda Capital Inc.","12/31/2024","106,312","1,389,160",""
"CIBC WORLD MARKET INC.","12/31/2024","71,485","1,342,700","call"
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2024","67,520","1,268,888",""
"SIG North Trading, ULC","12/31/2024","63,562","1,193,894",""
"BlackRock, Inc.","12/31/2024","63,409","1,191,013",""
"LINCLUDEN MANAGEMENT LTD","12/31/2024","63,200","1,187,112",""
"Korea Investment CORP","12/31/2024","61,864","1,162,597",""
"CANADA LIFE ASSURANCE Co","12/31/2024","61,429","1,155,126",""
"BANK OF AMERICA CORP /DE/","12/31/2024","61,226","1,150,000","call"
"NORTHERN TRUST CORP","12/31/2024","60,830","1,142,569",""
"CITADEL ADVISORS LLC","12/31/2024","60,768","1,141,400","put"
"DekaBank Deutsche Girozentrale","12/31/2024","60,220","1,141,081",""
"AVIVA PLC","12/31/2024","55,966","1,053,329",""
"Quadrature Capital Ltd","12/31/2024","55,613","1,042,700",""
"State of Tennessee, Department of Treasury","12/31/2024","53,200","999,782",""
"Pictet Asset Management Holding SA","12/31/2024","50,561","950,182",""
"FRANKLIN RESOURCES INC","12/31/2024","48,987","921,297",""
"MILLENNIUM MANAGEMENT LLC","12/31/2024","47,519","893,044",""
"FIRST TRUST ADVISORS LP","12/31/2024","46,148","866,806",""
"GUARDIAN CAPITAL LP","12/31/2024","44,960","844,922",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2024","44,412","834,200","call"
"Russell Investments Group, Ltd.","12/31/2024","44,258","832,437",""
"BANK OF MONTREAL /CAN/","12/31/2024","43,196","812,400","put"
"CITIGROUP INC","12/31/2024","42,568","799,968",""
"BANK OF NOVA SCOTIA TRUST CO","12/31/2024","42,471","797,730",""
"JANE STREET GROUP, LLC","12/31/2024","40,229","755,621",""
"Nexus Investment Management ULC","12/31/2024","39,507","743,742",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2024","39,321","738,580",""
"TWO SIGMA INVESTMENTS, LP","12/31/2024","38,402","721,312",""
"Zurcher Kantonalbank (Zurich Cantonalbank)","12/31/2024","37,907","712,379",""
"Guardian Partners Inc.","12/31/2024","38,331","707,525",""
"CIBC WORLD MARKET INC.","12/31/2024","36,139","678,800","put"
"TORONTO DOMINION BANK","12/31/2024","32,281","606,340",""
"Grantham, Mayo, Van Otterloo & Co. LLC","12/31/2024","31,474","591,470",""
"Walleye Trading LLC","12/31/2024","31,033","582,900","call"
"Northwest & Ethical Investments L.P.","12/31/2024","30,797","579,497",""
"QV Investors Inc.","12/31/2024","30,662","576,217",""
"UniSuper Management Pty Ltd","12/31/2024","44,065","575,800",""
"Parallax Volatility Advisers, L.P.","12/31/2024","29,958","562,700","call"
"VAN ECK ASSOCIATES CORP","12/31/2024","29,866","561,482",""
"D. E. Shaw & Co., Inc.","12/31/2024","29,524","554,717",""
"CIDEL ASSET MANAGEMENT INC","12/31/2024","28,576","537,024",""
"WELLS FARGO & COMPANY/MN","12/31/2024","27,796","522,102",""
"SIG North Trading, ULC","12/31/2024","27,743","521,100","call"
"CITADEL ADVISORS LLC","12/31/2024","27,272","512,256",""
"NICOLA WEALTH MANAGEMENT LTD.","12/31/2024","39,030","510,002",""
"MONTRUSCO BOLTON INVESTMENTS INC.","12/31/2024","26,875","505,061",""
"Hillsdale Investment Management Inc.","12/31/2024","24,271","456,391",""
"PORTLAND INVESTMENT COUNSEL INC.","12/31/2024","24,085","452,400",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2024","23,009","432,500",""
